Total Nacional - Región _0,tipo_de_gestión_1,total_2,cultivos_3,frutales_4,propagación_de_plantas_5,ganadería_6,actividades_de_apoyo_a_la_agricultura_ganadería_y_actividades_de_poscosecha_7,actividad_forestal_8,agroindustria_9,actividades_no_silvoagropecuarias6_10,no_sabe_no_responde_11
Total Nacional,total,1386280,415110,211390,9660,495670,8250,72240,11220,136900,25840
Total Nacional,persona_jurídica,90210,14370,42970,2670,16730,840,4380,2090,5390,770
Total Nacional,persona_natural,1296070,400740,168420,6990,478940,7410,67860,9130,131510,25070
Región de Arica y Parinacota,total,12670,9440,1160,60,1530,20,00,50,310,100
Región de Arica y Parinacota,persona_jurídica,510,310,40,20,70,10,00,00,60,00
Región de Arica y Parinacota,persona_natural,12160,9130,1120,40,1460,10,00,50,250,100
Región de Tarapacá,total,8350,5160,1390,70,630,40,20,30,960,50
Región de Tarapacá,persona_jurídica,280,100,30,10,30,00,20,00,90,00
Región de Tarapacá,persona_natural,8070,5060,1360,60,600,40,00,30,870,50
Región de Antofagasta,total,7220,4450,1300,80,520,10,10,70,540,240
Región de Antofagasta,persona_jurídica,220,70,10,20,50,00,00,20,40,10
Región de Antofagasta,persona_natural,7000,4380,1290,60,470,10,10,50,500,230
Región de Atacama,total,13520,2740,7400,130,1860,10,10,310,890,170
Región de Atacama,persona_jurídica,1160,180,720,40,30,00,00,40,130,20
Región de Atacama,persona_natural,12360,2560,6680,90,1830,10,10,270,760,150
Región de Coquimbo,total,69290,11890,24930,390,22730,430,90,570,7430,830
Región de Coquimbo,persona_jurídica,5910,510,3710,160,310,200,20,80,890,30
Región de Coquimbo,persona_natural,63380,11380,21220,230,22420,230,70,490,6540,800
Región de Valparaíso,total,54840,18670,22470,1930,6640,260,710,610,2930,620
Región de Valparaíso,persona_jurídica,10870,1800,6400,590,850,80,280,310,470,90
Región de Valparaíso,persona_natural,43970,16870,16070,1340,5790,180,430,300,2460,530
Región Metropolitana de Santiago,total,55300,22990,18220,2020,7730,540,110,480,2650,560
Región Metropolitana de Santiago,persona_jurídica,12810,2650,7040,720,1300,160,20,250,600,70
Región Metropolitana de Santiago,persona_natural,42490,20340,11180,1300,6430,380,90,230,2050,490
Región del Libertador General Bernardo O'Higgins,total,91300,36040,27390,930,14750,660,3400,560,6620,950
Región del Libertador General Bernardo O'Higgins,persona_jurídica,15720,2110,10950,200,870,100,390,360,670,70
Región del Libertador General Bernardo O'Higgins,persona_natural,75580,33930,16440,730,13880,560,3010,200,5950,880
Región del Maule,total,174000,55720,58560,1520,33260,1180,7530,980,12380,2870
Región del Maule,persona_jurídica,16820,1970,11100,460,1420,100,690,350,570,160
Región del Maule,persona_natural,157180,53750,47460,1060,31840,1080,6840,630,11810,2710
Región de Ñuble,total,121710,41500,29660,570,32210,480,5100,710,9080,2400
Región de Ñuble,persona_jurídica,5600,1050,2430,90,870,60,560,120,350,70
Región de Ñuble,persona_natural,116110,40450,27230,480,31340,420,4540,590,8730,2330
Región del Biobío,total,124480,39600,6200,500,42140,1030,12810,1110,18440,2650
Región del Biobío,persona_jurídica,5150,1150,920,80,1160,50,1110,120,480,80
Región del Biobío,persona_natural,119330,38450,5280,420,40980,980,11700,990,17960,2570
Región de La Araucanía,total,365520,118110,11410,890,149620,2250,27290,1840,45730,8380
Región de La Araucanía,persona_jurídica,7140,1780,1100,110,2010,100,1000,130,840,70
Región de La Araucanía,persona_natural,358380,116330,10310,780,147610,2150,26290,1710,44890,8310
Región de Los Ríos,total,87490,12400,2420,320,57470,460,4840,1770,6450,1360
Región de Los Ríos,persona_jurídica,5520,650,650,120,2930,10,430,360,320,50
Región de Los Ríos,persona_natural,81970,11750,1770,200,54540,450,4410,1410,6130,1310
Región de Los Lagos,total,183430,34330,1810,240,109320,690,8850,2400,21530,4260
Región de Los Lagos,persona_jurídica,6370,450,620,90,4150,20,320,270,390,60
Región de Los Lagos,persona_natural,177060,33880,1190,150,105170,670,8530,2130,21140,4200
Región de Aysén del General Carlos Ibáñez del Campo,total,19680,1800,440,20,13260,230,2050,90,1420,370
Región de Aysén del General Carlos Ibáñez del Campo,persona_jurídica,840,40,130,10,440,10,90,50,70,00
Región de Aysén del General Carlos Ibáñez del Campo,persona_natural,18840,1760,310,10,12820,220,1960,40,1350,370
Región de Magallanes y de la Antártica Chilena,total,5830,1200,50,70,3770,40,230,80,330,60
Región de Magallanes y de la Antártica Chilena,persona_jurídica,1660,30,00,10,1300,20,130,50,120,00
Región de Magallanes y de la Antártica Chilena,persona_natural,4170,1170,50,60,2470,20,100,30,210,60
