Total Nacional - Región_0,bovinos_1,ovinos_2,caprinos_3,porcinos_4,caballares_5,mulares_y_burdéganos_6,asnales_7,llamas_8,alpacas_9,huarizos_10,conejos_11,jabalíes_12,ciervos_13,gallinas/pollos_4_14,pavos_15,otras_aves_de_corral_5_16
Total Nacional,24744060,25292380,3334360,26894650,1689400,25830,50290,208570,167070,640,295520,19060,21490,594175640,22240540,2840140
Región de Arica y Parinacota,10110,101750,41510,6190,690,170,60,60080,105190,570,2500,00,00,19079030,1240,5970
Región de Tarapacá ,930,110170,62300,9150,580,460,1800,104260,27680,00,58950,40,00,1589050,1100,9930
Región de Antofagasta,2410,58260,39130,4990,1940,1340,1950,33610,40,00,57370,660,20,2792200,1640,16780
Región de Atacama,22970,39270,195880,5610,21050,1100,6040,80,110,20,13780,150,20,169410,6260,31410
Región de Coquimbo,115940,297270,1598370,26740,107490,14290,29970,1140,710,10,17770,220,40,11957520,119930,73130
Región de Valparaíso,481650,90290,101940,7237980,108610,2150,1490,1670,15970,00,7050,2800,1980,118050130,20973840,231270
Región Metropolitana de Santiago,601140,127880,104070,6434680,146520,1560,900,570,1200,00,69420,310,740,186409470,8660,133530
Región del Libertador General Bernardo O'Higgins,476190,1053870,158870,8210500,167840,1290,1200,1260,3020,30,13760,340,820,179060560,34250,118170
Región del Maule,1419090,1049400,220110,1345610,341420,1070,2540,890,3430,00,13280,750,2700,20111630,153520,153590
Región de Ñuble,1110480,601570,140280,1833060,184700,640,440,620,400,00,10680,4530,1050,20946900,144410,150280
Región del Biobío ,1643500,469200,137320,354410,127120,160,190,480,220,00,7800,510,2240,19057410,167240,229770
Región de La Araucanía,3687850,2208980,296450,774160,168940,540,500,1270,1960,00,11680,2920,5980,8298730,415830,786470
Región de Los Ríos,4856380,852940,65380,209350,84400,180,210,250,1270,00,5450,3700,480,2201030,52700,314330
Región de Los Lagos,7743210,2277980,90820,424290,97490,430,2850,1100,1710,00,5220,1910,3100,3901380,128930,523680
Región de Aysén del General Carlos Ibáñez del Campo,1308320,1779340,81750,13610,64400,450,150,90,1850,10,780,220,1000,454250,30510,56890
Región de Magallanes y de la Antártica Chilena,1263890,14174210,180,4320,66210,00,00,1200,2310,00,30,00,1320,96940,480,4940
