Total Nacional - Región,total,column_2,colmenas_modernas_5,column_4,colmenas_rústicas_6,column_6
"","número_de_upa3,4",número_de_colmenas,número_de_upa4,número_de_colmenas,número_de_upa4,número_de_colmenas
Total Nacional,5909.0,333037.0,4997.0,306758.0,995.0,26279.0
Región de Arica y Parinacota,6.0,53.0,5.0,49.0,2.0,4.0
Región de Tarapacá ,8.0,48.0,4.0,18.0,4.0,30.0
Región de Antofagasta,7.0,25.0,5.0,21.0,2.0,4.0
Región de Atacama,30.0,359.0,24.0,332.0,6.0,27.0
Región de Coquimbo,297.0,6448.0,230.0,5921.0,70.0,527.0
Región de Valparaíso,186.0,24658.0,165.0,22541.0,22.0,2117.0
Región Metropolitana de Santiago,209.0,29572.0,188.0,29298.0,23.0,274.0
Región del Libertador General Bernardo O'Higgins,387.0,50291.0,353.0,48967.0,34.0,1324.0
Región del Maule,686.0,63887.0,597.0,53961.0,95.0,9926.0
Región de Ñuble,444.0,38936.0,386.0,36789.0,61.0,2147.0
Región del Biobío ,947.0,36048.0,824.0,33951.0,130.0,2097.0
Región de La Araucanía,1690.0,38489.0,1402.0,34933.0,319.0,3556.0
Región de Los Ríos,456.0,16781.0,398.0,15987.0,65.0,794.0
Región de Los Lagos,536.0,27070.0,402.0,23666.0,155.0,3404.0
Región de Aysén del General Carlos Ibáñez del Campo,29.0,366.0,22.0,318.0,7.0,48.0
Región de Magallanes y de la Antártica Chilena,1.0,6.0,1.0,6.0,0.0,0.0
