Total Nacional - Región_0,comuna_6_7_8_1,número__de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25,número_de_upa_26,superficie_(ha)_27,número_de_upa_28,superficie_(ha)_29,número_de_upa_30,superficie_(ha)_31,número_de_upa_32,superficie_(ha)_33,número_de_upa_34,superficie_(ha)_35,número_de_upa_36,superficie_(ha)_37,número_de_upa_38,superficie_(ha)_39
Total Nacional,total_nacional,1386280,4574256515956164,330400,4273600920000671,281410,479512890000186,17640,529986210000005,455080,588917804379845,454420,3748090440000359,60880,100811458,15630,9391152,10490,192599039999696,15950,32975064999999,241090,1932085860000417,303640,2068400835026187,399320,9616153049997235,187100,5282913579999926,801020,8062137112799604,273940,7059063365948375,273010,4072416487004184,255670,1920498823609896,1055830,2047443479025319
Región de Arica y Parinacota,total_región,12670,421712261,190,4725,730,37937,10,20,9690,2762374,2500,565197,30,25,170,6297,50,3651,100,628,1810,906495,90,704,40,1596107,170,195287,500,10855327,2790,17586072,850,206107974,1830,65911242,6660,1259883
Región de Arica y Parinacota,arica,9620,20038905,20,380,20,11,10,20,8600,2664475,1890,51657,00,00,110,504,30,3301,100,628,470,182875,00,00,00,00,00,00,20,36744,1910,111504,130,291204,1470,11594765,5950,60027
Región de Arica y Parinacota,camarones,1220,8366171,70,525,70,85,00,00,320,42574,450,43337,30,25,00,00,20,35,00,00,620,4700,00,00,00,00,00,00,10,059,370,557,30,7025,250,746225,230,20172
Región de Arica y Parinacota,putre,1510,363580085,100,40,640,28337,00,00,790,55325,170,529,00,00,60,1257,00,00,00,00,740,25312,90,704,40,159565,170,195287,290,10737514,520,16415332,400,180440854,110,40644727,380,440293
Región de Arica y Parinacota,general_lagos,420,297271,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,05,00,00,10,457,00,00,200,8101,00,00,320,2268483,30,62095,130,176
Región de Tarapacá ,total_región,8350,23634463311,1170,32153,590,30061,10,0027,5200,5761751,2640,277025,30,4345,130,2601,40,0321,200,1056,2690,194767,240,24624718,230,13875081,00,00,120,18212322,4470,2723697,310,521078206,730,1617537279,4030,76222
Región de Tarapacá ,iquique/alto_hospicio,130,769475066,00,00,00,00,00,00,80,39466,30,12475,10,0018,00,00,00,00,10,0013,20,012,10,05,00,00,00,00,10,529,80,10973,10,36866,20,7654151,80,4001
Región de Tarapacá ,pozo_almonte,1800,8453008559999999,120,4243,140,0305,10,0027,1380,101286,350,987,20,3827,110,2001,00,00,20,004,1070,853,220,509,230,3797321,00,00,10,4415401,1380,933929,40,12945398,130,6667230729999999,1280,26554
Región de Tarapacá ,camiña,1830,205928148,210,541,30,015,00,00,1730,11041804587152,10,004,00,00,00,00,20,03,10,002,510,9304,00,00,00,00,00,00,20,203405,220,7427,140,8402757999999999,190,119664068,210,253795412844
Región de Tarapacá ,colchane,730,5012591,510,29711,340,27458,00,00,170,20822,10,0125,00,00,00,00,00,00,00,00,40,965,00,00,00,00,00,00,70,81659,550,722428,20,271146,30,4060,50,09480000000000001
