Total Nacional - Región _0,sexo3_1,total_de_personas_productoras_naturales_2,exclusivamente_propietario_(con_o_sin_título_inscrito_en_el_cbr_4)_3,exclusivamente_arrendatario_5_4,exclusivamente_propietario_y_arrendatario_5,exclusivamente_propietario_y_además_tiene_otros_tipos_de_tenencia_6_(excluye_arrendatario)_6,exclusivamente_arrendatario_y_además_tiene_otros_tipos_de_tenencia_6_(excluye_propietarios_con_o_sin_título_cbr)_7,exclusivamente_otros_tipos_de_tenencia_6_8,exclusivamente_no_sabe_no_responde_9,otros_7_10
Total Nacional,total_región,1296070,903440,86170,52230,68670,8720,167310,1240,8290
Total Nacional,productores_hombres,880780,590420,72210,45590,50390,7610,106480,760,7320
Total Nacional,productoras_mujeres,404820,305370,13520,6470,17860,1090,59110,440,960
Total Nacional,sin_especificar,10470,7650,440,170,420,20,1720,40,10
Región de Arica y Parinacota,total_región,12200,4950,3740,790,180,110,2430,00,00
Región de Arica y Parinacota,productores_hombres,8430,3200,2700,560,110,80,1780,00,00
Región de Arica y Parinacota,productoras_mujeres,3740,1740,1040,230,70,30,630,00,00
Región de Arica y Parinacota,sin_especificar,30,10,00,00,00,00,20,00,00
Región de Tarapacá ,total_región,8070,3940,1880,500,430,160,1030,00,130
Región de Tarapacá ,productores_hombres,5320,2690,1200,290,290,140,630,00,80
Región de Tarapacá ,productoras_mujeres,2740,1250,680,210,140,20,390,00,50
Región de Tarapacá ,sin_especificar,10,00,00,00,00,00,10,00,00
Región de Antofagasta,total_región,7060,3160,930,100,980,10,1870,00,10
Región de Antofagasta,productores_hombres,3760,1740,600,60,490,10,850,00,10
Región de Antofagasta,productoras_mujeres,3110,1280,330,40,480,00,980,00,00
Región de Antofagasta,sin_especificar,190,140,00,00,10,00,40,00,00
Región de Atacama,total_región,12390,8270,990,200,360,60,2490,10,10
Región de Atacama,productores_hombres,8750,5730,820,180,300,50,1660,00,10
Región de Atacama,productoras_mujeres,3600,2520,160,20,60,10,820,10,00
Región de Atacama,sin_especificar,40,20,10,00,00,00,10,00,00
Región de Coquimbo,total_región,63150,35470,6810,830,2110,320,17430,40,140
Región de Coquimbo,productores_hombres,44100,24860,4940,740,1690,280,11440,20,130
