Total Nacional - Región_0,total_1,18_-_24_2,25_-_49_3,50_-_64_4,65_y_más_5,no_declara_edad_6,18_-_24_7,25_-_49_8,50_-_64_9,65_y_más_10,no_declara_edad_11,18_-_24_12,25_-_49_13,50_-_64_14,65_y_más_15,no_declara_edad_16,18_-_24_17,25_-_49_18,50_-_64_19,65_y_más_20,no_declara_edad_21
Total Nacional,107500,1080,48020,39340,13020,6040,150,5400,3370,1150,30,850,40260,32870,10570,590,80,2360,3100,1300,5420
Región de Arica y Parinacota,520,00,240,170,30,80,00,50,50,00,10,00,170,100,30,00,00,20,20,00,70
Región de Tarapacá ,420,20,200,120,70,10,00,40,50,10,00,20,160,70,60,00,00,00,00,00,10
Región de Antofagasta,410,00,210,120,60,20,00,50,30,10,00,00,150,90,50,00,00,10,00,00,20
Región de Atacama,1160,10,440,430,180,100,00,30,20,20,00,10,410,400,110,30,00,00,10,50,70
Región de Coquimbo,5640,10,2380,2190,770,290,10,270,200,80,00,00,1990,1840,650,50,00,120,150,40,240
Región de Valparaíso,9940,80,5030,3330,1250,250,10,710,310,110,00,70,4130,2730,980,80,00,190,290,160,170
Región Metropolitana de Santiago,10920,60,4710,4610,1230,310,20,420,190,90,00,40,4090,4110,980,60,00,200,310,160,250
Región del Libertador General Bernardo O'Higgins,15820,140,7720,6120,1430,410,30,660,340,100,00,110,6730,5490,1180,70,00,330,290,150,340
Región del Maule,21080,280,10360,7490,2200,750,20,1000,370,140,00,230,8900,6590,1890,110,30,460,530,170,640
Región de Ñuble,7350,80,3140,2530,980,620,10,300,220,60,00,70,2550,1960,800,30,00,290,350,120,590
Región del Biobío ,6920,40,2460,2760,1180,480,10,310,330,80,00,20,2010,2040,950,30,10,140,390,150,450
Región de La Araucanía,9360,40,3450,3250,1300,1320,10,630,480,210,00,10,2610,2500,1020,30,20,210,270,70,1290
Región de Los Ríos ,6940,80,2980,2350,980,550,00,450,290,90,00,70,2360,1900,820,20,10,170,160,70,530
Región de Los Lagos,8260,140,3440,2980,1030,670,20,310,390,90,10,110,2970,2330,800,40,10,160,260,140,620
Región de Aysén del General Carlos Ibáñez del Campo,1130,30,560,340,120,80,10,100,30,40,00,20,420,280,60,10,00,40,30,20,70
Región de Magallanes y de la Antártica Chilena,1630,70,700,550,210,100,00,70,70,20,10,70,610,440,190,30,00,20,40,00,60
