Total Nacional - Región _0,sexo_persona_productora_34_1,total_personas_productoras_2,número_personas_productoras_3,superficie_(ha)_de_la_upa_4,número_personas_productoras_5,superficie_(ha)_de_la_upa_6,número_personas_productoras_7,superficie_(ha)_de_la_upa_8,número_personas_productoras_9,superficie_(ha)_de_la_upa_10,número_personas_productoras_11,superficie_(ha)_de_la_upa_12,número_personas_productoras_13,superficie_(ha)_de_la_upa_14,número_personas_productoras_15,superficie_(ha)_de_la_upa_16,número_personas_productoras_17,superficie_(ha)_de_la_upa_18
Total Nacional,total_nacional,344410,314290,5498028721239377,14660,6257596325,2910,1139653,810,17803,920,1037734,8280,1042517075,260,9341,2280,16867802725
Total Nacional,productores_hombres,208000,187860,3516887388930009,9970,52962134,1580,81642,430,91782,560,1003764,5890,80531295,200,6169,1510,15697584725
Total Nacional,productoras_mujeres,136250,126270,1979567732309368,4690,961382925,1330,323233,380,86248,360,3397,2390,237204125,60,3172,770,1170218
Total Nacional,sin_especificar,160,160,15736,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Arica y Parinacota,total_región,8870,80,292,8520,3344036325,00,00,210,79465,00,00,30,115,00,00,30,269
Región de Arica y Parinacota,productores_hombres,6110,40,202,5880,2445861,00,00,140,5677,00,00,20,100,00,00,30,269
Región de Arica y Parinacota,productoras_mujeres,2760,40,90,2640,898175325,00,00,70,22695,00,00,10,15,00,00,00,00
Región de Arica y Parinacota,sin_especificar,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Tarapacá ,total_región,6500,50,21877,5640,2855988,00,00,530,6836500000000001,00,00,90,31112,00,00,190,304475
Región de Tarapacá ,productores_hombres,4230,40,21457,3760,27967504,00,00,260,33212,00,00,80,30941,00,00,90,2199
Región de Tarapacá ,productoras_mujeres,2270,10,4199999999999999,1880,592376,00,00,270,35153,00,00,10,0171,00,00,100,84575
Región de Tarapacá ,sin_especificar,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Antofagasta,total_región,3090,00,00,130,2316,2890,1134853,50,176,00,00,00,00,00,00,20,13
Región de Antofagasta ,productores_hombres,1680,00,00,90,198,1560,81162,20,08,00,00,00,00,00,00,10,03
Región de Antofagasta ,productoras_mujeres,1410,00,00,40,336,1330,323233,30,168,00,00,00,00,00,00,10,10
Región de Antofagasta ,sin_especificar,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Atacama,total_región,4340,120,25459,30,55,00,00,00,00,850,1035689,3110,6636384,150,4901,80,278155
Región de Atacama,productores_hombres,2930,80,2392,20,45,00,00,00,00,530,1003364,2150,4807854,100,1829,50,27358
Región de Atacama,productoras_mujeres,1410,40,1539,10,10,00,00,00,00,320,32325,960,182853,50,3072,30,4575
Región de Atacama,sin_especificar,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Región de Coquimbo,total_región,6580,1270,44043868,230,47053,00,00,00,00,70,2045,4690,365129275,110,444,210,156853
Región de Coquimbo,productores_hombres,4700,890,5664068000000001,160,44088,00,00,00,00,30,40,3370,31292425,100,434,150,13846
