Total Nacional - Región_0,comuna6_7_1,especie_2,número_de_upa89_3,superficie_(ha)_4,en_riego_5,en_secano_6,sin_clasificar_10_7,en_formación_11_8,en_producción_12_9,sin_clasificar_10_10
Total Nacional,total_nacional,total,454420,3748090422,359445618,146675472,695877,745899681048376,2985707340000201,1648342
Total Nacional,total_nacional,sin_clasificar,8600,2184326,601404,1582272,065,1037945819656,5093092840799,1571222
Total Nacional,total_nacional,almendro,5870,89065878,88885378,1758,047,1083062,78235257944664,00
Total Nacional,total_nacional,berries,85180,242958209,240181259,267805,9889999999999999,3232656,210631649999983,00
Total Nacional,total_nacional,avellano_europeo,7050,348168789,30889837,39148219,1222,144928970000001,20323982,00
Total Nacional,total_nacional,castaño,8080,18804374,9066894,973748,00,538336,1342101375,00
Total Nacional,total_nacional,cerezo,46660,6067189049999999,601901775,442465,39248,233275812070726,373443090000026,00
Total Nacional,total_nacional,chirimoyo,550,2740819,2740619,002,00,10637,263445,00
Total Nacional,total_nacional,ciruelo_europeo,13250,14315947,14184862,130385,07,1263684,13052263084018,00
Total Nacional,total_nacional,ciruelo_japonés,2510,34652168,34517218,8795,47,400755,3064462,00
Total Nacional,total_nacional,clementina,1180,2849855,2849815,004,00,68962,2160235,00
Total Nacional,total_nacional,damasco,4500,5394424,5348744,4568000000000001,00,40535,49890745,00
Total Nacional,total_nacional,duraznero_(consumo_fresco),15380,30177283,29332453,79583,49,303282,27144462911878,00
Total Nacional,total_nacional,duraznero_(tipo_conservero),7420,45467608,45226778,6223,1786,214228,4332532875,00
Total Nacional,total_nacional,granado,910,266159,265849,031,00,0492,265667,00
Total Nacional,total_nacional,higuera,1840,108815,10375,5065,00,10686,98129,00
Total Nacional,total_nacional,kiwi,3460,59729251,59487851,005,2409,220938,57519869999988,00
Total Nacional,total_nacional,lima_(o_limón_sutil),980,902979,902469,0021,003,28362,61936,00
Total Nacional,total_nacional,limón_de_pica,1310,47799,4468,3119,00,2995,44804,00
Total Nacional,total_nacional,limonero,19000,94222659,94058509,14415,20,1993089,7429177,00
Total Nacional,total_nacional,mandarina,3350,7691174900000001,76909489,0225,0001,2176812,5514363,00
Total Nacional,total_nacional,mango,2300,117828,114157,3671,00,19786,98042,00
Total Nacional,total_nacional,manzana,65540,292594333,265920293,2443754,22365,2269911,269895222097704,00
Total Nacional,total_nacional,membrillo,6260,4268318,3641738,62658,00,20897,405935,00
