Total Nacional - Región_0,comuna_6_7_1,tipo_de_cultivo_2,especie_3,número_de_upa_8910_4,superficie_total_cultivo_(ha)_5,riego_
superficie_(ha)_6,secano
superficie_(ha)_7,sin_clasificar_11
superficie_(ha)_8
Total Nacional,total_nacional,cereales,total,333500,431773693000067,1513621380000449,2780509440000221,2360611
Total Nacional,total_nacional,cereales,sin_clasificar,5170,2361611,00,10,2360611
Total Nacional,total_nacional,cereales,amaranto,50,224,222,002,00
Total Nacional,total_nacional,cereales,arroz,7880,1818638,1816038,260,00
Total Nacional,total_nacional,cereales,avena_(grano_seco),150850,1170963509999869,962198,1074743709999869,00
Total Nacional,total_nacional,cereales,cebada_cervecera,3860,11340022000026,1505332,9834690000026,00
Total Nacional,total_nacional,cereales,centeno,340,225895,09,224995,00
Total Nacional,total_nacional,cereales,chía,50,7299999999999999,6299999999999999,10,00
Total Nacional,total_nacional,cereales,maíz,81510,868330780000437,815037950000374,53292830000063,00
Total Nacional,total_nacional,cereales,mijo,130,823,805,18,00
Total Nacional,total_nacional,cereales,quinoa,1830,6944859999999999,179128,515358,00
Total Nacional,total_nacional,cereales,sorgo,140,215,195,20,00
Total Nacional,total_nacional,cereales,trigo_blanco,174440,1588087950000014,240201379999985,134788657000003,00
Total Nacional,total_nacional,cereales,trigo_candeal,11400,18741840000009,13828745000009,4913095,00
Total Nacional,total_nacional,cereales,triticale,3810,1177283,91009,1086274,00
Total Nacional,total_nacional,cereales,otros_cereales,5060,5599065000000001,152313,4075935,00
Total Nacional,total_nacional,forrajeras,total,253940,2137168000000417,860344160000095,1242702160000322,3412168
Total Nacional,total_nacional,forrajeras,sin_clasificar,3560,3412168,00,00,3412168
Total Nacional,total_nacional,forrajeras,alfalfa,87410,500019470000095,397522170000095,1024973,00
Total Nacional,total_nacional,forrajeras,arveja_forrajera,4030,1457881,316402,1141479,00
Total Nacional,total_nacional,forrajeras,arvejilla,30,20,10,10,00
Total Nacional,total_nacional,forrajeras,avena_(forrajera)_sola,60260,23796834,5674125,18122709,00
Total Nacional,total_nacional,forrajeras,avena_asociada,37840,17279362,3417622,1386174,00
Total Nacional,total_nacional,forrajeras,ballica_anual,16720,13170579,3445045,9725534,00
Total Nacional,total_nacional,forrajeras,ballica_bianual,9990,9889947,2596615,7293332,00
Total Nacional,total_nacional,forrajeras,ballica_perenne_o_persistente,11450,24394702,4772275,19622427,00
Total Nacional,total_nacional,forrajeras,betarraga_forrajera,210,3730,10,3720,00
Total Nacional,total_nacional,forrajeras,cebada_forrajera_(incluye_silo),6170,1917653,523388,1394265,00
Total Nacional,total_nacional,forrajeras,centeno_forrajero,390,3835,00,3835,00
Total Nacional,total_nacional,forrajeras,col,990,16704320000025,46002,16244300000025,00
Total Nacional,total_nacional,forrajeras,falaris,210,6609,115,6494,00
Total Nacional,total_nacional,forrajeras,festuca,1880,2387825,1121405,126642,00
Total Nacional,total_nacional,forrajeras,haba_forrajera,40,1905,305,160,00
Total Nacional,total_nacional,forrajeras,lotera_o_alfalfa_chilota,10,10,00,10,00
Total Nacional,total_nacional,forrajeras,maíz_para_silo,5830,197778430000225,8959293,108185500000225,00
Total Nacional,total_nacional,forrajeras,mezcla_de_forrajeras,11000,17250316,6563713,10686603,00
Total Nacional,total_nacional,forrajeras,mijo,20,281,281,00,00
Total Nacional,total_nacional,forrajeras,nabo_(incluye_silo),1590,13445,1125,12320,00
Total Nacional,total_nacional,forrajeras,pasto_canario,120,7201,801,640,00
Total Nacional,total_nacional,forrajeras,pasto_miel,1410,410885,1179,292985,00
Total Nacional,total_nacional,forrajeras,pasto_ovillo,2260,4036748,1010765,3025983,00
Total Nacional,total_nacional,forrajeras,sorgo,240,125705,28475,9723,00
Total Nacional,total_nacional,forrajeras,raps_forrajero,1480,31591,31327,284583,00
Total Nacional,total_nacional,forrajeras,topinambur,20,15,10,05,00
Total Nacional,total_nacional,forrajeras,trébol_alejandrino,310,108922,102822,61,00
Total Nacional,total_nacional,forrajeras,trébol_balansa,140,65175,1025,6415,00
Total Nacional,total_nacional,forrajeras,trébol_blanco,4890,3603723,2017887,1585836,00
Total Nacional,total_nacional,forrajeras,trébol_encarnado,440,45215,1320,32015,00
Total Nacional,total_nacional,forrajeras,trébol_ladino,130,79703,48703,310,00
Total Nacional,total_nacional,forrajeras,trébol_rosado,20150,669779,3813017,2884773,00
Total Nacional,total_nacional,forrajeras,trébol_subterráneo,1110,626145,167675,45847,00
Total Nacional,total_nacional,forrajeras,vicia,550,4179500000000001,210925,207025,00
Total Nacional,total_nacional,forrajeras,otras_forrajeras_anuales,2340,22187550000072,24005,19787050000072,00
Total Nacional,total_nacional,forrajeras,otras_forrajeras_permanentes,1640,1834425,466415,136801,00
Total Nacional,total_nacional,cultivos_industriales,total,17640,5299862100000049,195424189999979,324296820000026,102652
Total Nacional,total_nacional,cultivos_industriales,sin_clasificar,350,102652,00,00,102652
Total Nacional,total_nacional,cultivos_industriales,achicoria,540,321285,319285,200,00
Total Nacional,total_nacional,cultivos_industriales,alforfón_(trigo_sarraceno),80,5599999999999999,20,5399999999999999,00
Total Nacional,total_nacional,cultivos_industriales,algodón,10,0027,0027,00,00
Total Nacional,total_nacional,cultivos_industriales,colza,160,11720,220,11500,00
Total Nacional,total_nacional,cultivos_industriales,curaguilla,250,7662,7662,00,00
Total Nacional,total_nacional,cultivos_industriales,estevia_(o_stevia),10,001,001,00,00
Total Nacional,total_nacional,cultivos_industriales,hinojo,30,425,425,00,00
Total Nacional,total_nacional,cultivos_industriales,jojoba,120,2763,2588,175,00
Total Nacional,total_nacional,cultivos_industriales,linaza,90,32021,300,2021,00
Total Nacional,total_nacional,cultivos_industriales,lupino_dulce,2880,5600955,130,5587955,00
Total Nacional,total_nacional,cultivos_industriales,lupino_amargo,3220,209975,30,209675,00
Total Nacional,total_nacional,cultivos_industriales,maní,170,26028,26028,00,00
Total Nacional,total_nacional,cultivos_industriales,maravilla,660,263402,1991,64302,00
Total Nacional,total_nacional,cultivos_industriales,mimbre,260,5252,5252,00,00
Total Nacional,total_nacional,cultivos_industriales,mostaza,40,189999999993,00,189999999993,00
Total Nacional,total_nacional,cultivos_industriales,raps_(canola),3000,256378940000012,25771899999979,230607040000033,00
Total Nacional,total_nacional,cultivos_industriales,remolacha,2460,619258,617208,205,00
Total Nacional,total_nacional,cultivos_industriales,soya,130,983,983,00,00
Total Nacional,total_nacional,cultivos_industriales,tabaco,1980,11157,11147,10,00
Total Nacional,total_nacional,cultivos_industriales,tomate,2140,4623389999999999,462269,07,00
Total Nacional,total_nacional,cultivos_industriales,topinambur,20,0502,0002,05,00
Total Nacional,total_nacional,cultivos_industriales,otros_industriales,1240,1660672,1310172,3505,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,total,286820,501047720000186,292480500000014,203211030000172,535619
