Total Nacional - Región_0,comuna_56_1,número_de_upa7_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25
Total Nacional,total_nacional,1386280,4574256515956164,97600,48129755983871,413640,1123718344172803,267820,1872042692584142,238270,3281646494103421,189870,5832334512363597,77710,5359920470633383,43520,60064368789072,30790,9468535893312059,12410,8540830907121255,6630,9116990543616049,8020,4067750651028187
Región de Arica y Parinacota,total_región,12670,421712261,1530,78281,7320,177735665,1830,121033,920,11838,530,16088406,110,70814,90,11650,130,475289275,120,813117,30,38170,60,39727945
Región de Arica y Parinacota,arica,9620,20038905,1160,64575,5960,144479665,1410,92721,670,86736,320,9399005999999999,60,40814,10,1000,10,27589275,00,00,10,178705,10,1322398
Región de Arica y Parinacota,camarones,1220,8366171,270,9281,580,14068,190,12525,100,1230,40,1030,10,600,00,00,00,00,00,00,00,00,30,780496
Región de Arica y Parinacota,putre,1510,363580085,100,4915,730,17568,170,11777,140,18515,110,38914,30,1900,70,8950,90,31690,50,295117,10,10500,10,35445226
Región de Arica y Parinacota,general_lagos,420,297271,10,001,90,197,70,471,20,2109,50,1530,10,500,20,2812,30,13080,70,51800,20,27670,30,199000
Región de Tarapacá,total_región,8350,23634463311,3330,1376645,3530,7669986,690,446608,360,469645,200,6500,110,682129,40,4620,50,160395,00,00,00,00,40,2358227336
Región de Tarapacá,iquique/alto_hospicio,130,769475066,60,2753,50,118136,00,00,10,1818,00,00,00,00,00,00,00,00,00,00,00,00,10,7691476
Región de Tarapacá,pozo_almonte,1800,8453008559999999,520,24746,820,183554,210,1216,100,12167,30,880,50,295226,10,1135,40,124845,00,00,00,00,20,8431041099999999
Región de Tarapacá,camiña,1830,205928148,1260,47128,530,8676,20,1282,10,110,00,00,00,00,00,00,00,00,00,00,00,00,10,20577044
Región de Tarapacá,colchane,730,5012591,00,00,210,50098,190,131662,120,147535,130,4390,40,2735,10,1415,10,3515,10,96205,00,00,10,2515746
Región de Tarapacá,huara,2150,10653616175,840,336055,1090,236532,120,7146,50,696,20,450,20,1048,00,00,00,00,00,00,00,00,10,106480062
Región de Tarapacá,pica,1920,164895612,730,33205,910,219061,150,105186,70,9505,20,765,00,00,20,2070,00,00,00,00,00,00,20,16415961
Región de Antofagasta,total_región,7220,5688403896,2860,139713,3470,84546,580,367975,170,20814,50,18014,10,519,00,00,20,8650,00,00,00,00,60,5685745568
Región de Antofagasta,antofagasta,1030,2551720838,930,45158,60,118,10,78,10,111,10,222,00,00,00,00,00,00,00,00,00,00,10,255162278
Región de Antofagasta,taltal,620,4002785000000001,380,2273,220,3482,10,65,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,399638
Región de Antofagasta,san_pedro_de_atacama,3260,196897452,790,3424,1920,498209,340,222625,120,15574,30,12842,00,00,00,00,00,00,00,00,00,00,60,195858218
Región de Antofagasta,calama/ollagüe,2320,296272956,760,36375,1250,297221,230,13627,30,313,10,2952,10,519,00,00,20,8650,00,00,00,00,10,29482537
Región de Antofagasta,mejillones/sierra_gorda,120,141233664,110,477,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,141233187
Región de Antofagasta,tocopilla/maría_elena,50,119114816,30,063,10,40,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,10,119114353
Región de Atacama,total_región,13520,446345424,2510,128179,6740,1607766,1550,103386,960,13015405,750,2263964,360,2421816,230,30704795,160,48045765,40,2721116,70,920438,150,44348965625
Región de Atacama,tierra_amarilla,1130,85092721,100,301,290,7542,110,762,70,9662,160,47574,80,55904,110,151872,70,198428,20,13619,20,315357,100,84162271
Región de Atacama,copiapó/caldera,2080,1072608812,290,14982,1030,23483,280,19087,200,26235,100,3283,80,56502,20,2203,40,131758,10,84109,20,22830,10,106635049
Región de Atacama,chañaral/diego_de_almagro,150,211052872,90,265,30,35,00,00,00,00,10,340,00,00,00,00,00,00,00,00,00,00,20,211048857
Región de Atacama,vallenar,2570,1892519650000016,310,1572,1260,3172949999999,270,17597,230,30639,250,8259000000017,150,99643,60,7944,20,5207075,00,00,00,00,20,1852991525
Región de Atacama,alto_del_carmen,4690,1840184329999983,1100,62301,2690,627756,470,30605,210,28823,120,359714,10,52556,20,22808,10,3510,10,518126,20,27370099999983,30,17848761
Región de Atacama,freirina,1310,2796446,430,17756,480,12041,80,5363,150,2235505,110,27736,20,14485,10,1868695,20,77122,00,00,10,10008,00,00
Región de Atacama,huasco,1800,533226540000001,220,1326,1020,2440250000001,350,236689,110,1388,50,15735,20,14972,10,1600,00,00,00,00,00,00,20,5222281
Región de Coquimbo,total_región,69290,1895692284,8670,43279225,29760,70813765,11780,78938950000001,9290,11961297,5060,1438319555,1440,97327735,880,12278831425,790,25164858775,350,25794053,370,532701875,900,17276990235
Región de Coquimbo,la_serena,4850,1544474500000023,750,3740125,2070,42603625,660,45324,810,10410,250,7197700000023,110,72564,50,5950,60,15539325,30,212423,20,27000,40,1440712
Región de Coquimbo,coquimbo,4190,726815059999977,920,47346,1600,33267875,670,458565,470,58123,290,84643625,70,53198,40,55076,70,25844599999977,10,78936,20,276288,30,6319581
Región de Coquimbo,andacollo,1260,78051,130,6537,610,15639,30,217,470,474863,10,230,10,9802,00,00,00,00,00,00,00,00,00,00
Región de Coquimbo,la_higuera,1040,9475009,200,1003,540,12056,70,382,120,13595,50,1496225,10,510,00,00,00,00,10,7726,00,00,40,934721275
Región de Coquimbo,paiguano,1430,144241038,350,18309,520,114903,150,103816,120,15926,90,2601,80,550167,40,628833,30,8472,00,00,00,00,50,14155845
Región de Coquimbo,vicuña,2120,394719627,400,21045,460,11452,290,199934,300,357261,290,856009,50,29522,120,175754,60,2109565,30,2292133,10,13565,110,3853599
Región de Coquimbo,illapel,5000,1823958540000001,440,20462,2030,455594,1070,7479390000001,690,971156,470,130691,150,100763,50,73098,30,99975,20,17625,20,21860,30,172206933
Región de Coquimbo,canela,7990,100409035,420,21137,3840,900558,1650,1139263,1340,171644,330,911972,60,4227,110,1654425,60,212267,40,35592,50,716277,90,807979
Región de Coquimbo,los_vilos,3100,7858689,210,7355,1390,307706,430,264965,240,30799,370,1171529,100,67587,120,168628,60,2069015,40,23150,50,65252,90,6325598
Región de Coquimbo,salamanca,8050,185730768,1290,61219,3780,998355,1490,1033691,950,1265727,360,10383068,60,4248,20,23985,30,9371592,10,74347,00,00,60,17898819
Región de Coquimbo,ovalle,11010,109956219,1050,54449,3640,89507375,1630,109789625,1790,235301,1590,4551705,500,3303095,320,44122275,190,597279,100,751704,100,148347625,100,6496417
Región de Coquimbo,combarbalá,6690,110660607,450,17016,2970,774665,1750,1133301,890,1160885,300,83325,90,6030,10,1000,50,131577,30,25307,60,89160,90,9327602
Región de Coquimbo,monte_patria,4820,14623286,1020,56032,2220,49818,570,3731225,290,40001,190,55909,70,45919,90,123632,160,44136175,50,328079,70,11388388,90,12356812
Región de Coquimbo,punitaqui,6210,41386563,520,23963,3150,75500875,1070,66450125,790,1015985,430,1087655,100,6481165,40,547466925,20,515096575,20,13000,30,367877,40,311500
Región de Coquimbo,río_hurtado,2280,78713267,620,34843,1050,257068,280,186876,130,17266,100,267285,40,30788,10,1270,00,00,10,68482,00,00,40,76674835
Región de Valparaíso,total_región,54840,6451129466999999,8690,4293950483871,19310,48236536999999,9250,63404170403225,5790,78062330000001,4730,146959256758063,2380,159888471806452,1680,234733388048388,1400,4401699675,670,4530177075,540,7397137625,400,4082649924999999
