Total Nacional -  Región_0,comuna_4_5_6_1,número_de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7
Total Nacional,total_nacional,1386280,4574256515956164,90210,3997753374072129,1296070,5765031418840352
Región de Arica y Parinacota,total_región,12670,421712261,510,38429721035,12160,3741505065
Región de Arica y Parinacota,arica,9620,20038905,410,1601622035,9210,402268465
Región de Arica y Parinacota,camarones,1220,8366171,40,587396,1180,2492211
Región de Arica y Parinacota,putre,1510,363580085,70,35555183,1440,8028255
Región de Arica y Parinacota,general_lagos,420,297271,40,68552,380,228719
Región de Tarapacá ,total_región,8350,23634463311,280,23341189986,8070,293273325
Región de Tarapacá ,iquique/alto_hospicio,130,7694750660000001,50,7693815460000001,80,9352
Región de Tarapacá ,pozo_almonte,1800,8453008559999999,110,8410261739999999,1690,4274682
Región de Tarapacá ,camiña,1830,205928148,10,20577044,1820,15770799999996
Región de Tarapacá ,colchane,730,5012591,20,110355,710,3909041
Región de Tarapacá ,huara,2150,10653616175,30,106481662,2120,54499750000004
Región de Tarapacá ,pica,1920,164895612,130,14446406,1790,20431552
Región de Antofagasta,total_región,7220,5688403896,220,5685932148,7000,2471748
Región de Antofagasta,antofagasta,1030,2551720838,110,255167043,920,50408
Región de Antofagasta,taltal,620,4002785000000001,10,399638,610,6405
Región de Antofagasta,san_pedro_de_atacama,3260,196897452,100,195942638,3160,954814
Región de Antofagasta,calama/ollagüe,2320,296272956,30,29487936,2290,1393596
Región de Antofagasta,mejillones/sierra_gorda,120,141233664,10,141233187,110,477
Región de Antofagasta,tocopilla/maría_elena,50,119114816,20,119114405,30,411
Región de Atacama,total_región,13520,446345424,1160,4361024325,12360,102429915
Región de Atacama,tierra_amarilla,1130,85092721,450,7660532899999999,680,8487392
Región de Atacama,copiapó/caldera,2080,1072608812,370,107142857,1710,1180242
Región de Atacama,chañaral/diego_de_almagro,150,211052872,30,211052257,120,615
