0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
"","",categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo
total_nacional_región,"comuna_6,_7,_8",total,total,cereales,cereales,leguminosas_y_tubérculos,leguminosas_y_tubérculos,cultivos_industriales,cultivos_industriales,"hortalizas,_hongos,_aromáticas,","hortalizas,_hongos,_aromáticas,",frutales,frutales,vides_para_vinificación_y_uvas_p,vides_para_vinificación_y_uvas_p,flores_de_corte,flores_de_corte,semilleros,semilleros,viveros_y_césped_alfombra,viveros_y_césped_alfombra,forrajeras,forrajeras,plantaciones_forestales,plantaciones_forestales,bosque_nativo,bosque_nativo,praderas_mejoradas,praderas_mejoradas,praderas_naturales,praderas_naturales,terrenos_productivos_no_trabajad,terrenos_productivos_no_trabajad,matorrales,matorrales,terrenos_no_productivos,terrenos_no_productivos,infraestructura,infraestructura
total_nacional_región,"comuna_6,_7,_8",número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha)
total_nacional,total_nacional,138628.0,45742565.15956164,33040.0,427360.0920000671,28141.0,47951.2890000186,1764.0,52998.6210000005,45508.0,58891.7804379845,45442.0,374809.0440000359,6088.0,100811.458,1563.0,939.1152,1049.0,19259.9039999696,1595.0,3297.5064999999,24109.0,193208.5860000417,30364.0,2068400.835026187,39932.0,9616153.049997235,18710.0,528291.3579999926,80102.0,8062137.112799604,27394.0,705906.3365948375,27301.0,4072416.487004184,25567.0,19204988.23609896,105583.0,204744.3479025319
región_de_arica_y_parinacota,total_región,1267.0,421712.261,19.0,47.25,73.0,37.937,1.0,2.0,969.0,2762.374,250.0,565.197,3.0,2.5,17.0,6.297,5.0,36.51,10.0,6.28,181.0,906.495,9.0,7.04,4.0,15961.07,17.0,1952.87,50.0,108553.27,279.0,17586.072,85.0,206107.974,183.0,65911.242,666.0,1259.883
región_de_arica_y_parinacota,arica,962.0,20038.905,2.0,38.0,2.0,1.1,1.0,2.0,860.0,2664.475,189.0,516.57,0.0,0.0,11.0,5.04,3.0,33.01,10.0,6.28,47.0,182.875,0.0,0.0,0.0,0.0,0.0,0.0,2.0,367.44,191.0,1115.04,13.0,2912.04,147.0,11594.765,595.0,600.27
región_de_arica_y_parinacota,camarones,122.0,8366.171,7.0,5.25,7.0,8.5,0.0,0.0,32.0,42.574,45.0,43.337,3.0,2.5,0.0,0.0,2.0,3.5,0.0,0.0,62.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.59,37.0,55.7,3.0,70.25,25.0,7462.25,23.0,201.72
región_de_arica_y_parinacota,putre,151.0,363580.085,10.0,4.0,64.0,28.337,0.0,0.0,79.0,55.325,17.0,5.29,0.0,0.0,6.0,1.257,0.0,0.0,0.0,0.0,74.0,253.12,9.0,7.04,4.0,15956.5,17.0,1952.87,29.0,107375.14,52.0,16415.332,40.0,180440.854,11.0,40644.727,38.0,440.293
región_de_arica_y_parinacota,general_lagos,42.0,29727.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,4.57,0.0,0.0,20.0,810.1,0.0,0.0,32.0,22684.83,3.0,6209.5,13.0,17.6
región_de_tarapacá,total_región,835.0,2363446.3311,117.0,321.53,59.0,30.061,1.0,0.027,520.0,576.1751,264.0,277.025,3.0,4.345,13.0,2.601,4.0,0.321,20.0,1.056,269.0,194.767,24.0,24624.718,23.0,13875.081,0.0,0.0,12.0,182123.22,447.0,2723.697,31.0,521078.206,73.0,1617537.279,403.0,76.222
región_de_tarapacá,iquique/alto_hospicio,13.0,76947.5066,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.9466,3.0,12.475,1.0,0.018,0.0,0.0,0.0,0.0,1.0,0.013,2.0,0.12,1.0,0.5,0.0,0.0,0.0,0.0,1.0,5.29,8.0,10.973,1.0,368.66,2.0,76541.51,8.0,4.001
región_de_tarapacá,pozo_almonte,180.0,845300.8559999999,12.0,4.243,14.0,0.305,1.0,0.027,138.0,101.286,35.0,9.87,2.0,3.827,11.0,2.001,0.0,0.0,2.0,0.04,107.0,85.3,22.0,5.09,23.0,3797.321,0.0,0.0,1.0,44154.01,138.0,933.929,4.0,129453.98,13.0,666723.0729999999,128.0,26.554
región_de_tarapacá,camiña,183.0,205928.148,21.0,5.41,3.0,0.15,0.0,0.0,173.0,110.41804587152,1.0,0.04,0.0,0.0,0.0,0.0,2.0,0.3,1.0,0.02,51.0,9.304,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2034.05,22.0,74.27,14.0,84027.57999999999,19.0,119664.068,21.0,2.53795412844
región_de_tarapacá,colchane,73.0,5012.591,51.0,297.11,34.0,27.458,0.0,0.0,17.0,20.822,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.65,0.0,0.0,0.0,0.0,0.0,0.0,7.0,816.59,55.0,722.428,2.0,2711.46,3.0,406.0,5.0,0.9480000000000001
región_de_tarapacá,huara,215.0,1065361.6175,32.0,8.363,8.0,2.148,0.0,0.0,169.0,333.42445412848,49.0,40.402,1.0,0.5,2.0,0.6,2.0,0.021,0.0,0.0,94.0,88.557,1.0,24619.0,1.0,9611.75,0.0,0.0,4.0,95514.36,84.0,583.465,8.0,263069.553,20.0,671471.13,83.0,18.34404587156
región_de_tarapacá,pica,192.0,164895.612,3.0,6.404,0.0,0.0,0.0,0.0,20.0,6.278000000000001,175.0,214.113,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.983,12.0,1.836,1.0,0.128,1.0,466.01,0.0,0.0,2.0,39598.92,148.0,398.632,7.0,41446.973,21.0,82731.49799999999,162.0,23.837
región_de_antofagasta,total_región,722.0,5688403.896000001,53.0,25.3,82.0,11.703,1.0,0.003,526.0,249.667,256.0,95.543,17.0,4.855,29.0,1.44,3.0,0.05200000000000001,17.0,4.306,386.0,622.412,15.0,16.139,63.0,24.507,3.0,0.861,72.0,364064.764,376.0,713.426,12.0,214138.45,133.0,5108279.008,466.0,151.46
región_de_antofagasta,antofagasta,103.0,2551720.838,0.0,0.0,1.0,0.3,0.0,0.0,87.0,12.892,11.0,5.224,0.0,0.0,1.0,0.05,3.0,0.05200000000000001,8.0,2.502,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,286099.45,61.0,7.759,1.0,124483.32,16.0,2141063.306,100.0,42.983
región_de_antofagasta,taltal,62.0,40027.85,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.378,60.0,25.66,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,32.51,1.0,148.39,4.0,39817.09,56.0,3.81
región_de_antofagasta,san_pedro_de_atacama,326.0,196897.452,17.0,4.695,46.0,7.296,0.0,0.0,226.0,99.516,153.0,59.308,17.0,4.855,5.0,0.37,0.0,0.0,3.0,1.05,223.0,416.324,5.0,12.163,61.0,24.007,3.0,0.861,53.0,77533.45,174.0,566.886,10.0,20.91,74.0,118094.516,169.0,51.245
región_de_antofagasta,calama/ollagüe,232.0,296272.956,36.0,20.605,34.0,4.047,1.0,0.003,186.0,136.171,34.0,5.221,0.0,0.0,23.0,1.02,0.0,0.0,3.0,0.7,164.0,202.588,8.0,2.276,2.0,0.5,0.0,0.0,19.0,431.864,79.0,102.691,3.0,81770.7,42.0,213544.906,130.0,49.664
región_de_antofagasta,mejillones/sierra_gorda,12.0,1412336.64,0.0,0.0,1.0,0.06,0.0,0.0,7.0,0.21,2.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.91,1.0,7705.55,2.0,1404626.44,9.0,1.33
región_de_antofagasta,tocopilla/maría_elena,5.0,1191148.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.032,1.0,0.5,2.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.67,1.0,9.58,2.0,1191132.75,5.0,2.428
región_de_atacama,total_región,1352.0,4463454.24,37.0,150.68,28.0,87.76,6.0,21.6,339.0,625.362,953.0,8126.201,150.0,480.68,12.0,4.868,1.0,3.0,24.0,11.245,260.0,1470.072,61.0,76.445,47.0,444.495,11.0,62.14,112.0,232780.925,705.0,10949.203,117.0,979415.77,348.0,3227499.043,1033.0,1244.751
región_de_atacama,tierra_amarilla,113.0,850927.21,0.0,0.0,0.0,0.0,0.0,0.0,21.0,25.305,71.0,4488.61,5.0,16.8,1.0,0.013,0.0,0.0,2.0,0.032,24.0,73.77,1.0,0.725,1.0,266.5,0.0,0.0,18.0,94.275,65.0,2375.732,9.0,357730.02,32.0,485285.81,99.0,569.618
región_de_atacama,copiapó/caldera,208.0,1072608.812,3.0,8.75,1.0,6.0,2.0,2.6,107.0,205.271,109.0,1149.246,10.0,148.5,3.0,1.753,0.0,0.0,8.0,4.171,41.0,91.93,1.0,12.0,1.0,100.0,4.0,52.1,7.0,10416.58,126.0,1915.347,15.0,334592.295,54.0,723693.59,178.0,208.679
región_de_atacama,chañaral/diego_de_almagro,15.0,2110528.72,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.27,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.52,0.0,0.0,0.0,0.0,2.0,2.03,2.0,187142.7,8.0,32.55,1.0,71519.49,3.0,1851823.11,11.0,7.04
