0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"","",tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años),tramo_de_edad_(años)
total_nacional_región,total,total_personas_administradoras,total_personas_administradoras,total_personas_administradoras,total_personas_administradoras,total_personas_administradoras,total_administradoras_mujeres,total_administradoras_mujeres,total_administradoras_mujeres,total_administradoras_mujeres,total_administradoras_mujeres,total_administradores_hombres,total_administradores_hombres,total_administradores_hombres,total_administradores_hombres,total_administradores_hombres,no_sabe._no_responde_2,no_sabe._no_responde_2,no_sabe._no_responde_2,no_sabe._no_responde_2,no_sabe._no_responde_2
total_nacional_región,total,18_24,25_49,50_64,65_y_más,no_declara_edad,18_24,25_49,50_64,65_y_más,no_declara_edad,18_24,25_49,50_64,65_y_más,no_declara_edad,18_24,25_49,50_64,65_y_más,no_declara_edad
total_nacional,10750.0,108.0,4802.0,3934.0,1302.0,604.0,15.0,540.0,337.0,115.0,3.0,85.0,4026.0,3287.0,1057.0,59.0,8.0,236.0,310.0,130.0,542.0
región_de_arica_y_parinacota,52.0,0.0,24.0,17.0,3.0,8.0,0.0,5.0,5.0,0.0,1.0,0.0,17.0,10.0,3.0,0.0,0.0,2.0,2.0,0.0,7.0
región_de_tarapacá,42.0,2.0,20.0,12.0,7.0,1.0,0.0,4.0,5.0,1.0,0.0,2.0,16.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
región_de_antofagasta,41.0,0.0,21.0,12.0,6.0,2.0,0.0,5.0,3.0,1.0,0.0,0.0,15.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0
región_de_atacama,116.0,1.0,44.0,43.0,18.0,10.0,0.0,3.0,2.0,2.0,0.0,1.0,41.0,40.0,11.0,3.0,0.0,0.0,1.0,5.0,7.0
región_de_coquimbo,564.0,1.0,238.0,219.0,77.0,29.0,1.0,27.0,20.0,8.0,0.0,0.0,199.0,184.0,65.0,5.0,0.0,12.0,15.0,4.0,24.0
región_de_valparaíso,994.0,8.0,503.0,333.0,125.0,25.0,1.0,71.0,31.0,11.0,0.0,7.0,413.0,273.0,98.0,8.0,0.0,19.0,29.0,16.0,17.0
región_metropolitana_de_santiago,1092.0,6.0,471.0,461.0,123.0,31.0,2.0,42.0,19.0,9.0,0.0,4.0,409.0,411.0,98.0,6.0,0.0,20.0,31.0,16.0,25.0
región_del_libertador_general_be,1582.0,14.0,772.0,612.0,143.0,41.0,3.0,66.0,34.0,10.0,0.0,11.0,673.0,549.0,118.0,7.0,0.0,33.0,29.0,15.0,34.0
región_del_maule,2108.0,28.0,1036.0,749.0,220.0,75.0,2.0,100.0,37.0,14.0,0.0,23.0,890.0,659.0,189.0,11.0,3.0,46.0,53.0,17.0,64.0
región_de_ñuble,735.0,8.0,314.0,253.0,98.0,62.0,1.0,30.0,22.0,6.0,0.0,7.0,255.0,196.0,80.0,3.0,0.0,29.0,35.0,12.0,59.0
región_del_biobío,692.0,4.0,246.0,276.0,118.0,48.0,1.0,31.0,33.0,8.0,0.0,2.0,201.0,204.0,95.0,3.0,1.0,14.0,39.0,15.0,45.0
región_de_la_araucanía,936.0,4.0,345.0,325.0,130.0,132.0,1.0,63.0,48.0,21.0,0.0,1.0,261.0,250.0,102.0,3.0,2.0,21.0,27.0,7.0,129.0
región_de_los_ríos,694.0,8.0,298.0,235.0,98.0,55.0,0.0,45.0,29.0,9.0,0.0,7.0,236.0,190.0,82.0,2.0,1.0,17.0,16.0,7.0,53.0
región_de_los_lagos,826.0,14.0,344.0,298.0,103.0,67.0,2.0,31.0,39.0,9.0,1.0,11.0,297.0,233.0,80.0,4.0,1.0,16.0,26.0,14.0,62.0
región_de_aysén_del_general_carl,113.0,3.0,56.0,34.0,12.0,8.0,1.0,10.0,3.0,4.0,0.0,2.0,42.0,28.0,6.0,1.0,0.0,4.0,3.0,2.0,7.0
región_de_magallanes_y_de_la_ant,163.0,7.0,70.0,55.0,21.0,10.0,0.0,7.0,7.0,2.0,1.0,7.0,61.0,44.0,19.0,3.0,0.0,2.0,4.0,0.0,6.0
