0,1,2,3,4,5,6,7,8,9,10
total_nacional_región,"comuna6,_7",especie,total,total,total,total,total,total,total,total
total_nacional_región,"comuna6,_7",especie,"número_de_upa8,9",superficie_(ha),superficie_(ha),superficie_(ha),superficie_(ha),estado_desarrollo_(ha),estado_desarrollo_(ha),estado_desarrollo_(ha)
total_nacional_región,"comuna6,_7",especie,"número_de_upa8,9",superficie_(ha),en_riego,en_secano,sin_clasificar_10,en_formación_11,en_producción_12,sin_clasificar_10
total_nacional,total_nacional,total,45442.0,374809.0422,359445.618,14667.5472,695.877,74589.9681048376,298570.7340000201,1648.342
total_nacional,total_nacional,sin_clasificar,860.0,2184.326,601.404,1582.272,0.65,103.7945819656,509.3092840799,1571.222
total_nacional,total_nacional,almendro,587.0,8906.5878,8888.5378,17.58,0.47,1083.062,7823.5257944664,0.0
total_nacional,total_nacional,berries,8518.0,24295.8209,24018.1259,267.805,9.889999999999999,3232.656,21063.1649999983,0.0
total_nacional,total_nacional,avellano_europeo,705.0,34816.8789,30889.837,3914.8219,12.22,14492.8970000001,20323.982,0.0
total_nacional,total_nacional,castaño,808.0,1880.4374,906.6894,973.748,0.0,538.336,1342.101375,0.0
total_nacional,total_nacional,cerezo,4666.0,60671.89049999999,60190.1775,442.465,39.248,23327.5812070726,37344.3090000026,0.0
total_nacional,total_nacional,chirimoyo,55.0,274.0819,274.0619,0.02,0.0,10.637,263.445,0.0
total_nacional,total_nacional,ciruelo_europeo,1325.0,14315.947,14184.862,130.385,0.7,1263.684,13052.263084018,0.0
total_nacional,total_nacional,ciruelo_japonés,251.0,3465.2168,3451.7218,8.795,4.7,400.755,3064.462,0.0
total_nacional,total_nacional,clementina,118.0,2849.855,2849.815,0.04,0.0,689.62,2160.235,0.0
total_nacional,total_nacional,damasco,450.0,539.4424,534.8744,4.568000000000001,0.0,40.535,498.90745,0.0
total_nacional,total_nacional,duraznero_(consumo_fresco),1538.0,3017.7283,2933.2453,79.583,4.9,303.282,2714.4462911878,0.0
total_nacional,total_nacional,duraznero_(tipo_conservero),742.0,4546.7608,4522.6778,6.223,17.86,214.228,4332.532875,0.0
total_nacional,total_nacional,granado,91.0,266.159,265.849,0.31,0.0,0.492,265.667,0.0
total_nacional,total_nacional,higuera,184.0,108.815,103.75,5.065,0.0,10.686,98.129,0.0
total_nacional,total_nacional,kiwi,346.0,5972.9251,5948.7851,0.05,24.09,220.938,5751.9869999988,0.0
total_nacional,total_nacional,lima_(o_limón_sutil),98.0,90.2979,90.2469,0.021,0.03,28.362,61.936,0.0
total_nacional,total_nacional,limón_de_pica,131.0,47.799,44.68,3.119,0.0,2.995,44.804,0.0
total_nacional,total_nacional,limonero,1900.0,9422.2659,9405.8509,14.415,2.0,1993.089,7429.177,0.0
total_nacional,total_nacional,mandarina,335.0,7691.174900000001,7690.9489,0.225,0.001,2176.812,5514.363,0.0
total_nacional,total_nacional,mango,230.0,117.828,114.157,3.671,0.0,19.786,98.042,0.0
total_nacional,total_nacional,manzana,6554.0,29259.4333,26592.0293,2443.754,223.65,2269.911,26989.5222097704,0.0
total_nacional,total_nacional,membrillo,626.0,426.8318,364.1738,62.658,0.0,20.897,405.935,0.0
total_nacional,total_nacional,"moras,_murta_y_zarzaparrila",1468.0,1209.5529,1197.3499,12.203,0.0,108.262,1101.291,0.0
total_nacional,total_nacional,naranjo,962.0,6063.3235,6047.8845,15.299,0.14,898.172,5165.1517087478,0.0
total_nacional,total_nacional,nectarino,394.0,5058.3261,4997.4562,22.5299,38.34,1017.65,4040.676395253,0.0
total_nacional,total_nacional,nogal,3005.0,42749.3071,42426.0421,195.165,128.1,6350.5348612539,36398.7721530809,0.0
total_nacional,total_nacional,olivo,1301.0,19416.5579,18816.7529,536.425,63.38,493.584,18922.974,0.0
total_nacional,total_nacional,palto,3064.0,30663.2839,30535.6339,86.05,41.59999999999999,6577.819000000101,24085.465,0.0
total_nacional,total_nacional,papayo,104.0,162.596,161.606,0.99,0.0,40.438,122.158,0.0
total_nacional,total_nacional,pera,749.0,5610.4179,5505.6049,38.767,66.04599999999999,272.227,5338.191,0.0
total_nacional,total_nacional,pistacho,42.0,177.905,177.905,0.0,0.0,131.65,46.255,0.0
total_nacional,total_nacional,pomelo,104.0,200.363,199.979,0.376,0.008,14.718,185.645,0.0
total_nacional,total_nacional,rosa_mosqueta_(cultivada),46.0,293.119,12.108,281.011,0.0,41.778,251.341,0.0
total_nacional,total_nacional,tuna,286.0,721.7597999999999,631.2573,90.4345,0.068,128.993,592.767,0.0
total_nacional,total_nacional,uva_de_mesa,1797.0,41967.71150000001,41463.3006,487.3009,17.11,5575.2089999999,36392.5027472395,0.0
total_nacional,total_nacional,otros_frutales,850.0,1031.995,909.715,122.259,0.021,208.082,823.913,0.0
total_nacional,total_nacional,quinta_frutal,16311.0,4314.32,1496.522,2817.143,0.655,285.8154545454,3951.3846321767,77.11999999999999
región_de_arica_y_parinacota,total_región,total,250.0,565.197,560.497,4.7,0.0,50.998,511.499,2.7
región_de_arica_y_parinacota,total_región,sin_clasificar,2.0,2.7,0.0,2.7,0.0,0.0,0.0,2.7
región_de_arica_y_parinacota,total_región,almendro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,berries,7.0,2.8,2.8,0.0,0.0,0.0,2.8,0.0
región_de_arica_y_parinacota,total_región,avellano_europeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,castaño,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,cerezo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,chirimoyo,4.0,0.331,0.331,0.0,0.0,0.0,0.331,0.0
región_de_arica_y_parinacota,total_región,ciruelo_europeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,ciruelo_japonés,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,clementina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,damasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,duraznero_(consumo_fresco),3.0,0.529,0.529,0.0,0.0,0.0,0.529,0.0
región_de_arica_y_parinacota,total_región,duraznero_(tipo_conservero),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,granado,5.0,4.84,4.84,0.0,0.0,0.04,4.8,0.0
región_de_arica_y_parinacota,total_región,higuera,1.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0
región_de_arica_y_parinacota,total_región,kiwi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,lima_(o_limón_sutil),15.0,43.375,43.375,0.0,0.0,5.825,37.55,0.0
región_de_arica_y_parinacota,total_región,limón_de_pica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,limonero,26.0,11.086,11.086,0.0,0.0,3.405,7.681,0.0
región_de_arica_y_parinacota,total_región,mandarina,6.0,12.4,12.4,0.0,0.0,1.5,10.9,0.0
región_de_arica_y_parinacota,total_región,mango,53.0,51.122,51.122,0.0,0.0,17.03,34.092,0.0
región_de_arica_y_parinacota,total_región,manzana,5.0,0.608,0.608,0.0,0.0,0.015,0.593,0.0
región_de_arica_y_parinacota,total_región,membrillo,19.0,3.883,3.883,0.0,0.0,0.16,3.723,0.0
región_de_arica_y_parinacota,total_región,"moras,_murta_y_zarzaparrila",1.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0
región_de_arica_y_parinacota,total_región,naranjo,39.0,24.996,24.996,0.0,0.0,2.862,22.134,0.0
región_de_arica_y_parinacota,total_región,nectarino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,nogal,1.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0
región_de_arica_y_parinacota,total_región,olivo,61.0,268.75,266.75,2.0,0.0,0.65,268.1,0.0
región_de_arica_y_parinacota,total_región,palto,27.0,41.476,41.476,0.0,0.0,4.251,37.225,0.0
región_de_arica_y_parinacota,total_región,papayo,18.0,5.27,5.27,0.0,0.0,2.5,2.77,0.0
región_de_arica_y_parinacota,total_región,pera,11.0,4.07,4.07,0.0,0.0,0.0,4.07,0.0
región_de_arica_y_parinacota,total_región,pistacho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,pomelo,4.0,1.6,1.6,0.0,0.0,0.0,1.6,0.0
región_de_arica_y_parinacota,total_región,rosa_mosqueta_(cultivada),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,tuna,25.0,11.072,11.072,0.0,0.0,1.7,9.372,0.0
región_de_arica_y_parinacota,total_región,uva_de_mesa,3.0,0.85,0.85,0.0,0.0,0.0,0.85,0.0
región_de_arica_y_parinacota,total_región,otros_frutales,100.0,61.369,61.369,0.0,0.0,8.86,52.509,0.0
región_de_arica_y_parinacota,total_región,quinta_frutal,25.0,11.95,11.95,0.0,0.0,2.2,9.75,0.0
región_de_arica_y_parinacota,arica,total,189.0,516.57,511.87,4.7,0.0,45.785,468.085,2.7
región_de_arica_y_parinacota,arica,sin_clasificar,2.0,2.7,0.0,2.7,0.0,0.0,0.0,2.7
región_de_arica_y_parinacota,arica,almendro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,berries,7.0,2.8,2.8,0.0,0.0,0.0,2.8,0.0
región_de_arica_y_parinacota,arica,avellano_europeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,castaño,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,cerezo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,chirimoyo,2.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0
región_de_arica_y_parinacota,arica,ciruelo_europeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,ciruelo_japonés,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,clementina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,damasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,duraznero_(consumo_fresco),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,duraznero_(tipo_conservero),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,granado,5.0,4.84,4.84,0.0,0.0,0.04,4.8,0.0
región_de_arica_y_parinacota,arica,higuera,1.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0
región_de_arica_y_parinacota,arica,kiwi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,lima_(o_limón_sutil),13.0,43.225,43.225,0.0,0.0,5.825,37.4,0.0
región_de_arica_y_parinacota,arica,limón_de_pica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,limonero,15.0,8.675,8.675,0.0,0.0,3.4,5.275,0.0
región_de_arica_y_parinacota,arica,mandarina,6.0,12.4,12.4,0.0,0.0,1.5,10.9,0.0
región_de_arica_y_parinacota,arica,mango,46.0,48.435,48.435,0.0,0.0,17.03,31.405,0.0
región_de_arica_y_parinacota,arica,manzana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,arica,membrillo,3.0,0.4,0.4,0.0,0.0,0.0,0.4,0.0
región_de_arica_y_parinacota,arica,"moras,_murta_y_zarzaparrila",1.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0
