0,1,2,3,4,5
"","",orientación_principal_3,orientación_principal_3,orientación_principal_3,orientación_principal_3
total_nacional_región,"total_número_de_upa_3,4",producción_de_miel,polinización_5,otra_finalidad_6,no_sabe._no_responde
total_nacional,5909.0,4118.0,331.0,96.0,1367.0
región_de_arica_y_parinacota,6.0,2.0,0.0,1.0,3.0
región_de_tarapacá,8.0,0.0,3.0,0.0,5.0
región_de_antofagasta,7.0,7.0,0.0,0.0,0.0
región_de_atacama,30.0,12.0,2.0,0.0,16.0
región_de_coquimbo,297.0,205.0,36.0,4.0,52.0
región_de_valparaíso,186.0,70.0,45.0,7.0,65.0
región_metropolitana_de_santiago,209.0,105.0,36.0,10.0,58.0
región_del_libertador_general_be,387.0,227.0,58.0,10.0,92.0
región_del_maule,686.0,449.0,65.0,8.0,165.0
región_de_ñuble,444.0,314.0,24.0,10.0,96.0
región_del_biobío,947.0,758.0,10.0,8.0,171.0
región_de_la_araucanía,1690.0,1318.0,27.0,27.0,319.0
región_de_los_ríos,456.0,299.0,15.0,10.0,132.0
región_de_los_lagos,536.0,349.0,6.0,2.0,179.0
región_de_aysén_del_general_carl,29.0,6.0,5.0,1.0,17.0
región_de_magallanes_y_de_la_ant,1.0,0.0,0.0,0.0,1.0
fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario
notas:,notas:,notas:,notas:,notas:,notas:
1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec
2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente
3._en_el_marco_del_proceso_de_co,3._en_el_marco_del_proceso_de_co,3._en_el_marco_del_proceso_de_co,3._en_el_marco_del_proceso_de_co,3._en_el_marco_del_proceso_de_co,3._en_el_marco_del_proceso_de_co
4._una_upa_puede_tener_más_de_un,4._una_upa_puede_tener_más_de_un,4._una_upa_puede_tener_más_de_un,4._una_upa_puede_tener_más_de_un,4._una_upa_puede_tener_más_de_un,4._una_upa_puede_tener_más_de_un
5._polinización_considera_el_arr,5._polinización_considera_el_arr,5._polinización_considera_el_arr,5._polinización_considera_el_arr,5._polinización_considera_el_arr,5._polinización_considera_el_arr
6._otra_finalidad_comprende_vent,6._otra_finalidad_comprende_vent,6._otra_finalidad_comprende_vent,6._otra_finalidad_comprende_vent,6._otra_finalidad_comprende_vent,6._otra_finalidad_comprende_vent
