total_nacional_region__,tipo_de_gestion__,actividad_principal_asociada_numero_de_upa5__total,actividad_principal_asociada_numero_de_upa5__cultivos,actividad_principal_asociada_numero_de_upa5__frutales,actividad_principal_asociada_numero_de_upa5__propagacion_de_plantas,actividad_principal_asociada_numero_de_upa5__ganaderia,actividad_principal_asociada_numero_de_upa5__actividades_de_apoyo_a_la_agricultura_ganaderia_y_actividades_de_poscosecha,actividad_principal_asociada_numero_de_upa5__actividad_forestal,actividad_principal_asociada_numero_de_upa5__agroindustria,actividad_principal_asociada_numero_de_upa5__actividades_no_silvoagropecuarias6,actividad_principal_asociada_numero_de_upa5__no_sabe._no_responde
Región del Libertador General Bernardo O'Higgins,Persona Jurídica,1572,211,1095,20,87,10,39,36,67,7
Región del Libertador General Bernardo O'Higgins,Persona Natural,7558,3393,1644,73,1388,56,301,20,595,88
Región del Maule,Total,17400,5572,5856,152,3326,118,753,98,1238,287
Región del Maule,Persona Jurídica,1682,197,1110,46,142,10,69,35,57,16
Región del Maule,Persona Natural,15718,5375,4746,106,3184,108,684,63,1181,271
Región de Ñuble,Total,12171,4150,2966,57,3221,48,510,71,908,240
Región de Ñuble,Persona Jurídica,560,105,243,9,87,6,56,12,35,7
Región de Ñuble,Persona Natural,11611,4045,2723,48,3134,42,454,59,873,233
Región del Biobío,Total,12448,3960,620,50,4214,103,1281,111,1844,265
Región del Biobío,Persona Jurídica,515,115,92,8,116,5,111,12,48,8
Región del Biobío,Persona Natural,11933,3845,528,42,4098,98,1170,99,1796,257
Región de La Araucanía,Total,36552,11811,1141,89,14962,225,2729,184,4573,838
Región de La Araucanía,Persona Jurídica,714,178,110,11,201,10,100,13,84,7
Región de La Araucanía,Persona Natural,35838,11633,1031,78,14761,215,2629,171,4489,831
Región de Los Ríos,Total,8749,1240,242,32,5747,46,484,177,645,136
Región de Los Ríos,Persona Jurídica,552,65,65,12,293,1,43,36,32,5
Región de Los Ríos,Persona Natural,8197,1175,177,20,5454,45,441,141,613,131
Región de Los Lagos,Total,18343,3433,181,24,10932,69,885,240,2153,426
Región de Los Lagos,Persona Jurídica,637,45,62,9,415,2,32,27,39,6
Región de Los Lagos,Persona Natural,17706,3388,119,15,10517,67,853,213,2114,420
Región de Aysén del General Carlos Ibáñez del Campo,Total,1968,180,44,2,1326,23,205,9,142,37
Región de Aysén del General Carlos Ibáñez del Campo,Persona Jurídica,84,4,13,1,44,1,9,5,7,0
Región de Aysén del General Carlos Ibáñez del Campo,Persona Natural,1884,176,31,1,1282,22,196,4,135,37
Región de Magallanes y de la Antártica Chilena,Total,583,120,5,7,377,4,23,8,33,6
Región de Magallanes y de la Antártica Chilena,Persona Jurídica,166,3,0,1,130,2,13,5,12,0
Región de Magallanes y de la Antártica Chilena,Persona Natural,417,117,5,6,247,2,10,3,21,6
