total_nacional_region__,comuna_6_7_8__,categorias_de_uso_del_suelo__total__numero_de_upa,categorias_de_uso_del_suelo__total__superficie_ha,categorias_de_uso_del_suelo__cereales__numero_de_upa,categorias_de_uso_del_suelo__cereales__superficie_ha,categorias_de_uso_del_suelo__leguminosas_y_tuberculos__numero_de_upa,categorias_de_uso_del_suelo__leguminosas_y_tuberculos__superficie_ha,categorias_de_uso_del_suelo__cultivos_industriales__numero_de_upa,categorias_de_uso_del_suelo__cultivos_industriales__superficie_ha,categorias_de_uso_del_suelo__hortalizas_hongos_aromaticas_medicinales_y_condimentarias__numero_de_upa,categorias_de_uso_del_suelo__hortalizas_hongos_aromaticas_medicinales_y_condimentarias__superficie_ha,categorias_de_uso_del_suelo__frutales__numero_de_upa,categorias_de_uso_del_suelo__frutales__superficie_ha,categorias_de_uso_del_suelo__vides_para_vinificacion_y_uvas_pisqueras__numero_de_upa,categorias_de_uso_del_suelo__vides_para_vinificacion_y_uvas_pisqueras__superficie_ha,categorias_de_uso_del_suelo__flores_de_corte__numero_de_upa,categorias_de_uso_del_suelo__flores_de_corte__superficie_ha,categorias_de_uso_del_suelo__semilleros__numero_de_upa,categorias_de_uso_del_suelo__semilleros__superficie_ha,categorias_de_uso_del_suelo__viveros_y_cesped_alfombra__numero_de_upa,categorias_de_uso_del_suelo__viveros_y_cesped_alfombra__superficie_ha,categorias_de_uso_del_suelo__forrajeras__numero_de_upa,categorias_de_uso_del_suelo__forrajeras__superficie_ha,categorias_de_uso_del_suelo__plantaciones_forestales__numero_de_upa,categorias_de_uso_del_suelo__plantaciones_forestales__superficie_ha,categorias_de_uso_del_suelo__bosque_nativo__numero_de_upa,categorias_de_uso_del_suelo__bosque_nativo__superficie_ha,categorias_de_uso_del_suelo__praderas_mejoradas__numero_de_upa,categorias_de_uso_del_suelo__praderas_mejoradas__superficie_ha,categorias_de_uso_del_suelo__praderas_naturales__numero_de_upa,categorias_de_uso_del_suelo__praderas_naturales__superficie_ha,categorias_de_uso_del_suelo__terrenos_productivos_no_trabajados__numero_de_upa,categorias_de_uso_del_suelo__terrenos_productivos_no_trabajados__superficie_ha,categorias_de_uso_del_suelo__matorrales__numero_de_upa,categorias_de_uso_del_suelo__matorrales__superficie_ha,categorias_de_uso_del_suelo__terrenos_no_productivos__numero_de_upa,categorias_de_uso_del_suelo__terrenos_no_productivos__superficie_ha,categorias_de_uso_del_suelo__infraestructura__numero_de_upa,categorias_de_uso_del_suelo__infraestructura__superficie_ha
Total Nacional,Total Nacional,138628,45742565.15956164,33040,427360.0920000671,28141,47951.2890000186,1764,52998.6210000005,45508,58891.7804379845,45442,374809.0440000359,6088,100811.458,1563,939.1152,1049,19259.9039999696,1595,3297.5064999999,24109,193208.5860000417,30364,2068400.835026187,39932,9616153.049997235,18710,528291.3579999926,80102,8062137.112799604,27394,705906.3365948375,27301,4072416.487004184,25567,19204988.23609896,105583,204744.3479025319
Región de Arica y Parinacota,Total Región,1267,421712.261,19,47.25,73,37.937,1,2,969,2762.374,250,565.197,3,2.5,17,6.297,5,36.51,10,6.28,181,906.495,9,7.04,4,15961.07,17,1952.87,50,108553.27,279,17586.072,85,206107.974,183,65911.242,666,1259.883
Región de Arica y Parinacota,Arica,962,20038.905,2,38,2,1.1,1,2,860,2664.475,189,516.57,0,0,11,5.04,3,33.01,10,6.28,47,182.875,0,0,0,0,0,0,2,367.44,191,1115.04,13,2912.04,147,11594.765,595,600.27
Región de Arica y Parinacota,Camarones,122,8366.171,7,5.25,7,8.5,0,0,32,42.574,45,43.337,3,2.5,0,0,2,3.5,0,0,62,470,0,0,0,0,0,0,1,0.59,37,55.7,3,70.25,25,7462.25,23,201.72
Región de Arica y Parinacota,Putre,151,363580.085,10,4,64,28.337,0,0,79,55.325,17,5.29,0,0,6,1.257,0,0,0,0,74,253.12,9,7.04,4,15956.5,17,1952.87,29,107375.14,52,16415.332,40,180440.854,11,40644.727,38,440.293
Región de Arica y Parinacota,General Lagos,42,29727.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,1,4.57,0,0,20,810.1,0,0,32,22684.83,3,6209.5,13,17.6
Región de Tarapacá,Total Región,835,2363446.3311,117,321.53,59,30.061,1,0.027,520,576.1751,264,277.025,3,4.345,13,2.601,4,0.321,20,1.056,269,194.767,24,24624.718,23,13875.081,0,0,12,182123.22,447,2723.697,31,521078.206,73,1617537.279,403,76.222
Región de Tarapacá,Iquique/Alto Hospicio,13,76947.5066,0,0,0,0,0,0,8,3.9466,3,12.475,1,0.018,0,0,0,0,1,0.013,2,0.12,1,0.5,0,0,0,0,1,5.29,8,10.973,1,368.66,2,76541.51,8,4.001
Región de Tarapacá,Pozo Almonte,180,845300.8559999999,12,4.243,14,0.305,1,0.027,138,101.286,35,9.87,2,3.827,11,2.001,0,0,2,0.04,107,85.3,22,5.09,23,3797.321,0,0,1,44154.01,138,933.929,4,129453.98,13,666723.0729999999,128,26.554
Región de Tarapacá,Camiña,183,205928.148,21,5.41,3,0.15,0,0,173,110.41804587152,1,0.04,0,0,0,0,2,0.3,1,0.02,51,9.304,0,0,0,0,0,0,2,2034.05,22,74.27,14,84027.57999999999,19,119664.068,21,2.53795412844
