__total_nacional_region,__sexo_persona_productora_34,__total_personas_productoras,pueblos_originarios3__mapuche__numero_personas_productoras,pueblos_originarios3__mapuche__superficie_ha_de_la_upa,pueblos_originarios3__aymara__numero_personas_productoras,pueblos_originarios3__aymara__superficie_ha_de_la_upa,pueblos_originarios3__lican_antai_o_atacameno__numero_personas_productoras,pueblos_originarios3__lican_antai_o_atacameno__superficie_ha_de_la_upa,pueblos_originarios3__quechua__numero_personas_productoras,pueblos_originarios3__quechua__superficie_ha_de_la_upa,pueblos_originarios3__colla__numero_personas_productoras,pueblos_originarios3__colla__superficie_ha_de_la_upa,pueblos_originarios3__diaguita__numero_personas_productoras,pueblos_originarios3__diaguita__superficie_ha_de_la_upa,pueblos_originarios3__chango__numero_personas_productoras,pueblos_originarios3__chango__superficie_ha_de_la_upa,pueblos_originarios3__otro_pueblo__numero_personas_productoras,pueblos_originarios3__otro_pueblo__superficie_ha_de_la_upa
Región del Libertador General Bernardo O'Higgins,Productoras mujeres,37,32,2842.1395,0,0,0,0,0,0,0,0,1,9.3,0,0,4,31.55
Región del Libertador General Bernardo O'Higgins,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región del Maule,Total Región,358,341,5200.557400000001,2,2.59,0,0,0,0,0,0,0,0,0,0,15,162.78
Región del Maule,Productores hombres,277,263,4425.5469,1,2,0,0,0,0,0,0,0,0,0,0,13,161.48
Región del Maule,Productoras mujeres,81,78,775.0105,1,0.5900000000000001,0,0,0,0,0,0,0,0,0,0,2,1.3
Región del Maule,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Ñuble,Total Región,268,258,5359.519399999999,0,0,0,0,0,0,0,0,0,0,0,0,10,333.86
Región de Ñuble,Productores hombres,182,175,4162.1851,0,0,0,0,0,0,0,0,0,0,0,0,7,102.6
Región de Ñuble,Productoras mujeres,86,83,1197.3343,0,0,0,0,0,0,0,0,0,0,0,0,3,231.26
Región de Ñuble,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región del Biobío,Total Región,1559,1550,20083.42196564328,0,0,0,0,0,0,0,0,0,0,0,0,9,86.28
Región del Biobío,Productores hombres,998,996,14832.46595,0,0,0,0,0,0,0,0,0,0,0,0,2,48.38
Región del Biobío,Productoras mujeres,559,552,5245.956015643275,0,0,0,0,0,0,0,0,0,0,0,0,7,37.9
Región del Biobío,Sin especificar,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de La Araucanía,Total Región,20660,20627,241352.3577832944,0,0,0,0,0,0,0,0,0,0,0,0,33,515.37
Región de La Araucanía,Productores hombres,12672,12653,169723.3325180009,0,0,0,0,0,0,0,0,0,0,0,0,19,295.69
Región de La Araucanía,Productoras mujeres,7978,7964,71492.86526529354,0,0,0,0,0,0,0,0,0,0,0,0,14,219.68
Región de La Araucanía,Sin especificar,10,10,136.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Los Ríos,Total Región,3405,3402,62707.2859,0,0,0,0,0,0,0,0,0,0,0,0,3,50.97
Región de Los Ríos,Productores hombres,1816,1814,43764.2752,0,0,0,0,0,0,0,0,0,0,0,0,2,39
Región de Los Ríos,Productoras mujeres,1586,1585,18935.8107,0,0,0,0,0,0,0,0,0,0,0,0,1,11.97
Región de Los Ríos,Sin especificar,3,3,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Los Lagos,Total Región,4322,4279,80190.50964999999,2,22.58,0,0,0,0,0,0,0,0,0,0,41,877.1099999999999
Región de Los Lagos,Productores hombres,2228,2200,48967.18395,1,18.33,0,0,0,0,0,0,0,0,0,0,27,766.68
Región de Los Lagos,Productoras mujeres,2093,2078,31214.3257,1,4.25,0,0,0,0,0,0,0,0,0,0,14,110.43
Región de Los Lagos,Sin especificar,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Aysén del General Carlos Ibáñez del Campo,Total Región,289,279,49135.7866,0,0,0,0,0,0,0,0,0,0,0,0,10,1861.56
Región de Aysén del General Carlos Ibáñez del Campo,Productores hombres,190,184,38282.8595,0,0,0,0,0,0,0,0,0,0,0,0,6,1397.86
Región de Aysén del General Carlos Ibáñez del Campo,Productoras mujeres,99,95,10852.9271,0,0,0,0,0,0,0,0,0,0,0,0,4,463.7
Región de Aysén del General Carlos Ibáñez del Campo,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Magallanes y de la Antártica Chilena,Total Región,75,68,5837.2708,0,0,0,0,0,0,0,0,0,0,0,0,7,12111.54
Región de Magallanes y de la Antártica Chilena,Productores hombres,34,28,4191.0744,0,0,0,0,0,0,0,0,0,0,0,0,6,12111.04
Región de Magallanes y de la Antártica Chilena,Productoras mujeres,41,40,1646.1964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
Región de Magallanes y de la Antártica Chilena,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
