total_nacional_region,comuna_67,tipo_de_cultivo,especie,numero_total_de_upa8910,superficie_total_de_cultivo_ha,aire_libre_superficie_ha,bajo_cubierta_superficie_ha,sin_clasificar_superficie_ha_11
Total Nacional,Total Nacional,Flores de corte,Total,1595,955.6760300000001,634.7713,313.82323,7.0815
Total Nacional,Total Nacional,Flores de corte,Sin Clasificar,23,7.0815,0,0,7.0815
Total Nacional,Total Nacional,Flores de corte,Agapanto (Agapanthus spp.),9,3.017,2.6,0.417,0
Total Nacional,Total Nacional,Flores de corte,Alelí (Matthiola incana),13,3.563,3.516,0.047,0
Total Nacional,Total Nacional,Flores de corte,Anémona (Anemone spp.),6,2.82333,0.5,2.32333,0
Total Nacional,Total Nacional,Flores de corte,Astilbe (Astilbe spp.),1,0.75,0,0.75,0
Total Nacional,Total Nacional,Flores de corte,Astromelia (Alstroemeria spp.),281,41.91843,5.1519,36.76653,0
Total Nacional,Total Nacional,Flores de corte,Ave del Paraíso (Strelitzia reginae),4,0.527,0.512,0.015,0
Total Nacional,Total Nacional,Flores de corte,Azucena (Nerine spp.),10,0.641,0.406,0.235,0
Total Nacional,Total Nacional,Flores de corte,Cala (Zantedeschia spp.),45,3.739,1.1685,2.5705,0
Total Nacional,Total Nacional,Flores de corte,Cebolla Ornamental (Allium spp.),1,0.1,0,0.1,0
Total Nacional,Total Nacional,Flores de corte,Celosía (Celosia argentea),2,0.0804,0.0804,0,0
Total Nacional,Total Nacional,Flores de corte,Chinas (Tagetes erecta),4,0.83,0.83,0,0
Total Nacional,Total Nacional,Flores de corte,Cineraria (Senecio cruentus),1,0.025,0.025,0,0
Total Nacional,Total Nacional,Flores de corte,Clavel (Dianthus caryophyllus),251,85.2594,3.2626,81.9968,0
Total Nacional,Total Nacional,Flores de corte,Clavelina (Dianthus barbatus),64,37.3455,35.5885,1.757,0
Total Nacional,Total Nacional,Flores de corte,Craspedia (Craspedia uniflora),1,0.05,0.05,0,0
Total Nacional,Total Nacional,Flores de corte,Crisantemo (Chrysanthemum spp.),197,114.668,96.881,17.787,0
Total Nacional,Total Nacional,Flores de corte,Dalia (Dahlia spp.),60,6.644500000000001,5.9785,0.666,0
Total Nacional,Total Nacional,Flores de corte,Escabiosa (Scabiosa spp.),3,0.109,0.025,0.08399999999999999,0
Total Nacional,Total Nacional,Flores de corte,Estatice (Limonium spp.),102,48.0591,45.8233,2.2358,0
Total Nacional,Total Nacional,Flores de corte,Flor de cera (Chamelaucium uncinatum),1,0.5,0.5,0,0
Total Nacional,Total Nacional,Flores de corte,Fresia (Freesia spp.),10,1.093,0.9500000000000001,0.143,0
Total Nacional,Total Nacional,Flores de corte,Genciana (Gentiana spp.),1,1,1,0,0
Total Nacional,Total Nacional,Flores de corte,Gerbera (Gerbera spp.),32,3.6823,0.25,3.4323,0
Total Nacional,Total Nacional,Flores de corte,Girasol (Helianthus annus),91,33.6011,32.0505,1.5506,0
Total Nacional,Total Nacional,Flores de corte,Gladiolo (Gladiolus spp.),228,28.97355,23.24535,5.7282,0
Total Nacional,Total Nacional,Flores de corte,Hipérico rojo (Hypericum spp.),1,0.03,0,0.03,0
