total_nacional_region,comuna_78,especie_9,total_numero_de_upa1011,total_superficie_cultivo_ha
Total Nacional,Total Nacional,Total,39932,9616153.049997235
Total Nacional,Total Nacional,Sin clasificar,280,80958.16800568168
Total Nacional,Total Nacional,Alerce,81,147789.9
Total Nacional,Total Nacional,Algarrobo,62,3838.567
Total Nacional,Total Nacional,Algarrobo del Norte,9,10.562
Total Nacional,Total Nacional,Araucaria,121,108443.821
Total Nacional,Total Nacional,Arrayán,3299,22094.263
Total Nacional,Total Nacional,Avellanillo,17,156.4
Total Nacional,Total Nacional,Avellano,624,4190.715
Total Nacional,Total Nacional,Belloto del Norte,7,6045.69
Total Nacional,Total Nacional,Belloto del Sur,2,445
Total Nacional,Total Nacional,Boldo,1362,64615.332
Total Nacional,Total Nacional,Canelo,4147,120478.471
Total Nacional,Total Nacional,Carbonillo o Carbón,6,762.1
Total Nacional,Total Nacional,Chañar,29,757.786
Total Nacional,Total Nacional,Ciprés de La Cordillera,65,15388.425
Total Nacional,Total Nacional,Ciprés de Las Guaitecas,19,541837.79
Total Nacional,Total Nacional,Coigüe,4941,1908172.904999465
Total Nacional,Total Nacional,Coigüe de Chiloé,351,842705.562
Total Nacional,Total Nacional,Coigüe de Magallanes,29,2687491.39
Total Nacional,Total Nacional,Culén,12,38.7
Total Nacional,Total Nacional,Espino,1301,251514.77
Total Nacional,Total Nacional,Fuinque,2,11
Total Nacional,Total Nacional,Huala,1,9.5
Total Nacional,Total Nacional,Hualo,206,17872.281
Total Nacional,Total Nacional,Huayún,77,751.65
Total Nacional,Total Nacional,Huella,541,5474.245
Total Nacional,Total Nacional,Huingán,9,12
Total Nacional,Total Nacional,Laurel,318,4988.223
Total Nacional,Total Nacional,Lenga,774,1218554.907
Total Nacional,Total Nacional,Leña Dura,49,1026.38
Total Nacional,Total Nacional,Lingue,173,6094.492
Total Nacional,Total Nacional,Lingue del Norte,1,29.05
Total Nacional,Total Nacional,Litre,770,43018.62
Total Nacional,Total Nacional,Lleuque,23,270.59
Total Nacional,Total Nacional,Luma,592,9566.452
Total Nacional,Total Nacional,Luma de Más Afuera,1,0.5
Total Nacional,Total Nacional,Maitén,243,3954.952
