total_nacional_region,comuna_4_5,especie_6,total_numero_de_upa78,total_superficie_cultivo_ha
Total Nacional,Total Nacional,Total,30364,2068400.835026186
Total Nacional,Total Nacional,Sin clasificar,405,2900.9570000005
Total Nacional,Total Nacional,Acacia,163,4354.5
Total Nacional,Total Nacional,Álamo,310,6201.173000008826
Total Nacional,Total Nacional,Aromo,850,4691.985000003902
Total Nacional,Total Nacional,Atriplex sp,83,28656.259
Total Nacional,Total Nacional,Eucalipto Blanco (Eucalyptus Globulus),16386,389138.293983484
Total Nacional,Total Nacional,Eucalyptus Nitens,3845,262139.1989939409
Total Nacional,Total Nacional,Pino Ponderosa (Pinus Ponderosa),993,29959.10900000136
Total Nacional,Total Nacional,Pino Radiata o Insigne (Pinus Radiata),9040,1200048.666048861
Total Nacional,Total Nacional,Pino Oregón (Pseudotsuga Menziesii),945,19076.60999993948
Total Nacional,Total Nacional,Coigüe,120,2876.893
Total Nacional,Total Nacional,Quillay,93,1314.914
Total Nacional,Total Nacional,Raulí,69,2103.655
Total Nacional,Total Nacional,Tamarugo,17,24956.312
Total Nacional,Total Nacional,Otras Especies Exóticas,2409,44547.38599994696
Total Nacional,Total Nacional,Otras Coníferas,71,10566.84000000215
Total Nacional,Total Nacional,Otras Especies Nativas,674,31399.92799999742
Total Nacional,Total Nacional,Especie Nativa y Especie Exótica,442,3468.155
Región de Arica y Parinacota,Total Región,Total,9,7.04
Región de Arica y Parinacota,Total Región,Sin clasificar,0,0
Región de Arica y Parinacota,Total Región,Acacia,0,0
Región de Arica y Parinacota,Total Región,Álamo,0,0
Región de Arica y Parinacota,Total Región,Aromo,0,0
Región de Arica y Parinacota,Total Región,Atriplex sp,0,0
Región de Arica y Parinacota,Total Región,Eucalipto Blanco (Eucalyptus Globulus),9,6.99
Región de Arica y Parinacota,Total Región,Eucalyptus Nitens,0,0
Región de Arica y Parinacota,Total Región,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Arica y Parinacota,Total Región,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Arica y Parinacota,Total Región,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Arica y Parinacota,Total Región,Coigüe,0,0
Región de Arica y Parinacota,Total Región,Quillay,0,0
Región de Arica y Parinacota,Total Región,Raulí,0,0
Región de Arica y Parinacota,Total Región,Tamarugo,0,0
Región de Arica y Parinacota,Total Región,Otras Especies Exóticas,0,0
Región de Arica y Parinacota,Total Región,Otras Coníferas,0,0
Región de Arica y Parinacota,Total Región,Otras Especies Nativas,1,0.05
Región de Arica y Parinacota,Total Región,Especie Nativa y Especie Exótica,0,0
Región de Arica y Parinacota,Arica,Total,0,0
Región de Arica y Parinacota,Arica,Sin clasificar,0,0
Región de Arica y Parinacota,Arica,Acacia,0,0
Región de Arica y Parinacota,Arica,Álamo,0,0
Región de Arica y Parinacota,Arica,Aromo,0,0
Región de Arica y Parinacota,Arica,Atriplex sp,0,0
Región de Arica y Parinacota,Arica,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Arica y Parinacota,Arica,Eucalyptus Nitens,0,0
Región de Arica y Parinacota,Arica,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Arica y Parinacota,Arica,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Arica y Parinacota,Arica,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Arica y Parinacota,Arica,Coigüe,0,0
Región de Arica y Parinacota,Arica,Quillay,0,0
Región de Arica y Parinacota,Arica,Raulí,0,0
Región de Arica y Parinacota,Arica,Tamarugo,0,0
Región de Arica y Parinacota,Arica,Otras Especies Exóticas,0,0
Región de Arica y Parinacota,Arica,Otras Coníferas,0,0
Región de Arica y Parinacota,Arica,Otras Especies Nativas,0,0
Región de Arica y Parinacota,Arica,Especie Nativa y Especie Exótica,0,0
Región de Arica y Parinacota,Camarones,Total,0,0
Región de Arica y Parinacota,Camarones,Sin clasificar,0,0
Región de Arica y Parinacota,Camarones,Acacia,0,0
Región de Arica y Parinacota,Camarones,Álamo,0,0
Región de Arica y Parinacota,Camarones,Aromo,0,0
Región de Arica y Parinacota,Camarones,Atriplex sp,0,0
Región de Arica y Parinacota,Camarones,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Arica y Parinacota,Camarones,Eucalyptus Nitens,0,0
Región de Arica y Parinacota,Camarones,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Arica y Parinacota,Camarones,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Arica y Parinacota,Camarones,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Arica y Parinacota,Camarones,Coigüe,0,0
Región de Arica y Parinacota,Camarones,Quillay,0,0
Región de Arica y Parinacota,Camarones,Raulí,0,0
Región de Arica y Parinacota,Camarones,Tamarugo,0,0
Región de Arica y Parinacota,Camarones,Otras Especies Exóticas,0,0
Región de Arica y Parinacota,Camarones,Otras Coníferas,0,0
Región de Arica y Parinacota,Camarones,Otras Especies Nativas,0,0
Región de Arica y Parinacota,Camarones,Especie Nativa y Especie Exótica,0,0
Región de Arica y Parinacota,Putre,Total,9,7.04
Región de Arica y Parinacota,Putre,Sin clasificar,0,0
Región de Arica y Parinacota,Putre,Acacia,0,0
Región de Arica y Parinacota,Putre,Álamo,0,0
Región de Arica y Parinacota,Putre,Aromo,0,0
Región de Arica y Parinacota,Putre,Atriplex sp,0,0
Región de Arica y Parinacota,Putre,Eucalipto Blanco (Eucalyptus Globulus),9,6.99
Región de Arica y Parinacota,Putre,Eucalyptus Nitens,0,0
Región de Arica y Parinacota,Putre,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Arica y Parinacota,Putre,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Arica y Parinacota,Putre,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Arica y Parinacota,Putre,Coigüe,0,0
Región de Arica y Parinacota,Putre,Quillay,0,0
Región de Arica y Parinacota,Putre,Raulí,0,0
Región de Arica y Parinacota,Putre,Tamarugo,0,0
Región de Arica y Parinacota,Putre,Otras Especies Exóticas,0,0
Región de Arica y Parinacota,Putre,Otras Coníferas,0,0
Región de Arica y Parinacota,Putre,Otras Especies Nativas,1,0.05
Región de Arica y Parinacota,Putre,Especie Nativa y Especie Exótica,0,0
Región de Arica y Parinacota,General Lagos,Total,0,0
Región de Arica y Parinacota,General Lagos,Sin clasificar,0,0
Región de Arica y Parinacota,General Lagos,Acacia,0,0
Región de Arica y Parinacota,General Lagos,Álamo,0,0
Región de Arica y Parinacota,General Lagos,Aromo,0,0
Región de Arica y Parinacota,General Lagos,Atriplex sp,0,0
Región de Arica y Parinacota,General Lagos,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Arica y Parinacota,General Lagos,Eucalyptus Nitens,0,0
Región de Arica y Parinacota,General Lagos,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Arica y Parinacota,General Lagos,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Arica y Parinacota,General Lagos,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Arica y Parinacota,General Lagos,Coigüe,0,0
Región de Arica y Parinacota,General Lagos,Quillay,0,0
Región de Arica y Parinacota,General Lagos,Raulí,0,0
Región de Arica y Parinacota,General Lagos,Tamarugo,0,0
Región de Arica y Parinacota,General Lagos,Otras Especies Exóticas,0,0
Región de Arica y Parinacota,General Lagos,Otras Coníferas,0,0
Región de Arica y Parinacota,General Lagos,Otras Especies Nativas,0,0
Región de Arica y Parinacota,General Lagos,Especie Nativa y Especie Exótica,0,0
Región de Tarapacá,Total Región,Total,24,24624.718
Región de Tarapacá,Total Región,Sin clasificar,0,0
Región de Tarapacá,Total Región,Acacia,0,0
Región de Tarapacá,Total Región,Álamo,0,0
Región de Tarapacá,Total Región,Aromo,0,0
Región de Tarapacá,Total Región,Atriplex sp,0,0
Región de Tarapacá,Total Región,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Tarapacá,Total Región,Eucalyptus Nitens,0,0
Región de Tarapacá,Total Región,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Tarapacá,Total Región,Pino Radiata o Insigne (Pinus Radiata),1,0.02
Región de Tarapacá,Total Región,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Tarapacá,Total Región,Coigüe,0,0
Región de Tarapacá,Total Región,Quillay,0,0
Región de Tarapacá,Total Región,Raulí,0,0
Región de Tarapacá,Total Región,Tamarugo,12,24622.273
Región de Tarapacá,Total Región,Otras Especies Exóticas,3,0.07
Región de Tarapacá,Total Región,Otras Coníferas,0,0
Región de Tarapacá,Total Región,Otras Especies Nativas,10,2.355
Región de Tarapacá,Total Región,Especie Nativa y Especie Exótica,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Total,1,0.5
Región de Tarapacá,Iquique/Alto Hospicio,Sin clasificar,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Acacia,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Álamo,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Aromo,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Atriplex sp,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Tarapacá,Iquique/Alto Hospicio,Eucalyptus Nitens,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Tarapacá,Iquique/Alto Hospicio,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Tarapacá,Iquique/Alto Hospicio,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Tarapacá,Iquique/Alto Hospicio,Coigüe,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Quillay,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Raulí,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Tamarugo,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Otras Especies Exóticas,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Otras Coníferas,0,0
Región de Tarapacá,Iquique/Alto Hospicio,Otras Especies Nativas,1,0.5
Región de Tarapacá,Iquique/Alto Hospicio,Especie Nativa y Especie Exótica,0,0
Región de Tarapacá,Pozo Almonte,Total,22,5.09
Región de Tarapacá,Pozo Almonte,Sin clasificar,0,0
Región de Tarapacá,Pozo Almonte,Acacia,0,0
Región de Tarapacá,Pozo Almonte,Álamo,0,0
Región de Tarapacá,Pozo Almonte,Aromo,0,0
Región de Tarapacá,Pozo Almonte,Atriplex sp,0,0
Región de Tarapacá,Pozo Almonte,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Tarapacá,Pozo Almonte,Eucalyptus Nitens,0,0
