total_nacional_region____,comuna6_7____,especie____,total__numero_de_upa89__,total__superficie_ha__,total__superficie_ha__en_riego,total__superficie_ha__en_secano,total__superficie_ha__sin_clasificar_10,total__estado_desarrollo_ha__en_formacion_11,total__estado_desarrollo_ha__en_produccion_12,total__estado_desarrollo_ha__sin_clasificar_10
Región del Maule,Río Claro,Mango,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Manzana,62,2095.2782,2049.9682,2,43.31,95.6245074629,1999.6536363946,0
Región del Maule,Río Claro,Membrillo,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,"Moras, Murta y Zarzaparrila",35,28.96,28.96,0,0,1,27.96,0
Región del Maule,Río Claro,Naranjo,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Nectarino,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Nogal,5,55.5,55.5,0,0,12.5,43,0
Región del Maule,Río Claro,Olivo,3,44,44,0,0,0,44,0
Región del Maule,Río Claro,Palto,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Papayo,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Pera,6,78.4154,78.4154,0,0,0,78.41540298540001,0
Región del Maule,Río Claro,Pistacho,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Pomelo,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Rosa Mosqueta (Cultivada),0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Tuna,0,0,0,0,0,0,0,0
Región del Maule,Río Claro,Uva de Mesa,3,15,15,0,0,0,15,0
Región del Maule,Río Claro,Otros Frutales,2,3.1,3.1,0,0,3,0.1,0
Región del Maule,Río Claro,Quinta Frutal,1,2,0,2,0,0,0,2
Región del Maule,San Clemente,Total,286,5815.0823,5750.1323,18.15,46.8,1352.428047432,4448.654144455,14
Región del Maule,San Clemente,Sin Clasificar,1,14,0,14,0,0,0,14
Región del Maule,San Clemente,Almendro,3,0.6900000000000001,0.6900000000000001,0,0,0.25,0.44,0
Región del Maule,San Clemente,Berries,96,229.7711,229.7711,0,0,45.7860816952,183.985,0
Región del Maule,San Clemente,Avellano Europeo,16,1183.3,1183.3,0,0,321.4,861.9,0
Región del Maule,San Clemente,Castaño,4,41.145,40.095,1.05,0,0.5,40.645,0
Región del Maule,San Clemente,Cerezo,70,1365.656,1358.856,0,6.8,655.3179657368,710.338,0
Región del Maule,San Clemente,Chirimoyo,0,0,0,0,0,0,0,0
Región del Maule,San Clemente,Ciruelo Europeo,2,0.308,0.308,0,0,0.2,0.108,0
Región del Maule,San Clemente,Ciruelo Japonés,0,0,0,0,0,0,0,0
Región del Maule,San Clemente,Clementina,0,0,0,0,0,0,0,0
