total_nacional_region,comuna_6_7,tipo_de_cultivo,especie,numero_de_upa_8910,superficie_total_cultivo_ha,riego__superficie_ha,secano_superficie_ha,sin_clasificar_11_superficie_ha
Total Nacional,Total Nacional,Cereales,Total,33350,431773.693000067,151362.1380000449,278050.9440000221,2360.611
Total Nacional,Total Nacional,Cereales,Sin clasificar,517,2361.611,0,1,2360.611
Total Nacional,Total Nacional,Cereales,Amaranto,5,2.24,2.22,0.02,0
Total Nacional,Total Nacional,Cereales,Arroz,788,18186.38,18160.38,26,0
Total Nacional,Total Nacional,Cereales,Avena (Grano Seco),15085,117096.3509999869,9621.98,107474.3709999869,0
Total Nacional,Total Nacional,Cereales,Cebada Cervecera,386,11340.022000026,1505.332,9834.690000026,0
Total Nacional,Total Nacional,Cereales,Centeno,34,225.895,0.9,224.995,0
Total Nacional,Total Nacional,Cereales,Chía,5,7.299999999999999,6.299999999999999,1,0
Total Nacional,Total Nacional,Cereales,Maíz,8151,86833.0780000437,81503.7950000374,5329.2830000063,0
Total Nacional,Total Nacional,Cereales,Mijo,13,82.3,80.5,1.8,0
Total Nacional,Total Nacional,Cereales,Quinoa,183,694.4859999999999,179.128,515.358,0
Total Nacional,Total Nacional,Cereales,Sorgo,14,21.5,19.5,2,0
Total Nacional,Total Nacional,Cereales,Trigo Blanco,17444,158808.7950000014,24020.1379999985,134788.657000003,0
Total Nacional,Total Nacional,Cereales,Trigo Candeal,1140,18741.840000009,13828.745000009,4913.095,0
Total Nacional,Total Nacional,Cereales,Triticale,381,11772.83,910.09,10862.74,0
Total Nacional,Total Nacional,Cereales,Otros Cereales,506,5599.065000000001,1523.13,4075.935,0
Total Nacional,Total Nacional,Forrajeras,Total,25394,213716.8000000417,86034.4160000095,124270.2160000322,3412.168
Total Nacional,Total Nacional,Forrajeras,Sin Clasificar,356,3412.168,0,0,3412.168
Total Nacional,Total Nacional,Forrajeras,Alfalfa,8741,50001.9470000095,39752.2170000095,10249.73,0
Total Nacional,Total Nacional,Forrajeras,Arveja Forrajera,403,1457.881,316.402,1141.479,0
Total Nacional,Total Nacional,Forrajeras,Arvejilla,3,2,1,1,0
Total Nacional,Total Nacional,Forrajeras,Avena (Forrajera) Sola,6026,23796.834,5674.125,18122.709,0
Total Nacional,Total Nacional,Forrajeras,Avena Asociada,3784,17279.362,3417.622,13861.74,0
Total Nacional,Total Nacional,Forrajeras,Ballica Anual,1672,13170.579,3445.045,9725.534,0
Total Nacional,Total Nacional,Forrajeras,Ballica Bianual,999,9889.947,2596.615,7293.332,0
Total Nacional,Total Nacional,Forrajeras,Ballica Perenne o Persistente,1145,24394.702,4772.275,19622.427,0
Total Nacional,Total Nacional,Forrajeras,Betarraga Forrajera,21,373,1,372,0
Total Nacional,Total Nacional,Forrajeras,Cebada Forrajera (incluye silo),617,1917.653,523.388,1394.265,0
Total Nacional,Total Nacional,Forrajeras,Centeno Forrajero,39,383.5,0,383.5,0
Total Nacional,Total Nacional,Forrajeras,Col,99,1670.4320000025,46.002,1624.4300000025,0
Total Nacional,Total Nacional,Forrajeras,Falaris,21,660.9,11.5,649.4,0
Total Nacional,Total Nacional,Forrajeras,Festuca,188,2387.825,1121.405,1266.42,0
Total Nacional,Total Nacional,Forrajeras,Haba Forrajera,4,19.05,3.05,16,0
Total Nacional,Total Nacional,Forrajeras,Lotera o Alfalfa Chilota,1,1,0,1,0
Total Nacional,Total Nacional,Forrajeras,Maíz Para Silo,583,19777.8430000225,8959.293,10818.5500000225,0
Total Nacional,Total Nacional,Forrajeras,Mezcla de Forrajeras,1100,17250.316,6563.713,10686.603,0
Total Nacional,Total Nacional,Forrajeras,Mijo,2,28.1,28.1,0,0
Total Nacional,Total Nacional,Forrajeras,Nabo (incluye silo),159,1344.5,112.5,1232,0
Total Nacional,Total Nacional,Forrajeras,Pasto Canario,12,72.01,8.01,64,0
Total Nacional,Total Nacional,Forrajeras,Pasto Miel,141,410.885,117.9,292.985,0
Total Nacional,Total Nacional,Forrajeras,Pasto Ovillo,226,4036.748,1010.765,3025.983,0
Total Nacional,Total Nacional,Forrajeras,Sorgo,24,125.705,28.475,97.23,0
Total Nacional,Total Nacional,Forrajeras,Raps Forrajero,148,3159.1,313.27,2845.83,0
Total Nacional,Total Nacional,Forrajeras,Topinambur,2,1.5,1,0.5,0
Total Nacional,Total Nacional,Forrajeras,Trébol Alejandrino,31,108.922,102.822,6.1,0
Total Nacional,Total Nacional,Forrajeras,Trébol Balansa,14,651.75,10.25,641.5,0
Total Nacional,Total Nacional,Forrajeras,Trébol Blanco,489,3603.723,2017.887,1585.836,0
Total Nacional,Total Nacional,Forrajeras,Trébol Encarnado,44,452.15,132,320.15,0
Total Nacional,Total Nacional,Forrajeras,Trébol Ladino,13,79.703,48.703,31,0
Total Nacional,Total Nacional,Forrajeras,Trébol Rosado,2015,6697.79,3813.017,2884.773,0
Total Nacional,Total Nacional,Forrajeras,Trébol Subterráneo,111,626.145,167.675,458.47,0
Total Nacional,Total Nacional,Forrajeras,Vicia,55,417.9500000000001,210.925,207.025,0
Total Nacional,Total Nacional,Forrajeras,Otras Forrajeras Anuales,234,2218.7550000072,240.05,1978.7050000072,0
Total Nacional,Total Nacional,Forrajeras,Otras Forrajeras Permanentes,164,1834.425,466.415,1368.01,0
Total Nacional,Total Nacional,Cultivos Industriales,Total,1764,52998.62100000049,19542.4189999979,32429.6820000026,1026.52
Total Nacional,Total Nacional,Cultivos Industriales,Sin Clasificar,35,1026.52,0,0,1026.52
Total Nacional,Total Nacional,Cultivos Industriales,Achicoria,54,3212.85,3192.85,20,0
Total Nacional,Total Nacional,Cultivos Industriales,Alforfón (Trigo Sarraceno),8,55.99999999999999,2,53.99999999999999,0
Total Nacional,Total Nacional,Cultivos Industriales,Algodón,1,0.027,0.027,0,0
Total Nacional,Total Nacional,Cultivos Industriales,Colza,16,1172,22,1150,0
Total Nacional,Total Nacional,Cultivos Industriales,Curaguilla,25,76.62,76.62,0,0
Total Nacional,Total Nacional,Cultivos Industriales,Estevia (o Stevia),1,0.01,0.01,0,0
Total Nacional,Total Nacional,Cultivos Industriales,Hinojo,3,4.25,4.25,0,0
Total Nacional,Total Nacional,Cultivos Industriales,Jojoba,12,27.63,25.88,1.75,0
Total Nacional,Total Nacional,Cultivos Industriales,Linaza,9,32.021,30,2.021,0
Total Nacional,Total Nacional,Cultivos Industriales,Lupino Dulce,288,5600.955,13,5587.955,0
Total Nacional,Total Nacional,Cultivos Industriales,Lupino Amargo,322,2099.75,3,2096.75,0
Total Nacional,Total Nacional,Cultivos Industriales,Maní,17,26.028,26.028,0,0
Total Nacional,Total Nacional,Cultivos Industriales,Maravilla,66,263.402,199.1,64.302,0
Total Nacional,Total Nacional,Cultivos Industriales,Mimbre,26,52.52,52.52,0,0
Total Nacional,Total Nacional,Cultivos Industriales,Mostaza,4,18.9999999993,0,18.9999999993,0
Total Nacional,Total Nacional,Cultivos Industriales,Raps (Canola),300,25637.8940000012,2577.1899999979,23060.7040000033,0
Total Nacional,Total Nacional,Cultivos Industriales,Remolacha,246,6192.58,6172.08,20.5,0
Total Nacional,Total Nacional,Cultivos Industriales,Soya,13,98.3,98.3,0,0
Total Nacional,Total Nacional,Cultivos Industriales,Tabaco,198,1115.7,1114.7,1,0
Total Nacional,Total Nacional,Cultivos Industriales,Tomate,214,4623.389999999999,4622.69,0.7,0
Total Nacional,Total Nacional,Cultivos Industriales,Topinambur,2,0.502,0.002,0.5,0
Total Nacional,Total Nacional,Cultivos Industriales,Otros Industriales,124,1660.672,1310.172,350.5,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Total,28682,50104.7720000186,29248.0500000014,20321.1030000172,535.619
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Sin Clasificar,454,535.619,0,0,535.619
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Arveja (Grano Seco),1506,2384.9200999993,1540.4875,844.4325999993,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Chícharo,170,118.912,6.3,112.612,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Garbanzo,167,307.641,21.29,286.351,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Lenteja,577,698.083,60.639,637.444,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Poroto (Grano Seco),4312,6932.8456000014,5435.8955000014,1496.9501,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Otras Leguminosas,705,1690.808,546.849,1143.959,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Mandioca (Yuca),2,7.25,7,0.25,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Oca,9,2.071,0.061,2.01,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Papa,24506,36205.8605000179,21062.409,15143.4515000179,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Papa Nativa,659,670.0338,205.612,464.4218,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Topinambur,25,20.777,19.177,1.6,0
Total Nacional,Total Nacional,Leguminosas y Tubérculos,Otras Raíces y Tubérculos,127,529.951,342.33,187.621,0
Total Nacional,Total Nacional,Vides para vinificación y uvas pisqueras,Total,6088,100811.458,89885.72,10719.057,206.681
Total Nacional,Total Nacional,Vides para vinificación y uvas pisqueras,Sin Clasificar,72,208.681,0,2,206.681
Total Nacional,Total Nacional,Vides para vinificación y uvas pisqueras,Tintas,4212,73787.352,65587.003,8200.349,0
Total Nacional,Total Nacional,Vides para vinificación y uvas pisqueras,Blancas,1974,21828.934,19328.176,2500.758,0
Total Nacional,Total Nacional,Vides para vinificación y uvas pisqueras,Pisqueras,953,4986.491,4970.541,15.95,0
Región de Arica y Parinacota,Total Región,Cereales,Total,20,48.25,48.25,0,0
Región de Arica y Parinacota,Total Región,Cereales,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Amaranto,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Arroz,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Avena (Grano Seco),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Cebada Cervecera,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Centeno,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Chía,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Maíz,20,48.25,48.25,0,0
Región de Arica y Parinacota,Total Región,Cereales,Mijo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Quinoa,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Sorgo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Trigo Blanco,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Trigo Candeal,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Triticale,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cereales,Otros Cereales,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Total,181,919.865,914.615,3.75,1.5
Región de Arica y Parinacota,Total Región,Forrajeras,Sin Clasificar,1,1.5,0,0,1.5
Región de Arica y Parinacota,Total Región,Forrajeras,Alfalfa,180,917.665,913.915,3.75,0
Región de Arica y Parinacota,Total Región,Forrajeras,Arveja Forrajera,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Arvejilla,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Avena (Forrajera) Sola,1,0.5,0.5,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Avena Asociada,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Ballica Anual,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Ballica Bianual,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Ballica Perenne o Persistente,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Betarraga Forrajera,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Cebada Forrajera (incluye silo),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Centeno Forrajero,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Col,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Falaris,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Festuca,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Haba Forrajera,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Lotera o Alfalfa Chilota,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Maíz Para Silo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Mezcla de Forrajeras,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Mijo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Nabo (incluye silo),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Pasto Canario,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Pasto Miel,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Pasto Ovillo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Sorgo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Raps Forrajero,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Topinambur,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Trébol Alejandrino,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Trébol Balansa,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Trébol Blanco,1,0.2,0.2,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Trébol Encarnado,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Trébol Ladino,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Trébol Rosado,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Trébol Subterráneo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Vicia,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Otras Forrajeras Anuales,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Forrajeras,Otras Forrajeras Permanentes,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Total,1,2,2,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Achicoria,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Alforfón (Trigo Sarraceno),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Algodón,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Colza,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Curaguilla,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Estevia (o Stevia),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Hinojo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Jojoba,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Linaza,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Lupino Dulce,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Lupino Amargo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Maní,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Maravilla,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Mimbre,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Mostaza,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Raps (Canola),1,2,2,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Remolacha,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Soya,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Tabaco,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Tomate,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Topinambur,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Cultivos Industriales,Otros Industriales,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Total,75,39.264,39.254,0.01,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Arveja (Grano Seco),2,0.875,0.875,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Chícharo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Garbanzo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Lenteja,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Poroto (Grano Seco),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Otras Leguminosas,3,0.637,0.637,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Mandioca (Yuca),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Oca,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Papa,9,12.07,12.06,0.01,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Papa Nativa,65,25.682,25.682,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Topinambur,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Leguminosas y Tubérculos,Otras Raíces y Tubérculos,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Vides para vinificación y uvas pisqueras,Total,3,2.5,2.5,0,0
Región de Arica y Parinacota,Total Región,Vides para vinificación y uvas pisqueras,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Vides para vinificación y uvas pisqueras,Tintas,2,1.5,1.5,0,0
Región de Arica y Parinacota,Total Región,Vides para vinificación y uvas pisqueras,Blancas,1,1,1,0,0
Región de Arica y Parinacota,Total Región,Vides para vinificación y uvas pisqueras,Pisqueras,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Total,3,39,39,0,0
Región de Arica y Parinacota,Arica,Cereales,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Amaranto,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Arroz,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Avena (Grano Seco),0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Cebada Cervecera,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Centeno,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Chía,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Maíz,3,39,39,0,0
Región de Arica y Parinacota,Arica,Cereales,Mijo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Quinoa,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Sorgo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Trigo Blanco,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Trigo Candeal,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Triticale,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cereales,Otros Cereales,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Total,47,183.375,183.375,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Alfalfa,47,183.375,183.375,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Arveja Forrajera,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Arvejilla,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Avena (Forrajera) Sola,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Avena Asociada,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Ballica Anual,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Ballica Bianual,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Ballica Perenne o Persistente,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Betarraga Forrajera,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Cebada Forrajera (incluye silo),0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Centeno Forrajero,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Col,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Falaris,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Festuca,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Haba Forrajera,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Lotera o Alfalfa Chilota,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Maíz Para Silo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Mezcla de Forrajeras,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Mijo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Nabo (incluye silo),0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Pasto Canario,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Pasto Miel,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Pasto Ovillo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Sorgo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Raps Forrajero,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Topinambur,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Trébol Alejandrino,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Trébol Balansa,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Trébol Blanco,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Trébol Encarnado,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Trébol Ladino,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Trébol Rosado,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Trébol Subterráneo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Vicia,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Otras Forrajeras Anuales,0,0,0,0,0
Región de Arica y Parinacota,Arica,Forrajeras,Otras Forrajeras Permanentes,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Total,1,2,2,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Achicoria,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Alforfón (Trigo Sarraceno),0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Algodón,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Colza,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Curaguilla,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Estevia (o Stevia),0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Hinojo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Jojoba,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Linaza,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Lupino Dulce,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Lupino Amargo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Maní,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Maravilla,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Mimbre,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Mostaza,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Raps (Canola),1,2,2,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Remolacha,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Soya,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Tabaco,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Tomate,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Topinambur,0,0,0,0,0
Región de Arica y Parinacota,Arica,Cultivos Industriales,Otros Industriales,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Total,2,1.1,1.1,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Arveja (Grano Seco),0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Chícharo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Garbanzo,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Lenteja,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Poroto (Grano Seco),0,0,0,0,0
