total_nacional_region__,comuna_56__,total__numero_de_upa7,total__superficie_ha,tamano_de_la_upa__menores_de_1_ha__numero_de_upa,tamano_de_la_upa__menores_de_1_ha__superficie_ha,tamano_de_la_upa__de_1_a_menos_de_5_ha__numero_de_upa,tamano_de_la_upa__de_1_a_menos_de_5_ha__superficie_ha,tamano_de_la_upa__de_5_a_menos_de_1ha__numero_de_upa,tamano_de_la_upa__de_5_a_menos_de_1ha__superficie_ha,tamano_de_la_upa__de_1a_menos_de_2ha__numero_de_upa,tamano_de_la_upa__de_1a_menos_de_2ha__superficie_ha,tamano_de_la_upa__de_2a_menos_de_5ha__numero_de_upa,tamano_de_la_upa__de_2a_menos_de_5ha__superficie_ha,tamano_de_la_upa__de_5a_menos_de_10ha__numero_de_upa,tamano_de_la_upa__de_5a_menos_de_10ha__superficie_ha,tamano_de_la_upa__de_10a_menos_de_20ha__numero_de_upa,tamano_de_la_upa__de_10a_menos_de_20ha__superficie_ha,tamano_de_la_upa__de_20a_menos_de_50ha__numero_de_upa,tamano_de_la_upa__de_20a_menos_de_50ha__superficie_ha,tamano_de_la_upa__de_50a_menos_de_1.00ha__numero_de_upa,tamano_de_la_upa__de_50a_menos_de_1.00ha__superficie_ha,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__numero_de_upa,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__superficie_ha,tamano_de_la_upa__de_2.00ha_y_mas__numero_de_upa,tamano_de_la_upa__de_2.00ha_y_mas__superficie_ha
Región del Maule,Licantén,204,17051.4294329975,19,6.782,37,95.5269999998,33,241.69,59,784.341,32,988.904,8,604.78,7,1062.6899999995,6,1820.2100000631,1,823.1020630823,1,1359.6679369885,1,9263.7354328643
Región del Maule,Molina,450,73285.7738160058,59,29.734,144,328.2489999993,63,452.0517499997,65,945.2307499977001,47,1570.3825000089,26,1866.8787499979,18,2440.477250048,13,3725.2898234877,5,3312.127,3,4647.4999929551,7,53967.8529995115
Región del Maule,Rauco,330,15265.9060000298,43,22.1400000003,128,314.15,37,258.1892500016,44,644.6617500006,33,1130.1850000026,17,1124.1768945267,11,1518.32,11,3746.633105498,3,2013.45,3,4494,0,0
Región del Maule,Romeral,416,86390.9069805067,65,30.5995,135,314.0550000007,59,427.13,58,798.9900000022,47,1454.3697999782,22,1549.6700003982,8,968.4100000118,7,2239.2000000077,2,1137,4,5837.3,9,71634.1826801079
Región del Maule,Sagrada Familia,393,40152.4839983894,31,15.57,121,311.8500000044,64,444.8187499984,53,757.9800000019,45,1514.9499999856,26,1834.8040000048,13,1919.9412500158,17,5657.1499999792,11,6829.1899983993,9,12402.23,3,8464
Región del Maule,Teno,863,41016.604690139,107,55.8072000011,243,603.1799999997,118,819.2150000003,177,2450.5937499784,119,3549.0062499987,50,3425.9050000008,26,3787.942,11,3260.9099999755,8,5372.7,3,3934.3454901845,1,13757
Región del Maule,Vichuquén,140,20663.1711748377,14,8.768,28,81.8090000169,21,154.314,14,185.39,26,808.54,15,1071.3500000035,9,1325.41,7,1970.5000000209,5,3579.9999999584,0,0,1,11477.090174838
Región del Maule,Linares,1090,49423.00287135,134,69.5429999976,334,880.353,173,1191.670500002,166,2369.8637499967,158,4853.7095000007,77,5198.0097499853,33,4430.0008431953,10,3021.700000025,0,0,2,2580,3,24828.1525281474
Región del Maule,Colbún,485,48428.0409798947,58,22.8002,161,382.263,71,483.2499999988,82,1140.9579999994,51,1590.6181458299,25,1832.4280781095,17,2493.8937760714,5,1645,7,4730.76,2,3880,6,30226.0697798857
Región del Maule,Longaví,1652,63985.8853940956,250,121.7688,550,1305.132,220,1500.39,276,3827.1940625007,209,6293.1490000088,70,4951.8318749939,47,6276.9186568592,20,5767.0815626698,3,1784,4,6586.5,3,25571.9194370632
Región del Maule,Parral,1257,88532.2199302182,153,77.589,339,785.6771999994,164,1175.2340000004,171,2415.7799999994,206,6410.056499999,114,7988.5424999463,54,7436.5249997498,42,12733.055000046,9,5739.717000000001,1,1204.2999999258,4,42565.7437305521
Región del Maule,Retiro,932,43304.8500018622,88,47.1839999978,261,622.6192000023,108,760.5600000007,146,2152.3724999988,159,4842.2810001663,76,5188.7475000048,52,6909.9898999904,30,9864.929999924,7,4074.5500000525,3,3633.8959017246,2,5207.719999999999
Región del Maule,San Javier,901,81500.0495581883,52,26.38,210,579.9955034483,126,899.368,157,2203.5478965518,174,5274.7446000005,78,5190.605249993,47,6632.2099999932,37,10839.66875,12,8576.2600000731,3,3049.74,5,38227.5295581284
Región del Maule,Villa Alegre,356,8726.3253000032,74,31.2212999995,86,226.68,54,368.2959999997,46,664.067,47,1384.0089999873,28,1968.1080000137,11,1426.6,10,2657.344000003,0,0,0,0,0,0
Región del Maule,Yerbas Buenas,698,12936.1606791931,150,69.6789999998,206,481.7414397615,81,571.0600000887,109,1572.5965416684,96,2734.3406249858,28,1873.691,20,2820.8408935845,7,2137.95,1,674.2611791044,0,0,0,0
Región de Ñuble,Total Región,12171,807993.0097955877,985,479.4771,3969,10759.4101,2233,15535.88125,1945,27302.1798,1623,50195.1242754722,661,44760.28685,378,52280.8035,242,69944.7831000458,76,53657.28575,29,39938.96,30,443138.8180700698
Región de Ñuble,Chillán,826,29480.5911579129,98,47.455,264,721.8330000018,107,762.2947500001,124,1774.19115,125,3775.8760000058,46,3022.4775,36,5299.9936000078,20,5300.938,4,2834.05,1,1030.71,1,4910.7721578974
Región de Ñuble,Bulnes,738,32945.4890105587,46,23.115,195,489.2980000007,116,794.4600000003,116,1631.7499999936,136,4159.1050000015,58,3921.7987499896,39,5278.7285,26,7749.683,3,1912.97375,1,1354.18,2,5630.397010573
Región de Ñuble,Chillán Viejo,270,17753.9707955363,24,11.69,101,263.9,28,193.99,29,421.25,42,1316.7075,21,1523.1825,9,1243.98,7,2149.5300001067,8,6248.1699999611,0,0,1,4381.5707954685
Región de Ñuble,El Carmen,1168,63516.563979052,15,8.1493,286,922.323,279,1971.214,241,3497.642,189,5963.3760000135,88,6119.96,36,5062.120000002,18,5424.715,10,6612.455,3,3933.8000000273,3,24000.8096790092
Región de Ñuble,Pemuco,378,46586.4124071266,8,3.85,75,243.031,81,551.05,66,908.61,68,2177.58,36,2502.9246000205,21,2770.36,16,4830.9,4,2304.99,2,2560.869999998,1,27732.2468071081
Región de Ñuble,Pinto,442,54328.1180999424,15,7.613,127,366.6024999999,87,616.1775,82,1138.07425,74,2208.109,22,1422.88,22,3227.385,8,2426.49,2,1620.9437494877,0,0,3,41293.8431004548
Región de Ñuble,Quillón,636,14457.6983498291,105,59.445,309,693.5339999999,108,735.0789999994,57,773.074,35,1003.46,10,781.25,6,941.2499999975,5,1626.2,0,0,0,0,1,7844.4063498323
Región de Ñuble,San Ignacio,967,21242.7233146501,27,15.664,385,1065.506,214,1472.97,155,2145.473000001,111,3471.195,30,1997.02,25,3256.8019999982,17,4774.4499999709,2,1148.43,1,1895.21331468,0,0
Región de Ñuble,Yungay,481,56244.135885924,20,9.33,151,436.7746,95,675.44,83,1139.8975,66,2029.2245,27,1941.81,14,1842.99,10,2979.87,9,6351.17,5,7222.76,1,31614.869285924
Región de Ñuble,Quirihue,304,32660.3903556445,3,1.7798,56,163.225,67,478.375,60,871.326,53,1730.9715998549,30,2066.21,21,2921.4700000559,7,1778.365714292,3,2017.1,2,3488.9000000129,2,17142.6672414288
Región de Ñuble,Cobquecura,391,25339.3986043168,14,6.28,122,352.2595,77,529.4705,78,1094.97,63,1979.99,20,1479.78,7,880.12,6,1462.4,2,1524.61428576,1,1033.21,1,14996.3043185568
Región de Ñuble,Coelemu,348,21969.2938329051,26,13.88,129,327.785,67,478.3399999998,65,874.7,30,992.65,15,1074.92,8,1167.1500000057,5,2033.8399999988,1,725.4200000781,1,1014.3,1,13266.3088328227
Región de Ñuble,Ninhue,420,21127.1145738312,14,7.227,137,412.21,91,643.86,67,934.52,66,2055.2799999998,25,1642.7599999965,11,1379.2800004253,6,1958.3899999804,1,893,1,1342.8000001152,1,9857.787573314
Región de Ñuble,Portezuelo,248,14144.5680089003,18,9.1788,83,213.9199999997,53,383.235,36,489.29,38,1124.7949999897,8,528.7500000437,2,211.3,7,2215.169999507,1,641.74,1,1226,1,7101.1892093602
Región de Ñuble,Ránquil,347,11709.3195917343,57,26.889,164,401.883,43,269.74,40,554.225,24,739.98,10,726.88,3,394,5,1584.37,0,0,0,0,1,7011.3525917343
Región de Ñuble,Treguaco,208,12989.8872544747,2,1.14,78,228.82,54,371.3,35,476.06,25,804.9756754722,7,401.19,3,343.5600000354,1,407.6,1,688.2099999954,0,0,2,9267.0315789717
Región de Ñuble,San Carlos,1541,53499.8869653742,205,88.7124,452,1207.6871000009,216,1487.280000021,250,3531.2625,204,6244.2099999976,99,6626.62,65,9162.8725,35,9027.4099994527,9,5768.3759999834,3,3268.67,3,7086.7864659186
Región de Ñuble,Coihueco,935,94786.0782920785,133,65.4047,313,777.6898000002,135,936.7240000007,114,1604.03,108,3417.805,48,3321.099,31,4223.3599999988,36,10719.11,9,6686.865,4,5415,4,57618.9907920788
Región de Ñuble,Ñiquén,974,29259.8060779753,101,51.2365000001,336,875.2446,174,1223.87,146,2065.8275,118,3660.0199998952,48,3302.2399999878,27,3611.87,19,5510.0425001358,3,2432.22,1,1240.6600004887,1,5286.5749774677
Región de Ñuble,San Fabián,326,114351.9974118027,54,20.912,121,313.173,48,328.629,29,412.138,26,780.865,11,738.155,8,1003.87,11,3059.41,2,1330,2,2787,14,103577.8454118027
Región de Ñuble,San Nicolás,764,39599.5658260181,39,19.7625,204,572.6409999999,150,1029.8624999997,118,1619.6869999996,118,3682.265,64,4440.3159999954,40,5609.7100000119,19,5221.5650000024,8,5505.9300001455,3,4397.1199999909,1,7500.7068258728
Región del Biobío,Total Región,12448,1358582.104013841,760,395.6545,4083,11097.4678991927,2346,16368.69915,2191,30042.986365625,1710,52669.06555,683,47226.515302269,351,48792.67525,197,60962.3957641817,72,48552.403234375,31,42358.9382046946,24,1000115.302793503
Región del Biobío,Concepción,59,10453.1574919108,3,1.55,17,38.983,13,88.1345,9,128.6,9,267.5,2,130,2,316,2,584.8999999907,1,517.4,0,0,1,8380.0899919201
Región del Biobío,Florida,465,26841.1828127497,23,13.9692,167,466.77225,76,548.33,86,1185.08975,63,1809.677,33,2310.749,9,1258.0775,6,1712.0010006918,1,597.7000001829999,0,0,1,16938.8171118749
Región del Biobío,Penco,54,4023.5189994973,4,1.9,20,48.0296,6,40.69,19,275.4394,3,84,1,90,0,0,0,0,0,0,0,0,1,3483.4599994973
Región del Biobío,San Pedro de La Paz,34,4260.3199911911,4,1.76,20,38.69,4,22,3,39.4,2,76.4,0,0,0,0,0,0,0,0,0,0,1,4082.0699911911
Región del Biobío,Santa Juana,576,60451.5597852488,37,19.5792,207,562.2906,128,889.2201,97,1305.1008,74,2015.0679,18,1213.0255,7,971.6500003,3,857.2875,3,2454.1,1,1228.78,1,48935.4581849488
Región del Biobío,Tomé,242,23776.2193310695,24,9.57,109,292.493,43,290.3276,33,409.15,19,510.03,6,430.61,2,310,3,834.7225000000001,2,1528.0599992242,0,0,1,19161.2562318453
Región del Biobío,Chiguayante/Hualqui,409,33180.7201611275,28,16.1445,143,390.409,85,574.8203,80,1098.4672,45,1397.04,13,876.76,6,828.12,4,1206.799999299,3,2230.8,0,0,2,24561.3591618285
Región del Biobío,Coronel/Lota,114,23970.4595032358,24,12.2094,36,87.6421,11,84.86,17,221.574,12,350.404,4,278,0,0,9,2804.97,0,0,0,0,1,20130.8000032358
Región del Biobío,Talcahuano/Hualpén,24,4626.8679999764,1,0.7,5,18.8,2,16.17,0,0,7,231.4999999764,1,71.058,3,449.49,3,1086.15,1,556,0,0,1,2197
Región del Biobío,Lebu,259,41486.9969991604,4,1.6,46,141.272,46,318.892,50,742.923,50,1558.45,32,2203.4700000117,16,2003.5299999915,10,3085.8800002982,0,0,2,3702.0999999507,3,27728.8799989083
Región del Biobío,Arauco,531,71491.0253872471,12,6.646,105,315.2654,73,525.169,101,1433.425,138,4370.83,48,3416.07,31,4385.94,16,4795.4999995418,6,4595.1999998181,0,0,1,47646.9799878872
Región del Biobío,Cañete,919,66538.431995156,40,19.361,278,834.897,285,1993.032,160,2190.965515625,102,3228.5,30,2046.9900000093,6,716.9,12,3330.496484375,1,500,2,2899,3,48778.2899951467
Región del Biobío,Contulmo,118,31487.6850128049,16,7.755,40,98.878,11,70.28,17,226.4,17,560.662,7,559.87,3,368.1,4,1330.4399999716,1,861.54,0,0,2,27403.7600128333
Región del Biobío,Curanilahue,172,85267.06160601821,5,2.27,23,68.04,27,194.3096,43,566.392,35,1055.2699999992,20,1430.1599999114,14,1787.95,3,979.8000000647,0,0,1,1616.76,1,77566.1100060429
Región del Biobío,Los Álamos,282,41818.3540012642,6,2.574,61,189.54,74,539.56,57,764.4,52,1834.23,24,1530.2,1,149.8,2,553.8300000565,2,1192.9000000879,2,3404.91,1,31656.4100011198
