total_nacional__region__,comuna_4_5_6__,condicion_juridica_de_la_upa__total__numero_de_upa,condicion_juridica_de_la_upa__total__superficie_ha,condicion_juridica_de_la_upa__persona_juridica_7__numero_de_upa,condicion_juridica_de_la_upa__persona_juridica_7__superficie_ha,condicion_juridica_de_la_upa__persona_natural_8__numero_de_upa,condicion_juridica_de_la_upa__persona_natural_8__superficie_ha
Región del Maule,Licantén,204,17051.42943299756,6,10824.64749600977,198,6226.781936987788
Región del Maule,Molina,450,73285.77381600578,111,68632.76706601142,339,4653.006749994353
Región del Maule,Rauco,330,15265.90600002991,56,5407.977555670218,274,9857.928444359697
Región del Maule,Romeral,416,86390.90698050674,106,61479.89268051425,310,24911.01429999251
Región del Maule,Sagrada Familia,393,40152.48399838931,105,23376.52899838279,288,16775.95500000653
Región del Maule,Teno,863,41016.60469013894,175,29905.97749018467,688,11110.62719995427
Región del Maule,Vichuquén,140,20663.17117483759,12,15346.4376748168,128,5316.733500020787
Región del Maule,Linares,1090,49423.00287135007,75,28869.28337141831,1015,20553.71949993177
Región del Maule,Colbún,485,48428.04097989463,55,29409.34477991407,430,19018.69619998056
Región del Maule,Longaví,1652,63985.88539409552,90,28596.89871904538,1562,35388.98667505013
Región del Maule,Parral,1257,88532.21993021821,77,46000.26573026199,1180,42531.95419995623
Región del Maule,Retiro,932,43304.85000186224,88,19249.56590181586,844,24055.28410004639
Región del Maule,San Javier,901,81500.04955818801,110,49549.80520474324,791,31950.24435344477
Región del Maule,Villa Alegre,356,8726.32530000319,55,4659.11399999621,301,4067.21130000698
Región del Maule,Yerbas Buenas,698,12936.16067919316,49,4841.896239350768,649,8094.264439842395
Región de Ñuble,Total Región,12171,807993.0097955881,560,470708.8940699155,11611,337284.1157256726
Región de Ñuble,Chillán,826,29480.59115791276,94,13550.5109079069,732,15930.08025000586
Región de Ñuble,Bulnes,738,32945.48901055875,81,18686.3460105616,657,14259.14299999715
Región de Ñuble,Chillán Viejo,270,17753.97079553634,21,9945.99079553634,249,7807.98
Región de Ñuble,El Carmen,1168,63516.56397905234,31,30612.36717905234,1137,32904.1968
Región de Ñuble,Pemuco,378,46586.41240712664,21,31619.54430712664,357,14966.8681
Región de Ñuble,Pinto,442,54328.11809994234,15,40707.67059994245,427,13620.44749999989
Región de Ñuble,Quillón,636,14457.69834982902,29,9864.576349832238,607,4593.121999996783
Región de Ñuble,San Ignacio,967,21242.7233146502,36,6545.153314650204,931,14697.57
Región de Ñuble,Yungay,481,56244.13588592396,18,38706.15678592397,463,17537.9791
Región de Ñuble,Quirihue,304,32660.39035564462,11,21290.40295559014,293,11369.98740005449
Región de Ñuble,Cobquecura,391,25339.39860431685,10,17679.50860426484,381,7659.890000052016
Región de Ñuble,Coelemu,348,21969.29383290507,11,15226.06883282145,337,6743.225000083622
Región de Ñuble,Ninhue,420,21127.11457383099,13,12876.01757385082,407,8251.096999980176
Región de Ñuble,Portezuelo,248,14144.56800890021,15,9801.369208900529,233,4343.198799999679
Región de Ñuble,Ránquil,347,11709.3195917344,9,8200.0425917344,338,3509.277
Región de Ñuble,Treguaco,208,12989.88725447473,7,10239.82157896708,201,2750.065675507647
Región de Ñuble,San Carlos,1541,53499.88696537411,102,16826.42246538983,1439,36673.46449998428
Región de Ñuble,Coihueco,935,94786.07829207851,108,72105.61079207882,827,22680.46749999969
Región de Ñuble,Ñiquén,974,29259.80607797535,29,11249.36097795862,945,18010.44510001673
Región de Ñuble,San Fabián,326,114351.9974118027,20,54481.3654118027,306,59870.632
Región de Ñuble,San Nicolás,764,39599.56582601823,63,20494.58682602364,701,19104.97899999459
Región del Biobío,Total Región,12448,1358582.104013841,515,1075199.632996755,11933,283382.4710170865
Región del Biobío,Concepción,59,10453.15749191074,11,9639.189991910736,48,813.9675
Región del Biobío,Florida,465,26841.18281274959,18,19333.63711274958,447,7507.5457
Región del Biobío,Penco,54,4023.51899949735,1,3483.45999949735,53,540.059
Región del Biobío,San Pedro de La Paz,34,4260.319991191122,3,4087.329991191123,31,172.99
Región del Biobío,Santa Juana,576,60451.55978524872,10,51267.23918524872,566,9184.3206
Región del Biobío,Tomé,242,23776.2193310694,8,21491.2262310694,234,2284.9931
Región del Biobío,Chiguayante/Hualqui,409,33180.72016112739,11,26699.63916112739,398,6481.081
Región del Biobío,Coronel/Lota,114,23970.45950323584,11,21765.95000323584,103,2204.5095
Región del Biobío,Talcahuano/Hualpén,24,4626.86799997636,7,3463.53999997636,17,1163.328
Región del Biobío,Lebu,259,41486.99699916069,16,32777.94999916069,243,8709.047
Región del Biobío,Arauco,531,71491.02538724722,23,54032.10998724723,508,17458.9154
Región del Biobío,Cañete,919,66538.43199515594,19,54170.68647953094,900,12367.745515625
Región del Biobío,Contulmo,118,31487.6850128049,9,28858.1600128049,109,2629.525
Región del Biobío,Curanilahue,172,85267.06160601827,7,79815.34000601826,165,5451.7216
Región del Biobío,Los Álamos,282,41818.35400126407,10,34702.74000126407,272,7115.614000000001
Región del Biobío,Tirúa,405,26943.92599673207,7,21452.83999673207,398,5491.086
Región del Biobío,Los Ángeles,2260,111994.4487858665,223,71855.91003200045,2037,40138.53875386605
Región del Biobío,Antuco,112,68762.59000813075,13,60458.45750813074,99,8304.1325
Región del Biobío,Cabrero,307,42034.98114559223,22,35605.28614559223,285,6429.695
Región del Biobío,Laja,354,21681.9550015049,7,14699.77000150489,347,6982.185
Región del Biobío,Mulchén,687,141527.4043705891,76,118682.8935244565,611,22844.51084613262
Región del Biobío,Nacimiento,564,58577.46749293741,14,47196.62159293741,550,11380.8459
Región del Biobío,Negrete,381,10962.01641166282,31,5273.24001166633,350,5688.77639999649
Región del Biobío,Quilaco,314,69356.35173864299,16,62710.24755281779,298,6646.104185825192
Región del Biobío,Quilleco,548,76239.51914455925,31,46941.51712891598,517,29298.00201564328
Región del Biobío,San Rosendo,77,8798.250072739156,4,7729.972072739156,73,1068.278
Región del Biobío,Santa Bárbara,636,70541.67199291984,38,46238.73809292195,598,24302.9338999979
Región del Biobío,Tucapel,406,50682.92700973303,11,39202.32700973302,395,11480.6
Región del Biobío,Yumbel,838,36002.16776457339,31,23516.61416457338,807,12485.5536
Región del Biobío,Alto Biobío,571,34802.866,3,28047,568,6755.866
Región de La Araucanía,Total Región,36552,1910167.97394177,714,1091053.491852373,35838,819114.4820893975
Región de La Araucanía,Temuco,2014,31047.66808595154,25,11115.99208594452,1989,19931.67600000702
Región de La Araucanía,Carahue,2154,91089.56587176927,23,44480.76527177318,2131,46608.8005999961
Región de La Araucanía,Cunco,1374,78072.61811967786,70,38480.80851964631,1304,39591.80960003156
Región de La Araucanía,Curarrehue,687,28647.7778,12,3423.965,675,25223.8128
Región de La Araucanía,Freire,1946,51352.02760211722,63,24145.12000210679,1883,27206.90760001043
Región de La Araucanía,Galvarino,1492,41412.03734075996,18,11431.41834075172,1474,29980.61900000824
Región de La Araucanía,Gorbea,822,45717.21137112362,31,13957.3313711422,791,31759.87999998142
Región de La Araucanía,Lautaro,1916,62104.49586348017,58,27710.4640134808,1858,34394.03184999937
Región de La Araucanía,Loncoche,1338,63311.00750067845,51,35941.85137607648,1287,27369.15612460196
Región de La Araucanía,Melipeuco,363,38491.68750004536,11,22751.76000004536,352,15739.9275
Región de La Araucanía,Nueva Imperial,2298,40013.46974722432,21,13172.99734722141,2277,26840.47240000291
Región de La Araucanía,Padre Las Casas,2768,16499.09169217262,20,1631.895392186685,2748,14867.19629998593
Región de La Araucanía,Perquenco,688,24888.29199997517,32,8057.719999968045,656,16830.57200000713
Región de La Araucanía,Pitrufquén,1619,42540.09044596132,31,15818.7049460725,1588,26721.38549988882
Región de La Araucanía,Pucón,437,132098.421988,25,112758.576,412,19339.845988
Región de La Araucanía,Saavedra,1723,21974.09326674775,6,2383.429989332756,1717,19590.663277415
Región de La Araucanía,Teodoro Schmidt,2034,44604.72322226952,14,8481.159397381836,2020,36123.56382488769
Región de La Araucanía,Toltén,1162,64796.38732855571,19,40125.21072856292,1143,24671.17659999279
Región de La Araucanía,Vilcún,1559,75747.12557642868,67,43292.03907643061,1492,32455.08649999807
Región de La Araucanía,Villarrica,1413,55009.11007547352,61,20574.7932254374,1352,34434.31685003611
Región de La Araucanía,Cholchol,997,19351.70577046085,8,9301.688070460175,989,10050.01770000067
Región de La Araucanía,Angol,577,76770.77556436806,30,60731.01706438172,547,16039.75849998633
Región de La Araucanía,Collipulli,622,87760.20884374889,22,77167.86634374889,600,10592.3425
Región de La Araucanía,Curacautín,281,142585.2512950957,26,124264.7657482362,255,18320.48554685946
Región de La Araucanía,Ercilla,75,24097.39402618212,9,18957.33152620372,66,5140.062499978398
Región de La Araucanía,Lonquimay,1057,189936.529,19,115441.351,1038,74495.178
Región de La Araucanía,Los Sauces,615,60412.23896819275,17,33961.96846821695,598,26450.2704999758
Región de La Araucanía,Lumaco,668,65252.34019765578,14,41764.34039667001,654,23487.99980098576
Región de La Araucanía,Purén,722,28377.63831461342,20,8971.36428789879,702,19406.27402671463
Región de La Araucanía,Renaico,247,17177.34485855035,23,12474.32835854508,224,4703.016500005261
Región de La Araucanía,Traiguén,736,63008.6404397914,51,32661.85823975307,685,30346.78220003833
Región de La Araucanía,Victoria,862,86021.0042646988,60,55619.61026469645,802,30401.39400000235
Región de Los Ríos,Total Región,8749,1224008.426857959,552,955965.6022915959,8197,268042.8245663633
Región de Los Ríos,Valdivia,353,67798.87519284304,43,54584.94019283864,310,13213.9350000044
Región de Los Ríos,Corral,167,43791.09916578671,5,39657.62816578671,162,4133.471
Región de Los Ríos,Lanco,457,34040.75204650178,29,24282.63304650178,428,9758.119
Región de Los Ríos,Los Lagos,538,105967.1127037623,86,84878.07178746776,452,21089.04091629448
Región de Los Ríos,Máfil,409,48766.19399895327,43,34924.45349895327,366,13841.7405
Región de Los Ríos,Mariquina,894,88525.73838495156,52,63485.47168495156,842,25040.2667
Región de Los Ríos,Paillaco,667,69885.48165127712,59,45903.91105127522,608,23981.57060000189
Región de Los Ríos,Panguipulli,1322,249356.9771832727,63,216529.4387832727,1259,32827.5384
Región de Los Ríos,La Unión,1227,162708.4706327308,85,131746.364882646,1142,30962.10575008477
Región de Los Ríos,Futrono,545,97918.23966501968,48,70445.42016502087,497,27472.8194999988
Región de Los Ríos,Lago Ranco,661,111161.5420002271,46,93083.67000019894,615,18077.87200002821
Región de Los Ríos,Río Bueno,1683,144087.9442326332,112,96443.59903268241,1571,47644.34519995074
Región de Los Lagos,Total Región,18343,2629360.929498168,637,1993890.335015967,17706,635470.594482201
Región de Los Lagos,Puerto Montt,817,99826.77470000015,21,80896.31,796,18930.46470000015
Región de Los Lagos,Calbuco,1931,25817.79470001484,6,4577.30000001484,1925,21240.4947
Región de Los Lagos,Cochamó,331,72651.4533993387,8,53605.7611993387,323,19045.6922
Región de Los Lagos,Fresia,595,45492.35473942053,48,16945.33806249521,547,28547.01667692532
Región de Los Lagos,Frutillar,401,48250.0420000066,64,20502.16199999555,337,27747.88000001105
Región de Los Lagos,Los Muermos,1348,73690.05449997234,46,11906.02000000505,1302,61784.03449996729
Región de Los Lagos,Llanquihue,197,29498.21999985079,45,14160.06401311807,152,15338.15598673272
