total_nacional_region__,tipo_de_gestion__,actividad_principal_asociada_numero_de_upa5__total,actividad_principal_asociada_numero_de_upa5__cultivos,actividad_principal_asociada_numero_de_upa5__frutales,actividad_principal_asociada_numero_de_upa5__propagacion_de_plantas,actividad_principal_asociada_numero_de_upa5__ganaderia,actividad_principal_asociada_numero_de_upa5__actividades_de_apoyo_a_la_agricultura_ganaderia_y_actividades_de_poscosecha,actividad_principal_asociada_numero_de_upa5__actividad_forestal,actividad_principal_asociada_numero_de_upa5__agroindustria,actividad_principal_asociada_numero_de_upa5__actividades_no_silvoagropecuarias6,actividad_principal_asociada_numero_de_upa5__no_sabe._no_responde
Total Nacional,Total,138628,41511,21139,966,49567,825,7224,1122,13690,2584
Total Nacional,Persona Jurídica,9021,1437,4297,267,1673,84,438,209,539,77
Total Nacional,Persona Natural,129607,40074,16842,699,47894,741,6786,913,13151,2507
Región de Arica y Parinacota,Total,1267,944,116,6,153,2,0,5,31,10
Región de Arica y Parinacota,Persona Jurídica,51,31,4,2,7,1,0,0,6,0
Región de Arica y Parinacota,Persona Natural,1216,913,112,4,146,1,0,5,25,10
Región de Tarapacá,Total,835,516,139,7,63,4,2,3,96,5
Región de Tarapacá,Persona Jurídica,28,10,3,1,3,0,2,0,9,0
Región de Tarapacá,Persona Natural,807,506,136,6,60,4,0,3,87,5
Región de Antofagasta,Total,722,445,130,8,52,1,1,7,54,24
Región de Antofagasta,Persona Jurídica,22,7,1,2,5,0,0,2,4,1
Región de Antofagasta,Persona Natural,700,438,129,6,47,1,1,5,50,23
Región de Atacama,Total,1352,274,740,13,186,1,1,31,89,17
Región de Atacama,Persona Jurídica,116,18,72,4,3,0,0,4,13,2
Región de Atacama,Persona Natural,1236,256,668,9,183,1,1,27,76,15
Región de Coquimbo,Total,6929,1189,2493,39,2273,43,9,57,743,83
Región de Coquimbo,Persona Jurídica,591,51,371,16,31,20,2,8,89,3
Región de Coquimbo,Persona Natural,6338,1138,2122,23,2242,23,7,49,654,80
Región de Valparaíso,Total,5484,1867,2247,193,664,26,71,61,293,62
Región de Valparaíso,Persona Jurídica,1087,180,640,59,85,8,28,31,47,9
Región de Valparaíso,Persona Natural,4397,1687,1607,134,579,18,43,30,246,53
Región Metropolitana de Santiago,Total,5530,2299,1822,202,773,54,11,48,265,56
Región Metropolitana de Santiago,Persona Jurídica,1281,265,704,72,130,16,2,25,60,7
Región Metropolitana de Santiago,Persona Natural,4249,2034,1118,130,643,38,9,23,205,49
Región del Libertador General Bernardo O'Higgins,Total,9130,3604,2739,93,1475,66,340,56,662,95
