total_nacional_region,sexo3,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__total_de_personas_productoras_naturales,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__exclusivamente_propietario_con_o_sin_titulo_inscrito_en_el_cbr_4,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__exclusivamente_arrendatario_5,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__exclusivamente_propietario_y_arrendatario,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__exclusivamente_propietario_y_ademas_tiene_otros_tipos_de_tenencia_6_excluye_arrendatario,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__exclusivamente_arrendatario_y_ademas_tiene_otros_tipos_de_tenencia_6_excluye_propietarios_con_o_sin_titulo_cbr,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__exclusivamente_otros_tipos_de_tenencia_6,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__exclusivamente_no_sabe._no_responde,numero_de_personas_productoras_naturales_segun_tipo_de_tenencia_de_la_tierra2__otros_7
Total Nacional,Total Región,129607,90344,8617,5223,6867,872,16731,124,829
Total Nacional,Productores hombres,88078,59042,7221,4559,5039,761,10648,76,732
Total Nacional,Productoras mujeres,40482,30537,1352,647,1786,109,5911,44,96
Total Nacional,Sin especificar,1047,765,44,17,42,2,172,4,1
Región de Arica y Parinacota,Total Región,1220,495,374,79,18,11,243,0,0
Región de Arica y Parinacota,Productores hombres,843,320,270,56,11,8,178,0,0
Región de Arica y Parinacota,Productoras mujeres,374,174,104,23,7,3,63,0,0
Región de Arica y Parinacota,Sin especificar,3,1,0,0,0,0,2,0,0
Región de Tarapacá,Total Región,807,394,188,50,43,16,103,0,13
Región de Tarapacá,Productores hombres,532,269,120,29,29,14,63,0,8
Región de Tarapacá,Productoras mujeres,274,125,68,21,14,2,39,0,5
Región de Tarapacá,Sin especificar,1,0,0,0,0,0,1,0,0
Región de Antofagasta,Total Región,706,316,93,10,98,1,187,0,1
Región de Antofagasta,Productores hombres,376,174,60,6,49,1,85,0,1
Región de Antofagasta,Productoras mujeres,311,128,33,4,48,0,98,0,0
Región de Antofagasta,Sin especificar,19,14,0,0,1,0,4,0,0
Región de Atacama,Total Región,1239,827,99,20,36,6,249,1,1
Región de Atacama,Productores hombres,875,573,82,18,30,5,166,0,1
Región de Atacama,Productoras mujeres,360,252,16,2,6,1,82,1,0
Región de Atacama,Sin especificar,4,2,1,0,0,0,1,0,0
Región de Coquimbo,Total Región,6315,3547,681,83,211,32,1743,4,14
Región de Coquimbo,Productores hombres,4410,2486,494,74,169,28,1144,2,13
Región de Coquimbo,Productoras mujeres,1885,1048,187,9,41,4,593,2,1
Región de Coquimbo,Sin especificar,20,13,0,0,1,0,6,0,0
Región de Valparaíso,Total Región,4357,3157,689,187,53,12,249,1,9
Región de Valparaíso,Productores hombres,3437,2396,612,170,47,12,190,1,9
Región de Valparaíso,Productoras mujeres,887,734,75,16,6,0,56,0,0
Región de Valparaíso,Sin especificar,33,27,2,1,0,0,3,0,0
Región Metropolitana de Santiago,Total Región,4806,2953,1076,304,65,45,344,4,15
Región Metropolitana de Santiago,Productores hombres,3952,2270,992,283,57,45,287,4,14
Región Metropolitana de Santiago,Productoras mujeres,836,670,80,21,8,0,56,0,1
Región Metropolitana de Santiago,Sin especificar,18,13,4,0,0,0,1,0,0
Región del Libertador General Bernardo O'Higgins,Total Región,7446,4466,1419,726,261,115,376,11,72
Región del Libertador General Bernardo O'Higgins,Productores hombres,6058,3372,1297,683,219,107,303,7,70
