__total_nacional_region,__sexo_persona_productora_34,__total_personas_productoras,pueblos_originarios3__mapuche__numero_personas_productoras,pueblos_originarios3__mapuche__superficie_ha_de_la_upa,pueblos_originarios3__aymara__numero_personas_productoras,pueblos_originarios3__aymara__superficie_ha_de_la_upa,pueblos_originarios3__lican_antai_o_atacameno__numero_personas_productoras,pueblos_originarios3__lican_antai_o_atacameno__superficie_ha_de_la_upa,pueblos_originarios3__quechua__numero_personas_productoras,pueblos_originarios3__quechua__superficie_ha_de_la_upa,pueblos_originarios3__colla__numero_personas_productoras,pueblos_originarios3__colla__superficie_ha_de_la_upa,pueblos_originarios3__diaguita__numero_personas_productoras,pueblos_originarios3__diaguita__superficie_ha_de_la_upa,pueblos_originarios3__chango__numero_personas_productoras,pueblos_originarios3__chango__superficie_ha_de_la_upa,pueblos_originarios3__otro_pueblo__numero_personas_productoras,pueblos_originarios3__otro_pueblo__superficie_ha_de_la_upa
Total Nacional,Total Nacional,34441,31429,549802.8721239377,1466,62575.96325,291,1139.653,81,178.03,92,10377.34,828,10425.17075,26,93.41,228,16867.802725
Total Nacional,Productores hombres,20800,18786,351688.7388930009,997,52962.134,158,816.42,43,91.782,56,10037.64,589,8053.1295,20,61.69,151,15697.584725
Total Nacional,Productoras mujeres,13625,12627,197956.7732309368,469,9613.82925,133,323.233,38,86.248,36,339.7,239,2372.04125,6,31.72,77,1170.218
Total Nacional,Sin especificar,16,16,157.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Total Región,887,8,29.2,852,33440.36325,0,0,21,79.465,0,0,3,11.5,0,0,3,26.9
Región de Arica y Parinacota,Productores hombres,611,4,20.2,588,24458.61,0,0,14,56.77,0,0,2,10,0,0,3,26.9
Región de Arica y Parinacota,Productoras mujeres,276,4,9,264,8981.75325,0,0,7,22.695,0,0,1,1.5,0,0,0,0
Región de Arica y Parinacota,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Tarapacá,Total Región,650,5,218.77,564,28559.88,0,0,53,68.36500000000001,0,0,9,31.112,0,0,19,30.4475
Región de Tarapacá,Productores hombres,423,4,214.57,376,27967.504,0,0,26,33.212,0,0,8,30.941,0,0,9,21.99
Región de Tarapacá,Productoras mujeres,227,1,4.199999999999999,188,592.376,0,0,27,35.153,0,0,1,0.171,0,0,10,8.4575
Región de Tarapacá,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Antofagasta,Total Región,309,0,0,13,23.16,289,1134.853,5,17.6,0,0,0,0,0,0,2,1.3
Región de Antofagasta,Productores hombres,168,0,0,9,19.8,156,811.62,2,0.8,0,0,0,0,0,0,1,0.3
Región de Antofagasta,Productoras mujeres,141,0,0,4,3.36,133,323.233,3,16.8,0,0,0,0,0,0,1,1
Región de Antofagasta,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Atacama,Total Región,434,12,254.59,3,5.5,0,0,0,0,85,10356.89,311,6636.384,15,49.01,8,278.155
Región de Atacama,Productores hombres,293,8,239.2,2,4.5,0,0,0,0,53,10033.64,215,4807.854,10,18.29,5,273.58
Región de Atacama,Productoras mujeres,141,4,15.39,1,1,0,0,0,0,32,323.25,96,1828.53,5,30.72,3,4.575
Región de Atacama,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Coquimbo,Total Región,658,127,44043.868,23,470.53,0,0,0,0,7,20.45,469,3651.29275,11,44.4,21,156.853
Región de Coquimbo,Productores hombres,470,89,5664.068000000001,16,440.88,0,0,0,0,3,4,337,3129.2425,10,43.4,15,138.46
Región de Coquimbo,Productoras mujeres,188,38,38379.8,7,29.65,0,0,0,0,4,16.45,132,522.05025,1,1,6,18.393
Región de Coquimbo,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región de Valparaíso,Total Región,193,132,1875.278,5,36.86,2,4.8,0,0,0,0,34,83.582,0,0,20,61.165
Región de Valparaíso,Productores hombres,142,97,1802.74,3,36.31,2,4.8,0,0,0,0,26,73.092,0,0,14,45.28
Región de Valparaíso,Productoras mujeres,51,35,72.538,2,0.55,0,0,0,0,0,0,8,10.49,0,0,6,15.885
Región de Valparaíso,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región Metropolitana de Santiago,Total Región,186,168,29579.11375,2,14.5,0,0,2,12.6,0,0,0,0,0,0,14,244.372225
Región Metropolitana de Santiago,Productores hombres,145,130,14305.834,1,14.2,0,0,1,1,0,0,0,0,0,0,13,230.754725
Región Metropolitana de Santiago,Productoras mujeres,41,38,15273.27975,1,0.3,0,0,1,11.6,0,0,0,0,0,0,1,13.6175
Región Metropolitana de Santiago,Sin especificar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Región del Libertador General Bernardo O'Higgins,Total Región,188,173,3935.342875,0,0,0,0,0,0,0,0,2,11.3,0,0,13,69.14
Región del Libertador General Bernardo O'Higgins,Productores hombres,151,141,1093.203375,0,0,0,0,0,0,0,0,1,2,0,0,9,37.59
