total_nacional_region,comuna_78,especie_9,total_numero_de_upa1011,total_superficie_cultivo_ha
Región del Maule,San Rafael,Notro,0,0
Región del Maule,San Rafael,Ñirre,0,0
Región del Maule,San Rafael,Olivillo,0,0
Región del Maule,San Rafael,Palma Chilena,0,0
Región del Maule,San Rafael,Patagua,0,0
Región del Maule,San Rafael,Pelu,0,0
Región del Maule,San Rafael,Peumo,0,0
Región del Maule,San Rafael,Picha-Picha,0,0
Región del Maule,San Rafael,Pimiento,0,0
Región del Maule,San Rafael,Pitra,0,0
Región del Maule,San Rafael,Polizón,0,0
Región del Maule,San Rafael,Queñoa,0,0
Región del Maule,San Rafael,Queñoa de Altura,0,0
Región del Maule,San Rafael,Queule,0,0
Región del Maule,San Rafael,Quillay,3,6.51
Región del Maule,San Rafael,Radal,0,0
Región del Maule,San Rafael,Rarán,0,0
Región del Maule,San Rafael,Raulí,0,0
Región del Maule,San Rafael,Roble,0,0
Región del Maule,San Rafael,Roble Blanco,0,0
Región del Maule,San Rafael,Ruil,0,0
Región del Maule,San Rafael,Sándalo,0,0
Región del Maule,San Rafael,Sauce Amargo,0,0
Región del Maule,San Rafael,Sauco,0,0
Región del Maule,San Rafael,Tamarugo,0,0
Región del Maule,San Rafael,Tara,0,0
Región del Maule,San Rafael,Tayu,0,0
Región del Maule,San Rafael,Tepa,0,0
Región del Maule,San Rafael,Tiaca,0,0
Región del Maule,San Rafael,Tineo,0,0
Región del Maule,San Rafael,Trevo,0,0
Región del Maule,San Rafael,Ulmo,0,0
Región del Maule,Cauquenes,Total,79,8359.288809694952
Región del Maule,Cauquenes,Sin clasificar,2,19
Región del Maule,Cauquenes,Alerce,0,0
Región del Maule,Cauquenes,Algarrobo,0,0
Región del Maule,Cauquenes,Algarrobo del Norte,0,0
Región del Maule,Cauquenes,Araucaria,0,0
Región del Maule,Cauquenes,Arrayán,3,17.848108966
Región del Maule,Cauquenes,Avellanillo,0,0
Región del Maule,Cauquenes,Avellano,1,3
Región del Maule,Cauquenes,Belloto del Norte,0,0
Región del Maule,Cauquenes,Belloto del Sur,0,0
Región del Maule,Cauquenes,Boldo,3,4
Región del Maule,Cauquenes,Canelo,0,0
Región del Maule,Cauquenes,Carbonillo o Carbón,0,0
Región del Maule,Cauquenes,Chañar,0,0
Región del Maule,Cauquenes,Ciprés de La Cordillera,0,0
Región del Maule,Cauquenes,Ciprés de Las Guaitecas,0,0
Región del Maule,Cauquenes,Coigüe,0,0
Región del Maule,Cauquenes,Coigüe de Chiloé,0,0
Región del Maule,Cauquenes,Coigüe de Magallanes,0,0
Región del Maule,Cauquenes,Culén,0,0
Región del Maule,Cauquenes,Espino,25,1475.675232916209
Región del Maule,Cauquenes,Fuinque,0,0
Región del Maule,Cauquenes,Huala,0,0
Región del Maule,Cauquenes,Hualo,12,438.86
Región del Maule,Cauquenes,Huayún,0,0
Región del Maule,Cauquenes,Huella,0,0
Región del Maule,Cauquenes,Huingán,0,0
Región del Maule,Cauquenes,Laurel,0,0
Región del Maule,Cauquenes,Lenga,0,0
Región del Maule,Cauquenes,Leña Dura,0,0
Región del Maule,Cauquenes,Lingue,0,0
Región del Maule,Cauquenes,Lingue del Norte,0,0
Región del Maule,Cauquenes,Litre,2,10.3
Región del Maule,Cauquenes,Lleuque,0,0
Región del Maule,Cauquenes,Luma,0,0
Región del Maule,Cauquenes,Luma de Más Afuera,0,0
Región del Maule,Cauquenes,Maitén,1,3
Región del Maule,Cauquenes,Mañío de Hojas Cortas,0,0
Región del Maule,Cauquenes,Mañío de Hojas Largas,0,0
Región del Maule,Cauquenes,Mañío de Hojas Punzantes,0,0
Región del Maule,Cauquenes,Mardoño,0,0
Región del Maule,Cauquenes,Melí,0,0
Región del Maule,Cauquenes,Molle,0,0
Región del Maule,Cauquenes,Naranjillo,0,0
Región del Maule,Cauquenes,Notro,0,0
Región del Maule,Cauquenes,Ñirre,0,0
Región del Maule,Cauquenes,Olivillo,0,0
Región del Maule,Cauquenes,Palma Chilena,0,0
Región del Maule,Cauquenes,Patagua,0,0
Región del Maule,Cauquenes,Pelu,0,0
Región del Maule,Cauquenes,Peumo,1,2
Región del Maule,Cauquenes,Picha-Picha,0,0
Región del Maule,Cauquenes,Pimiento,0,0
Región del Maule,Cauquenes,Pitra,0,0
Región del Maule,Cauquenes,Polizón,0,0
Región del Maule,Cauquenes,Queñoa,0,0
Región del Maule,Cauquenes,Queñoa de Altura,0,0
Región del Maule,Cauquenes,Queule,0,0
Región del Maule,Cauquenes,Quillay,2,4959.549996930155
Región del Maule,Cauquenes,Radal,0,0
Región del Maule,Cauquenes,Rarán,0,0
Región del Maule,Cauquenes,Raulí,1,18.750939034464
Región del Maule,Cauquenes,Roble,28,1407.304531848123
Región del Maule,Cauquenes,Roble Blanco,0,0
Región del Maule,Cauquenes,Ruil,0,0
Región del Maule,Cauquenes,Sándalo,0,0
Región del Maule,Cauquenes,Sauce Amargo,0,0
Región del Maule,Cauquenes,Sauco,0,0
Región del Maule,Cauquenes,Tamarugo,0,0
Región del Maule,Cauquenes,Tara,0,0
Región del Maule,Cauquenes,Tayu,0,0
Región del Maule,Cauquenes,Tepa,0,0
Región del Maule,Cauquenes,Tiaca,0,0
Región del Maule,Cauquenes,Tineo,0,0
Región del Maule,Cauquenes,Trevo,0,0
Región del Maule,Cauquenes,Ulmo,0,0
Región del Maule,Chanco,Total,65,2084.386731496154
Región del Maule,Chanco,Sin clasificar,1,5
Región del Maule,Chanco,Alerce,0,0
Región del Maule,Chanco,Algarrobo,0,0
Región del Maule,Chanco,Algarrobo del Norte,0,0
Región del Maule,Chanco,Araucaria,0,0
Región del Maule,Chanco,Arrayán,4,10.83060037
Región del Maule,Chanco,Avellanillo,0,0
Región del Maule,Chanco,Avellano,0,0
Región del Maule,Chanco,Belloto del Norte,0,0
Región del Maule,Chanco,Belloto del Sur,0,0
Región del Maule,Chanco,Boldo,20,132.135
Región del Maule,Chanco,Canelo,0,0
Región del Maule,Chanco,Carbonillo o Carbón,0,0
Región del Maule,Chanco,Chañar,0,0
Región del Maule,Chanco,Ciprés de La Cordillera,2,0.505
Región del Maule,Chanco,Ciprés de Las Guaitecas,0,0
Región del Maule,Chanco,Coigüe,0,0
Región del Maule,Chanco,Coigüe de Chiloé,0,0
Región del Maule,Chanco,Coigüe de Magallanes,0,0
Región del Maule,Chanco,Culén,1,20
Región del Maule,Chanco,Espino,0,0
Región del Maule,Chanco,Fuinque,0,0
Región del Maule,Chanco,Huala,0,0
Región del Maule,Chanco,Hualo,1,1
Región del Maule,Chanco,Huayún,0,0
Región del Maule,Chanco,Huella,0,0
Región del Maule,Chanco,Huingán,0,0
Región del Maule,Chanco,Laurel,0,0
Región del Maule,Chanco,Lenga,0,0
Región del Maule,Chanco,Leña Dura,0,0
Región del Maule,Chanco,Lingue,0,0
Región del Maule,Chanco,Lingue del Norte,0,0
Región del Maule,Chanco,Litre,2,8.7700729928
Región del Maule,Chanco,Lleuque,0,0
Región del Maule,Chanco,Luma,1,3
Región del Maule,Chanco,Luma de Más Afuera,0,0
Región del Maule,Chanco,Maitén,1,1
Región del Maule,Chanco,Mañío de Hojas Cortas,0,0
Región del Maule,Chanco,Mañío de Hojas Largas,0,0
Región del Maule,Chanco,Mañío de Hojas Punzantes,0,0
Región del Maule,Chanco,Mardoño,1,7.5
Región del Maule,Chanco,Melí,0,0
Región del Maule,Chanco,Molle,0,0
Región del Maule,Chanco,Naranjillo,0,0
Región del Maule,Chanco,Notro,0,0
Región del Maule,Chanco,Ñirre,0,0
Región del Maule,Chanco,Olivillo,0,0
Región del Maule,Chanco,Palma Chilena,0,0
Región del Maule,Chanco,Patagua,0,0
Región del Maule,Chanco,Pelu,0,0
Región del Maule,Chanco,Peumo,5,7.75
Región del Maule,Chanco,Picha-Picha,0,0
Región del Maule,Chanco,Pimiento,0,0
Región del Maule,Chanco,Pitra,0,0
Región del Maule,Chanco,Polizón,0,0
Región del Maule,Chanco,Queñoa,0,0
Región del Maule,Chanco,Queñoa de Altura,0,0
Región del Maule,Chanco,Queule,0,0
Región del Maule,Chanco,Quillay,2,1084.240000411271
Región del Maule,Chanco,Radal,0,0
Región del Maule,Chanco,Rarán,0,0
Región del Maule,Chanco,Raulí,0,0
Región del Maule,Chanco,Roble,26,682.656057722083
Región del Maule,Chanco,Roble Blanco,0,0
Región del Maule,Chanco,Ruil,1,120
Región del Maule,Chanco,Sándalo,0,0
Región del Maule,Chanco,Sauce Amargo,0,0
Región del Maule,Chanco,Sauco,0,0
Región del Maule,Chanco,Tamarugo,0,0
Región del Maule,Chanco,Tara,0,0
Región del Maule,Chanco,Tayu,0,0
Región del Maule,Chanco,Tepa,0,0
Región del Maule,Chanco,Tiaca,0,0
Región del Maule,Chanco,Tineo,0,0
Región del Maule,Chanco,Trevo,0,0
Región del Maule,Chanco,Ulmo,0,0
Región del Maule,Pelluhue,Total,48,2421.47422123431
Región del Maule,Pelluhue,Sin clasificar,2,2.5
Región del Maule,Pelluhue,Alerce,0,0
Región del Maule,Pelluhue,Algarrobo,0,0
Región del Maule,Pelluhue,Algarrobo del Norte,0,0
Región del Maule,Pelluhue,Araucaria,0,0
Región del Maule,Pelluhue,Arrayán,6,21.051290664
Región del Maule,Pelluhue,Avellanillo,0,0
Región del Maule,Pelluhue,Avellano,1,1
Región del Maule,Pelluhue,Belloto del Norte,0,0
Región del Maule,Pelluhue,Belloto del Sur,0,0
Región del Maule,Pelluhue,Boldo,3,3.05
Región del Maule,Pelluhue,Canelo,0,0
Región del Maule,Pelluhue,Carbonillo o Carbón,0,0
Región del Maule,Pelluhue,Chañar,0,0
Región del Maule,Pelluhue,Ciprés de La Cordillera,0,0
Región del Maule,Pelluhue,Ciprés de Las Guaitecas,0,0
Región del Maule,Pelluhue,Coigüe,0,0
Región del Maule,Pelluhue,Coigüe de Chiloé,0,0
Región del Maule,Pelluhue,Coigüe de Magallanes,0,0
Región del Maule,Pelluhue,Culén,0,0
Región del Maule,Pelluhue,Espino,0,0
Región del Maule,Pelluhue,Fuinque,0,0
Región del Maule,Pelluhue,Huala,0,0
Región del Maule,Pelluhue,Hualo,7,13.05
Región del Maule,Pelluhue,Huayún,0,0
Región del Maule,Pelluhue,Huella,0,0
Región del Maule,Pelluhue,Huingán,0,0
Región del Maule,Pelluhue,Laurel,0,0
Región del Maule,Pelluhue,Lenga,0,0
Región del Maule,Pelluhue,Leña Dura,0,0
Región del Maule,Pelluhue,Lingue,0,0
Región del Maule,Pelluhue,Lingue del Norte,0,0
Región del Maule,Pelluhue,Litre,1,0.7299270072
Región del Maule,Pelluhue,Lleuque,0,0
Región del Maule,Pelluhue,Luma,0,0
Región del Maule,Pelluhue,Luma de Más Afuera,0,0
Región del Maule,Pelluhue,Maitén,0,0
Región del Maule,Pelluhue,Mañío de Hojas Cortas,0,0
Región del Maule,Pelluhue,Mañío de Hojas Largas,0,0
Región del Maule,Pelluhue,Mañío de Hojas Punzantes,0,0
Región del Maule,Pelluhue,Mardoño,0,0
Región del Maule,Pelluhue,Melí,0,0
Región del Maule,Pelluhue,Molle,0,0
Región del Maule,Pelluhue,Naranjillo,0,0
Región del Maule,Pelluhue,Notro,0,0
Región del Maule,Pelluhue,Ñirre,0,0
Región del Maule,Pelluhue,Olivillo,0,0
Región del Maule,Pelluhue,Palma Chilena,0,0
Región del Maule,Pelluhue,Patagua,0,0
Región del Maule,Pelluhue,Pelu,0,0
Región del Maule,Pelluhue,Peumo,3,33.7
Región del Maule,Pelluhue,Picha-Picha,0,0
Región del Maule,Pelluhue,Pimiento,0,0
Región del Maule,Pelluhue,Pitra,0,0
Región del Maule,Pelluhue,Polizón,0,0
Región del Maule,Pelluhue,Queñoa,0,0
Región del Maule,Pelluhue,Queñoa de Altura,0,0
Región del Maule,Pelluhue,Queule,1,149
Región del Maule,Pelluhue,Quillay,1,1164.489998433486
Región del Maule,Pelluhue,Radal,0,0
Región del Maule,Pelluhue,Rarán,0,0
Región del Maule,Pelluhue,Raulí,0,0
Región del Maule,Pelluhue,Roble,28,1032.903005129624
Región del Maule,Pelluhue,Roble Blanco,0,0
Región del Maule,Pelluhue,Ruil,0,0
Región del Maule,Pelluhue,Sándalo,0,0
Región del Maule,Pelluhue,Sauce Amargo,0,0
Región del Maule,Pelluhue,Sauco,0,0
Región del Maule,Pelluhue,Tamarugo,0,0
