total_nacional_region____,comuna6_7____,especie____,total__numero_de_upa89__,total__superficie_ha__,total__superficie_ha__en_riego,total__superficie_ha__en_secano,total__superficie_ha__sin_clasificar_10,total__estado_desarrollo_ha__en_formacion_11,total__estado_desarrollo_ha__en_produccion_12,total__estado_desarrollo_ha__sin_clasificar_10
Total Nacional,Total Nacional,Total,45442,374809.0422,359445.618,14667.5472,695.877,74589.9681048376,298570.7340000201,1648.342
Total Nacional,Total Nacional,Sin Clasificar,860,2184.326,601.404,1582.272,0.65,103.7945819656,509.3092840799,1571.222
Total Nacional,Total Nacional,Almendro,587,8906.5878,8888.5378,17.58,0.47,1083.062,7823.5257944664,0
Total Nacional,Total Nacional,Berries,8518,24295.8209,24018.1259,267.805,9.889999999999999,3232.656,21063.1649999983,0
Total Nacional,Total Nacional,Avellano Europeo,705,34816.8789,30889.837,3914.8219,12.22,14492.8970000001,20323.982,0
Total Nacional,Total Nacional,Castaño,808,1880.4374,906.6894,973.748,0,538.336,1342.101375,0
Total Nacional,Total Nacional,Cerezo,4666,60671.89049999999,60190.1775,442.465,39.248,23327.5812070726,37344.3090000026,0
Total Nacional,Total Nacional,Chirimoyo,55,274.0819,274.0619,0.02,0,10.637,263.445,0
Total Nacional,Total Nacional,Ciruelo Europeo,1325,14315.947,14184.862,130.385,0.7,1263.684,13052.263084018,0
Total Nacional,Total Nacional,Ciruelo Japonés,251,3465.2168,3451.7218,8.795,4.7,400.755,3064.462,0
Total Nacional,Total Nacional,Clementina,118,2849.855,2849.815,0.04,0,689.62,2160.235,0
Total Nacional,Total Nacional,Damasco,450,539.4424,534.8744,4.568000000000001,0,40.535,498.90745,0
Total Nacional,Total Nacional,Duraznero (Consumo Fresco),1538,3017.7283,2933.2453,79.583,4.9,303.282,2714.4462911878,0
Total Nacional,Total Nacional,Duraznero (Tipo Conservero),742,4546.7608,4522.6778,6.223,17.86,214.228,4332.532875,0
Total Nacional,Total Nacional,Granado,91,266.159,265.849,0.31,0,0.492,265.667,0
Total Nacional,Total Nacional,Higuera,184,108.815,103.75,5.065,0,10.686,98.129,0
Total Nacional,Total Nacional,Kiwi,346,5972.9251,5948.7851,0.05,24.09,220.938,5751.9869999988,0
Total Nacional,Total Nacional,Lima (o Limón Sutil),98,90.2979,90.2469,0.021,0.03,28.362,61.936,0
Total Nacional,Total Nacional,Limón de Pica,131,47.799,44.68,3.119,0,2.995,44.804,0
Total Nacional,Total Nacional,Limonero,1900,9422.2659,9405.8509,14.415,2,1993.089,7429.177,0
Total Nacional,Total Nacional,Mandarina,335,7691.174900000001,7690.9489,0.225,0.001,2176.812,5514.363,0
Total Nacional,Total Nacional,Mango,230,117.828,114.157,3.671,0,19.786,98.042,0
Total Nacional,Total Nacional,Manzana,6554,29259.4333,26592.0293,2443.754,223.65,2269.911,26989.5222097704,0
Total Nacional,Total Nacional,Membrillo,626,426.8318,364.1738,62.658,0,20.897,405.935,0
Total Nacional,Total Nacional,"Moras, Murta y Zarzaparrila",1468,1209.5529,1197.3499,12.203,0,108.262,1101.291,0
Total Nacional,Total Nacional,Naranjo,962,6063.3235,6047.8845,15.299,0.14,898.172,5165.1517087478,0
Total Nacional,Total Nacional,Nectarino,394,5058.3261,4997.4562,22.5299,38.34,1017.65,4040.676395253,0
Total Nacional,Total Nacional,Nogal,3005,42749.3071,42426.0421,195.165,128.1,6350.5348612539,36398.7721530809,0
Total Nacional,Total Nacional,Olivo,1301,19416.5579,18816.7529,536.425,63.38,493.584,18922.974,0
