total_nacional_region,comuna_6_7,tipo_de_cultivo,especie,numero_de_upa_8910,superficie_total_cultivo_ha,riego__superficie_ha,secano_superficie_ha,sin_clasificar_11_superficie_ha
Región del Maule,Romeral,Leguminosas y Tubérculos,Papa,6,2.698,2.698,0,0
Región del Maule,Romeral,Leguminosas y Tubérculos,Papa Nativa,0,0,0,0,0
Región del Maule,Romeral,Leguminosas y Tubérculos,Topinambur,0,0,0,0,0
Región del Maule,Romeral,Leguminosas y Tubérculos,Otras Raíces y Tubérculos,0,0,0,0,0
Región del Maule,Romeral,Vides para vinificación y uvas pisqueras,Total,13,411.713613800806,411.713613800806,0,0
Región del Maule,Romeral,Vides para vinificación y uvas pisqueras,Sin Clasificar,0,0,0,0,0
Región del Maule,Romeral,Vides para vinificación y uvas pisqueras,Tintas,12,146.005402219588,146.005402219588,0,0
Región del Maule,Romeral,Vides para vinificación y uvas pisqueras,Blancas,8,265.708211581218,265.708211581218,0,0
Región del Maule,Romeral,Vides para vinificación y uvas pisqueras,Pisqueras,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Total,65,401.45448472935,372.05448472935,29.4,0
Región del Maule,Sagrada Familia,Cereales,Sin Clasificar,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Amaranto,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Arroz,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Avena (Grano Seco),10,31.50371549895,26.10371549895,5.4,0
Región del Maule,Sagrada Familia,Cereales,Cebada Cervecera,3,12,12,0,0
Región del Maule,Sagrada Familia,Cereales,Centeno,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Chía,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Maíz,49,325.3507692304,322.3507692304,3,0
Región del Maule,Sagrada Familia,Cereales,Mijo,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Quinoa,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Sorgo,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Trigo Blanco,3,15.6,11.6,4,0
Región del Maule,Sagrada Familia,Cereales,Trigo Candeal,2,17,0,17,0
Región del Maule,Sagrada Familia,Cereales,Triticale,0,0,0,0,0
Región del Maule,Sagrada Familia,Cereales,Otros Cereales,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Total,37,485.122914771767,187.2945859874,297.828328784367,0
Región del Maule,Sagrada Familia,Forrajeras,Sin Clasificar,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Alfalfa,13,131.45,131.45,0,0
Región del Maule,Sagrada Familia,Forrajeras,Arveja Forrajera,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Arvejilla,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Avena (Forrajera) Sola,13,100.21,29.2,71.01,0
Región del Maule,Sagrada Familia,Forrajeras,Avena Asociada,3,194.818328784367,0,194.818328784367,0
Región del Maule,Sagrada Familia,Forrajeras,Ballica Anual,3,10.1,0.1,10,0
Región del Maule,Sagrada Familia,Forrajeras,Ballica Bianual,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Ballica Perenne o Persistente,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Betarraga Forrajera,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Cebada Forrajera (incluye silo),3,43.5,21.5,22,0
Región del Maule,Sagrada Familia,Forrajeras,Centeno Forrajero,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Col,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Falaris,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Festuca,0,0,0,0,0
Región del Maule,Sagrada Familia,Forrajeras,Haba Forrajera,0,0,0,0,0
