total_nacional_region__,comuna_56__,total_superficie_ha__riego_ha,total_superficie_ha__secano_ha,total_superficie_ha__sin_clasificar_ha,cereales__riego_ha,cereales__secano_ha,cereales__sin_clasificar_ha,leguminosas_y_tuberculos__riego_ha,leguminosas_y_tuberculos__secano_ha,leguminosas_y_tuberculos__sin_clasificar_ha,cultivos_industriales__riego_ha,cultivos_industriales__secano_ha,cultivos_industriales__sin_clasificar_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__riego_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__secano_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__sin_clasificar_ha,frutales__riego_ha,frutales__secano_ha,frutales__sin_clasificar_ha,vides_para_vinificacion_y_uvas_pisqueras__riego_ha,vides_para_vinificacion_y_uvas_pisqueras__secano_ha,vides_para_vinificacion_y_uvas_pisqueras__sin_clasificar_ha,flores_de_corte__riego_ha,flores_de_corte__secano_ha,flores_de_corte__sin_clasificar_ha,semilleros__riego_ha,semilleros__secano_ha,semilleros__sin_clasificar_ha,viveros_y_cesped_alfombra__riego_ha,viveros_y_cesped_alfombra__secano_ha,viveros_y_cesped_alfombra__sin_clasificar_ha,forrajeras__riego_ha,forrajeras__secano_ha,forrajeras__sin_clasificar_ha,praderas_mejoradas__riego_ha,praderas_mejoradas__secano_ha,praderas_mejoradas__sin_clasificar_ha
Total Nacional,Total Nacional,900395.8460001138,929756.3237000064,9957.267999999898,151362.1380000446,278050.944000022,2360.611,29248.0500000014,20321.1030000173,535.619,19542.4189999978,32429.6820000026,1026.52,60829.2989,2890.2158,371.0927,359445.618,14667.5472,695.877,89885.72,10719.0570000001,206.681,910.605,37.1568,7.9141,17758.5987,1318.2119,183.0932,3188.6024,103.815,5.089,86034.4160000095,124270.2160000325,3412.168,82190.3800000606,444948.3749999319,1152.6029999999
Región de Arica y Parinacota,Total Región,6451.709,13.76,2.14,48.25,0,0,39.254,0.01,0,2,0,0,2882.636,5.3,0.64,560.497,4.7,0,2.5,0,0,6.297,0,0,36.51,0,0,6.28,0,0,914.615,3.75,1.5,1952.87,0,0
Región de Arica y Parinacota,Arica,3564.264,10,0.2,39,0,0,1.1,0,0,2,0,0,2782.589,5.3,0.2,511.87,4.7,0,0,0,0,5.04,0,0,33.01,0,0,6.28,0,0,183.375,0,0,0,0,0
Región de Arica y Parinacota,Camarones,583.6610000000001,0,0,5.25,0,0,8.5,0,0,0,0,0,42.574,0,0,43.337,0,0,2.5,0,0,0,0,0,3.5,0,0,0,0,0,478,0,0,0,0,0
Región de Arica y Parinacota,Putre,2303.284,3.76,1.94,4,0,0,29.654,0.01,0,0,0,0,57.473,0,0.44,5.29,0,0,0,0,0,1.257,0,0,0,0,0,0,0,0,252.74,3.75,1.5,1952.87,0,0
Región de Arica y Parinacota,General Lagos,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
Región de Tarapacá,Total Región,1513.0156,303.596,0.9818,46.676,282.3,0,24.0965,8.75,0.01,0.027,0,0,938.3546,2.092,0.0678,266.372,10.454,0.199,4.345,0,0,2.6435,0,0,0.321,0,0,1.056,0,0,229.124,0,0.7050000000000001,0,0,0
Región de Tarapacá,Iquique/Alto Hospicio,31.6976,0.035,0,0,0,0,0,0,0,0,0,0,19.0716,0.035,0,12.475,0,0,0.018,0,0,0,0,0,0,0,0,0.013,0,0,0.12,0,0,0,0,0
Región de Tarapacá,Pozo Almonte,420.2848,0.025,0.03,5.023,0,0,0.3275,0,0,0.027,0,0,311.8423,0.025,0,9.84,0,0.03,3.827,0,0,2.028,0,0,0,0,0,0.04,0,0,87.33,0,0,0,0,0
Región de Tarapacá,Camiña,163.242,0,0.01,5.41,0,0,0.14,0,0.01,0,0,0,142.728,0,0,0.04,0,0,0,0,0,0,0,0,0.3,0,0,0.02,0,0,14.604,0,0,0,0,0
Región de Tarapacá,Colchane,82.21300000000001,285.052,0,25.01,276.3,0,22.608,6.75,0,0,0,0,24.82,2.002,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,0,0,0,0
Región de Tarapacá,Huara,599.5302,2,0.7728,10.823,0,0,1.021,2,0,0,0,0,430.5697,0,0.0678,40.402,0,0,0.5,0,0,0.6095,0,0,0.021,0,0,0,0,0,115.584,0,0.7050000000000001,0,0,0
Región de Tarapacá,Pica,216.048,16.484,0.169,0.41,6,0,0,0,0,0,0,0,9.323,0.03,0,203.49,10.454,0.169,0,0,0,0.006,0,0,0,0,0,0.983,0,0,1.836,0,0,0,0,0
Región de Antofagasta,Total Región,983.892,69.186,32.277,24.007,2.25,0.443,13.247,6.5,0.6859999999999999,0.003,0,0,247.659,20.419,0.048,94.203,1.34,0,4.855,0,0,1.44,0,0,0.05200000000000001,0,0,4.306,0,0,593.259,38.677,31.1,0.861,0,0
Región de Antofagasta,Antofagasta,13.972,10.005,0.348,0,0,0,0,0,0.3,0,0,0,3.144,10.005,0.048,5.224,0,0,0,0,0,0.05,0,0,0.05200000000000001,0,0,2.502,0,0,3,0,0,0,0,0
Región de Antofagasta,Taltal,24.978,1.08,0,0,0,0,0,0,0,0,0,0,0.146,0.24,0,24.82,0.84,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0
Región de Antofagasta,San Pedro de Atacama,561.93,18.581,27.78,4.675,0,0.02,9.346,5,0.08,0,0,0,92.111,7.731,0,58.808,0.5,0,4.855,0,0,0.37,0,0,0,0,0,1.05,0,0,389.854,5.35,27.68,0.861,0,0
Región de Antofagasta,Calama/Ollagüe,381.63,39.46,4.149,19.332,2.25,0.423,3.841,1.5,0.306,0.003,0,0,151.608,2.383,0,5.221,0,0,0,0,0,1.02,0,0,0,0,0,0.7,0,0,199.905,33.327,3.42,0,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,0.35,0.06000000000000001,0,0,0,0,0.06,0,0,0,0,0,0.15,0.06000000000000001,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
Región de Antofagasta,Tocopilla/María Elena,1.032,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0,0,0.5,0,0,0,0,0
Región de Atacama,Total Región,11155.3549,36.836,1.219,164.33,1.7,0,107.12,0.1,0,21.6,0,0,721.2259,0.4300000000000001,0.459,8096.145,29.606,0.45,480.68,0,0,5.672,0,0,3,0,0,11.245,0,0,1482.197,5,0.31,62.14,0,0
Región de Atacama,Tierra Amarilla,4595.88,14.15,0,0,0,0,0,0,0,0,0,0,30.155,0.4,0,4474.86,13.75,0,16.8,0,0,0.013,0,0,0,0,0,0.032,0,0,74.02,0,0,0,0,0
Región de Atacama,Copiapó/Caldera,1727.9349,1.83,0.75,14.45,0,0,6,0,0,2.6,0,0,256.9809,0.03,0,1146.996,1.8,0.45,148.5,0,0,1.753,0,0,0,0,0,4.171,0,0,94.384,0,0.3,52.1,0,0
Región de Atacama,Chañaral/Diego de Almagro,3.87,0,0.01,0,0,0,0,0,0,0,0,0,0.32,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0.01,2.03,0,0
Región de Atacama,Vallenar,2216.3422,3,0,111.61,0,0,89.54,0,0,15,0,0,311.717,0,0,689.3922,3,0,137,0,0,3.3,0,0,0,0,0,4.062,0,0,854.721,0,0,0,0,0
Región de Atacama,Alto Del Carmen,1252.564,7.156000000000001,0,29.07,1.5,0,6.49,0.1,0,0,0,0,43.975,0,0,898.6370000000001,0.556,0,177.63,0,0,0.5,0,0,0,0,0,0.1,0,0,88.152,5,0,8.01,0,0
Región de Atacama,Freirina,576.2819999999999,10.5,0,7,0,0,0,0,0,0,0,0,47.56,0,0,180.57,10.5,0,0,0,0,0.002,0,0,3,0,0,2.2,0,0,335.95,0,0,0,0,0
Región de Atacama,Huasco,782.4818,0.2,0.459,2.2,0.2,0,5.09,0,0,4,0,0,30.518,0,0.459,705.6798,0,0,0.75,0,0,0.104,0,0,0,0,0,0.68,0,0,33.46,0,0,0,0,0
Región de Coquimbo,Total Región,44821.67170000001,1421.597,148.9906,191.593,201.315,5.5,1425.167,26.035,0.057,4.68,1.75,0,7734.7281,13.609,6.34,26064.5018,134.408,119.96,6905.748,17.95,4.6,55.4438,0,0.0036,78.114,0,0,70.067,0.3,0,2153.934,485.13,11.53,137.695,541.1,1
Región de Coquimbo,La Serena,3332.713223513,40.35,3.81,1,0,0,699.717923513,19,0,0,0,0,1579.7974,7,2.3,770.0635,13.1,0,44,0,0,10.3804,0,0,0,0,0,16.799,0,0,189.705,1.25,1.51,21.25,0,0
Región de Coquimbo,Coquimbo,6633.007076487,372.21,0.4,18.849,2.75,0,490.832076487,0,0,2.18,0,0,4095.9226,0.31,0.4,1924.8454,4.350000000000001,0,0,0,0,12.39,0,0,4,0,0,11.018,0.3,0,70.61,12.5,0,2.36,352,0
Región de Coquimbo,Andacollo,80.99,4.4,1,0.12,0,0,0,0,0,0.5,0,0,3.96,0,0,61.79,0.3,0,0,0,0,0.3,0,0,0,0,0,0.02,0,0,2.85,4.1,0,11.45,0,1
Región de Coquimbo,La Higuera,212.1973,0,0,0,0,0,17.15,0,0,0,0,0,4.6441,0,0,129.1232,0,0,49,0,0,0.23,0,0,0,0,0,10.1,0,0,1.95,0,0,0,0,0
Región de Coquimbo,Paiguano,1195.5381,1.2,0,0.5,0,0,0.03,0,0,0,0,0,1.2011,0,0,827.2090000000001,0,0,335.428,0.2,0,0,0,0,0,0,0,0.01,0,0,31.16,0,0,0,1,0
Región de Coquimbo,Vicuña,3609.657,13.25,0.3,0,0,0,26.15,0,0,0,0,0,37.161,0,0.3,2727.241,0,0,741.375,6.75,0,0.33,0,0,0,0,0,0.3,0,0,77.1,2.5,0,0,4,0
Región de Coquimbo,Illapel,1687.0767,91.91,56.67,8.3,0.75,0,12.445,0.65,0,0,0,0,79.5869,0.2,0.49,1370.3228,53.51,56.18,104.227,0,0,0.017,0,0,0,0,0,14.915,0,0,72.538,24.8,0,24.725,12,0
Región de Coquimbo,Canela,952.23,291.379,5.857,50.314,83.665,5.5,62.578,1.125,0.057,0,0,0,131.097,3.264,0,271.545,9.785,0.3,2.01,0,0,0.79,0,0,1.2,0,0,0,0,0,427.541,175.04,0,5.155,18.5,0
Región de Coquimbo,Los Vilos,371.156,179.848,0.9,0.8,1.25,0,4.83,0.5599999999999999,0,0,0,0,23.621,0,0,316.95,14.608,0,0,0,0,0.1,0,0,1.2,0,0,8.275,0,0,15.38,63.43,0.9,0,100,0
Región de Coquimbo,Salamanca,2733.912100000001,18.692,4.3,10.28,0,0,10.591,0,0,0,0,0,64.4821,1.325,0,1359.9,6.867,0,1052.124,8.5,0,0.434,0,0,0,0,0,1.03,0,0,195.116,2,4.3,39.955,0,0
Región de Coquimbo,Ovalle,14505.46,72.94,66.38,91.314,3,0,69.367,1.1,0,0,0,0,1571.32,0,2.5,9226.305,9.040000000000001,63.38,2889.75,0,0,27.79,0,0,71.714,0,0,5.8,0,0,552.1,59.8,0.5,0,0,0
Región de Coquimbo,Combarbalá,660.7973,238.708,1.1736,6.636,95.15,0,2.226,0,0,0,0,0,30.6119,0,0.1,551.919,11.748,0,5.7,0,0,2.1314,0,0.0036,0,0,0,0.8,0,0,59.073,123.31,1.07,1.7,8.5,0
Región de Coquimbo,Monte Patria,5690.500000000002,5.21,4.15,1.55,0,0,3.95,0,0,0,0,0,61.1,1.51,0.25,5174.154000000001,2.45,0,327.495,0.5,0.9,0.006,0,0,0,0,0,1,0,0,90.145,0.75,3,31.1,0,0
Región de Coquimbo,Punitaqui,2426.3499,79.4,0.25,0.5,14.75,0,8.9,3.6,0,2,1.75,0,41.9,0,0,1090.2199,6.75,0,1186.4,2,0,0.48,0,0,0,0,0,0,0,0,95.95,5.45,0.25,0,45.1,0
Región de Coquimbo,Río Hurtado,730.087,12.1,3.8,1.43,0,0,16.4,0,0,0,0,0,8.323,0,0,262.914,1.9,0.1,168.239,0,3.7,0.065,0,0,0,0,0,0,0,0,272.716,10.2,0,0,0,0
Región de Valparaíso,Total Región,63232.7688,7787.7803,212.9357,1129.38,1701.636,12.4,551.314,44.04,4.71,42.6,65,2.2,3571.6981,42.4343,20.9877,44732.9076,581.83,49.111,7717.65,172.61,9.64,418.4781,0.18,4.363,143.939,0,1,328.989,3.9,1,4284.283,2814.55,101.554,311.53,2361.6,5.970000000000001
Región de Valparaíso,Casablanca,6027.0549,1272.84,10.24,119.2,267.19,0,39.701,16.5,0,0,0,0,90.207,1.15,10,627.6449,0.4,0,4320.33,0,0.24,1.131,0,0,6,0,0,1.06,0,0,753.781,982.6,0,68,5,0
Región de Valparaíso,Juan Fernández,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
Región de Valparaíso,Puchuncaví,204.5027,165.5613,0,1.35,12.001,0,10.4,0,0,0,0,0,67.0517,3.0003,0,97.526,4,0,4.2,0,0,0,0,0,0,0,0,1.095,0,0,7.88,11.06,0,15,135.5,0
Región de Valparaíso,Quintero,111.719,11.15,60,0,0,0,0.075,0,0,0,0,0,1.025,0.4,0,92.57,0,0,0,0,0,0,0,0,0,0,0,0.099,0,0,17.95,10.25,60,0,0.5,0
Región de Valparaíso,Valparaíso/Viña del Mar/ Concón,89.5924,35,0,1,0,0,1,0,0,0,0,0,11.4,0,0,51.3924,2.5,0,0,0,0,0.7999999999999999,0,0,0,0,0,1,0,0,22.5,32.5,0,0.5,0,0
Región de Valparaíso,Isla de Pascua,4.61,9.677,0,0,0,0,0,0,0,0,0,0,4.11,4.17,0,0,5.507,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Región de Valparaíso,Los Andes,1125.8444,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1100.8444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
