0,1,2,3,4,5,6,7,8,9,10,11
total_nacional_región,tipo_de_gestión,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú,actividad_principal_asociada_(nú
total_nacional_región,tipo_de_gestión,total,cultivos,frutales,propagación_de_plantas,ganadería,actividades_de_apoyo_a_la_agricu,actividad_forestal,agroindustria,actividades_no_silvoagropecuaria,no_sabe._no_responde
total_nacional,total,138628.0,41511.0,21139.0,966.0,49567.0,825.0,7224.0,1122.0,13690.0,2584.0
total_nacional,persona_jurídica,9021.0,1437.0,4297.0,267.0,1673.0,84.0,438.0,209.0,539.0,77.0
total_nacional,persona_natural,129607.0,40074.0,16842.0,699.0,47894.0,741.0,6786.0,913.0,13151.0,2507.0
región_de_arica_y_parinacota,total,1267.0,944.0,116.0,6.0,153.0,2.0,0.0,5.0,31.0,10.0
región_de_arica_y_parinacota,persona_jurídica,51.0,31.0,4.0,2.0,7.0,1.0,0.0,0.0,6.0,0.0
región_de_arica_y_parinacota,persona_natural,1216.0,913.0,112.0,4.0,146.0,1.0,0.0,5.0,25.0,10.0
región_de_tarapacá,total,835.0,516.0,139.0,7.0,63.0,4.0,2.0,3.0,96.0,5.0
región_de_tarapacá,persona_jurídica,28.0,10.0,3.0,1.0,3.0,0.0,2.0,0.0,9.0,0.0
región_de_tarapacá,persona_natural,807.0,506.0,136.0,6.0,60.0,4.0,0.0,3.0,87.0,5.0
región_de_antofagasta,total,722.0,445.0,130.0,8.0,52.0,1.0,1.0,7.0,54.0,24.0
región_de_antofagasta,persona_jurídica,22.0,7.0,1.0,2.0,5.0,0.0,0.0,2.0,4.0,1.0
región_de_antofagasta,persona_natural,700.0,438.0,129.0,6.0,47.0,1.0,1.0,5.0,50.0,23.0
región_de_atacama,total,1352.0,274.0,740.0,13.0,186.0,1.0,1.0,31.0,89.0,17.0
región_de_atacama,persona_jurídica,116.0,18.0,72.0,4.0,3.0,0.0,0.0,4.0,13.0,2.0
región_de_atacama,persona_natural,1236.0,256.0,668.0,9.0,183.0,1.0,1.0,27.0,76.0,15.0
región_de_coquimbo,total,6929.0,1189.0,2493.0,39.0,2273.0,43.0,9.0,57.0,743.0,83.0
región_de_coquimbo,persona_jurídica,591.0,51.0,371.0,16.0,31.0,20.0,2.0,8.0,89.0,3.0
región_de_coquimbo,persona_natural,6338.0,1138.0,2122.0,23.0,2242.0,23.0,7.0,49.0,654.0,80.0
región_de_valparaíso,total,5484.0,1867.0,2247.0,193.0,664.0,26.0,71.0,61.0,293.0,62.0
región_de_valparaíso,persona_jurídica,1087.0,180.0,640.0,59.0,85.0,8.0,28.0,31.0,47.0,9.0
región_de_valparaíso,persona_natural,4397.0,1687.0,1607.0,134.0,579.0,18.0,43.0,30.0,246.0,53.0
región_metropolitana_de_santiago,total,5530.0,2299.0,1822.0,202.0,773.0,54.0,11.0,48.0,265.0,56.0
región_metropolitana_de_santiago,persona_jurídica,1281.0,265.0,704.0,72.0,130.0,16.0,2.0,25.0,60.0,7.0
región_metropolitana_de_santiago,persona_natural,4249.0,2034.0,1118.0,130.0,643.0,38.0,9.0,23.0,205.0,49.0
región_del_libertador_general_be,total,9130.0,3604.0,2739.0,93.0,1475.0,66.0,340.0,56.0,662.0,95.0
región_del_libertador_general_be,persona_jurídica,1572.0,211.0,1095.0,20.0,87.0,10.0,39.0,36.0,67.0,7.0
región_del_libertador_general_be,persona_natural,7558.0,3393.0,1644.0,73.0,1388.0,56.0,301.0,20.0,595.0,88.0
región_del_maule,total,17400.0,5572.0,5856.0,152.0,3326.0,118.0,753.0,98.0,1238.0,287.0
