0,1,2,3,4,5,6,7,8,9,10
"","",número_de_personas_productoras_n,número_de_personas_productoras_n,número_de_personas_productoras_n,número_de_personas_productoras_n,número_de_personas_productoras_n,número_de_personas_productoras_n,número_de_personas_productoras_n,número_de_personas_productoras_n,número_de_personas_productoras_n
total_nacional_región,sexo3,total_de_personas_productoras_na,exclusivamente_propietario_(con,exclusivamente_arrendatario_5,exclusivamente_propietario_y_arr,exclusivamente_propietario_y_ade,exclusivamente_arrendatario_y_ad,exclusivamente_otros_tipos_de_te,exclusivamente_no_sabe._no_respo,otros_7
total_nacional,total_región,129607.0,90344.0,8617.0,5223.0,6867.0,872.0,16731.0,124.0,829.0
total_nacional,productores_hombres,88078.0,59042.0,7221.0,4559.0,5039.0,761.0,10648.0,76.0,732.0
total_nacional,productoras_mujeres,40482.0,30537.0,1352.0,647.0,1786.0,109.0,5911.0,44.0,96.0
total_nacional,sin_especificar,1047.0,765.0,44.0,17.0,42.0,2.0,172.0,4.0,1.0
región_de_arica_y_parinacota,total_región,1220.0,495.0,374.0,79.0,18.0,11.0,243.0,0.0,0.0
región_de_arica_y_parinacota,productores_hombres,843.0,320.0,270.0,56.0,11.0,8.0,178.0,0.0,0.0
región_de_arica_y_parinacota,productoras_mujeres,374.0,174.0,104.0,23.0,7.0,3.0,63.0,0.0,0.0
región_de_arica_y_parinacota,sin_especificar,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
región_de_tarapacá,total_región,807.0,394.0,188.0,50.0,43.0,16.0,103.0,0.0,13.0
región_de_tarapacá,productores_hombres,532.0,269.0,120.0,29.0,29.0,14.0,63.0,0.0,8.0
región_de_tarapacá,productoras_mujeres,274.0,125.0,68.0,21.0,14.0,2.0,39.0,0.0,5.0
región_de_tarapacá,sin_especificar,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
región_de_antofagasta,total_región,706.0,316.0,93.0,10.0,98.0,1.0,187.0,0.0,1.0
región_de_antofagasta,productores_hombres,376.0,174.0,60.0,6.0,49.0,1.0,85.0,0.0,1.0
región_de_antofagasta,productoras_mujeres,311.0,128.0,33.0,4.0,48.0,0.0,98.0,0.0,0.0
región_de_antofagasta,sin_especificar,19.0,14.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
región_de_atacama,total_región,1239.0,827.0,99.0,20.0,36.0,6.0,249.0,1.0,1.0
región_de_atacama,productores_hombres,875.0,573.0,82.0,18.0,30.0,5.0,166.0,0.0,1.0
región_de_atacama,productoras_mujeres,360.0,252.0,16.0,2.0,6.0,1.0,82.0,1.0,0.0
región_de_atacama,sin_especificar,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
región_de_coquimbo,total_región,6315.0,3547.0,681.0,83.0,211.0,32.0,1743.0,4.0,14.0
región_de_coquimbo,productores_hombres,4410.0,2486.0,494.0,74.0,169.0,28.0,1144.0,2.0,13.0
región_de_coquimbo,productoras_mujeres,1885.0,1048.0,187.0,9.0,41.0,4.0,593.0,2.0,1.0
región_de_coquimbo,sin_especificar,20.0,13.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
región_de_valparaíso,total_región,4357.0,3157.0,689.0,187.0,53.0,12.0,249.0,1.0,9.0
región_de_valparaíso,productores_hombres,3437.0,2396.0,612.0,170.0,47.0,12.0,190.0,1.0,9.0
región_de_valparaíso,productoras_mujeres,887.0,734.0,75.0,16.0,6.0,0.0,56.0,0.0,0.0
región_de_valparaíso,sin_especificar,33.0,27.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0
región_metropolitana_de_santiago,total_región,4806.0,2953.0,1076.0,304.0,65.0,45.0,344.0,4.0,15.0
región_metropolitana_de_santiago,productores_hombres,3952.0,2270.0,992.0,283.0,57.0,45.0,287.0,4.0,14.0
región_metropolitana_de_santiago,productoras_mujeres,836.0,670.0,80.0,21.0,8.0,0.0,56.0,0.0,1.0
región_metropolitana_de_santiago,sin_especificar,18.0,13.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
región_del_libertador_general_be,total_región,7446.0,4466.0,1419.0,726.0,261.0,115.0,376.0,11.0,72.0
región_del_libertador_general_be,productores_hombres,6058.0,3372.0,1297.0,683.0,219.0,107.0,303.0,7.0,70.0
región_del_libertador_general_be,productoras_mujeres,1353.0,1071.0,116.0,42.0,42.0,8.0,68.0,4.0,2.0
región_del_libertador_general_be,sin_especificar,35.0,23.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0
región_del_maule,total_región,15514.0,11046.0,1524.0,1087.0,482.0,138.0,1100.0,11.0,126.0
región_del_maule,productores_hombres,11491.0,7716.0,1355.0,974.0,383.0,127.0,814.0,8.0,114.0
región_del_maule,productoras_mujeres,3856.0,3210.0,158.0,105.0,94.0,11.0,263.0,3.0,12.0
región_del_maule,sin_especificar,167.0,120.0,11.0,8.0,5.0,0.0,23.0,0.0,0.0
región_de_ñuble,total_región,11470.0,8237.0,585.0,764.0,679.0,104.0,922.0,10.0,169.0
región_de_ñuble,productores_hombres,8303.0,5636.0,508.0,686.0,532.0,98.0,680.0,5.0,158.0
región_de_ñuble,productoras_mujeres,3012.0,2481.0,70.0,77.0,137.0,6.0,225.0,5.0,11.0
región_de_ñuble,sin_especificar,155.0,120.0,7.0,1.0,10.0,0.0,17.0,0.0,0.0
región_del_biobío,total_región,11931.0,9339.0,363.0,280.0,460.0,33.0,1389.0,13.0,54.0
región_del_biobío,productores_hombres,7689.0,5851.0,305.0,242.0,330.0,26.0,881.0,7.0,47.0
región_del_biobío,productoras_mujeres,4116.0,3390.0,56.0,35.0,125.0,7.0,490.0,6.0,7.0
región_del_biobío,sin_especificar,126.0,98.0,2.0,3.0,5.0,0.0,18.0,0.0,0.0
región_de_la_araucanía,total_región,35692.0,22914.0,893.0,918.0,3286.0,300.0,7083.0,33.0,265.0
región_de_la_araucanía,productores_hombres,22836.0,14264.0,660.0,752.0,2370.0,246.0,4301.0,18.0,225.0
región_de_la_araucanía,productoras_mujeres,12573.0,8463.0,223.0,164.0,901.0,52.0,2719.0,12.0,39.0
región_de_la_araucanía,sin_especificar,283.0,187.0,10.0,2.0,15.0,2.0,63.0,3.0,1.0
región_de_los_ríos,total_región,8131.0,6656.0,189.0,249.0,213.0,12.0,782.0,5.0,25.0
región_de_los_ríos,productores_hombres,4793.0,3857.0,125.0,192.0,124.0,5.0,469.0,3.0,18.0
región_de_los_ríos,productoras_mujeres,3286.0,2760.0,63.0,56.0,88.0,7.0,303.0,2.0,7.0
región_de_los_ríos,sin_especificar,52.0,39.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0
región_de_los_lagos,total_región,17671.0,14173.0,311.0,398.0,866.0,32.0,1822.0,23.0,46.0
región_de_los_lagos,productores_hombres,10852.0,8615.0,234.0,336.0,607.0,25.0,983.0,15.0,37.0
región_de_los_lagos,productoras_mujeres,6704.0,5466.0,77.0,62.0,255.0,7.0,821.0,7.0,9.0
región_de_los_lagos,sin_especificar,115.0,92.0,0.0,0.0,4.0,0.0,18.0,1.0,0.0
región_de_aysén_del_general_carl,total_región,1878.0,1480.0,93.0,42.0,95.0,14.0,130.0,8.0,16.0
región_de_aysén_del_general_carl,productores_hombres,1349.0,1030.0,73.0,34.0,81.0,13.0,98.0,6.0,14.0
región_de_aysén_del_general_carl,productoras_mujeres,518.0,439.0,20.0,8.0,14.0,1.0,32.0,2.0,2.0
región_de_aysén_del_general_carl,sin_especificar,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_magallanes_y_de_la_ant,total_región,424.0,344.0,40.0,26.0,1.0,1.0,9.0,0.0,3.0
región_de_magallanes_y_de_la_ant,productores_hombres,282.0,213.0,34.0,24.0,1.0,1.0,6.0,0.0,3.0
región_de_magallanes_y_de_la_ant,productoras_mujeres,137.0,126.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0
región_de_magallanes_y_de_la_an,sin_especificar,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
