0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
total_nacional_región,"sexo_persona_productora_3,4",total_personas_productoras,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa
total_nacional,total_nacional,34441.0,31429.0,549802.8721239377,1466.0,62575.96325,291.0,1139.653,81.0,178.03,92.0,10377.34,828.0,10425.17075,26.0,93.41,228.0,16867.802725
total_nacional,productores_hombres,20800.0,18786.0,351688.7388930009,997.0,52962.134,158.0,816.42,43.0,91.782,56.0,10037.64,589.0,8053.1295,20.0,61.69,151.0,15697.584725
total_nacional,productoras_mujeres,13625.0,12627.0,197956.7732309368,469.0,9613.82925,133.0,323.233,38.0,86.248,36.0,339.7,239.0,2372.04125,6.0,31.72,77.0,1170.218
total_nacional,sin_especificar,16.0,16.0,157.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,887.0,8.0,29.2,852.0,33440.36325,0.0,0.0,21.0,79.465,0.0,0.0,3.0,11.5,0.0,0.0,3.0,26.9
región_de_arica_y_parinacota,productores_hombres,611.0,4.0,20.2,588.0,24458.61,0.0,0.0,14.0,56.77,0.0,0.0,2.0,10.0,0.0,0.0,3.0,26.9
región_de_arica_y_parinacota,productoras_mujeres,276.0,4.0,9.0,264.0,8981.75325,0.0,0.0,7.0,22.695,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_tarapacá,total_región,650.0,5.0,218.77,564.0,28559.88,0.0,0.0,53.0,68.36500000000001,0.0,0.0,9.0,31.112,0.0,0.0,19.0,30.4475
región_de_tarapacá,productores_hombres,423.0,4.0,214.57,376.0,27967.504,0.0,0.0,26.0,33.212,0.0,0.0,8.0,30.941,0.0,0.0,9.0,21.99
región_de_tarapacá,productoras_mujeres,227.0,1.0,4.199999999999999,188.0,592.376,0.0,0.0,27.0,35.153,0.0,0.0,1.0,0.171,0.0,0.0,10.0,8.4575
región_de_tarapacá,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_antofagasta,total_región,309.0,0.0,0.0,13.0,23.16,289.0,1134.853,5.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3
región_de_antofagasta,productores_hombres,168.0,0.0,0.0,9.0,19.8,156.0,811.62,2.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3
región_de_antofagasta,productoras_mujeres,141.0,0.0,0.0,4.0,3.36,133.0,323.233,3.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
región_de_antofagasta,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_atacama,total_región,434.0,12.0,254.59,3.0,5.5,0.0,0.0,0.0,0.0,85.0,10356.89,311.0,6636.384,15.0,49.01,8.0,278.155
región_de_atacama,productores_hombres,293.0,8.0,239.2,2.0,4.5,0.0,0.0,0.0,0.0,53.0,10033.64,215.0,4807.854,10.0,18.29,5.0,273.58
región_de_atacama,productoras_mujeres,141.0,4.0,15.39,1.0,1.0,0.0,0.0,0.0,0.0,32.0,323.25,96.0,1828.53,5.0,30.72,3.0,4.575
región_de_atacama,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_coquimbo,total_región,658.0,127.0,44043.868,23.0,470.53,0.0,0.0,0.0,0.0,7.0,20.45,469.0,3651.29275,11.0,44.4,21.0,156.853
región_de_coquimbo,productores_hombres,470.0,89.0,5664.068000000001,16.0,440.88,0.0,0.0,0.0,0.0,3.0,4.0,337.0,3129.2425,10.0,43.4,15.0,138.46
región_de_coquimbo,productoras_mujeres,188.0,38.0,38379.8,7.0,29.65,0.0,0.0,0.0,0.0,4.0,16.45,132.0,522.05025,1.0,1.0,6.0,18.393
región_de_coquimbo,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_valparaíso,total_región,193.0,132.0,1875.278,5.0,36.86,2.0,4.8,0.0,0.0,0.0,0.0,34.0,83.582,0.0,0.0,20.0,61.165
región_de_valparaíso,productores_hombres,142.0,97.0,1802.74,3.0,36.31,2.0,4.8,0.0,0.0,0.0,0.0,26.0,73.092,0.0,0.0,14.0,45.28
región_de_valparaíso,productoras_mujeres,51.0,35.0,72.538,2.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.49,0.0,0.0,6.0,15.885
región_de_valparaíso,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_metropolitana_de_santiago,total_región,186.0,168.0,29579.11375,2.0,14.5,0.0,0.0,2.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,244.372225
región_metropolitana_de_santiago,productores_hombres,145.0,130.0,14305.834,1.0,14.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,230.754725
región_metropolitana_de_santiago,productoras_mujeres,41.0,38.0,15273.27975,1.0,0.3,0.0,0.0,1.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.6175
región_metropolitana_de_santiago,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_del_libertador_general_be,total_región,188.0,173.0,3935.342875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.3,0.0,0.0,13.0,69.14
región_del_libertador_general_be,productores_hombres,151.0,141.0,1093.203375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,9.0,37.59
región_del_libertador_general_be,productoras_mujeres,37.0,32.0,2842.1395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,0.0,0.0,4.0,31.55
región_del_libertador_general_be,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_del_maule,total_región,358.0,341.0,5200.557400000001,2.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,162.78
región_del_maule,productores_hombres,277.0,263.0,4425.5469,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,161.48
región_del_maule,productoras_mujeres,81.0,78.0,775.0105,1.0,0.5900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3
región_del_maule,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_ñuble,total_región,268.0,258.0,5359.519399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,333.86
región_de_ñuble,productores_hombres,182.0,175.0,4162.1851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,102.6
región_de_ñuble,productoras_mujeres,86.0,83.0,1197.3343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,231.26
región_de_ñuble,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_del_biobío,total_región,1559.0,1550.0,20083.42196564328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,86.28
región_del_biobío,productores_hombres,998.0,996.0,14832.46595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.38
región_del_biobío,productoras_mujeres,559.0,552.0,5245.956015643275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,37.9
región_del_biobío,sin_especificar,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
