0,1,2,3,4,5,6,7,8
total_nacional_región,"comuna_6,7",tipo_de_cultivo,especie,"número_total_de_upa8,9,10",superficie_total_de_cultivo_(ha),"aire_libre
superficie_(ha)","bajo_cubierta
superficie_(ha)","sin_clasificar
superficie_(ha)_1"
total_nacional,total_nacional,flores_de_corte,total,1595.0,955.6760300000001,634.7713,313.82323,7.0815
total_nacional,total_nacional,flores_de_corte,sin_clasificar,23.0,7.0815,0.0,0.0,7.0815
total_nacional,total_nacional,flores_de_corte,agapanto_(agapanthus_spp.),9.0,3.017,2.6,0.417,0.0
total_nacional,total_nacional,flores_de_corte,alelí_(matthiola_incana),13.0,3.563,3.516,0.047,0.0
total_nacional,total_nacional,flores_de_corte,anémona_(anemone_spp.),6.0,2.82333,0.5,2.32333,0.0
total_nacional,total_nacional,flores_de_corte,astilbe_(astilbe_spp.),1.0,0.75,0.0,0.75,0.0
total_nacional,total_nacional,flores_de_corte,astromelia_(alstroemeria_spp.),281.0,41.91843,5.1519,36.76653,0.0
total_nacional,total_nacional,flores_de_corte,ave_del_paraíso_(strelitzia_regi,4.0,0.527,0.512,0.015,0.0
total_nacional,total_nacional,flores_de_corte,azucena_(nerine_spp.),10.0,0.641,0.406,0.235,0.0
total_nacional,total_nacional,flores_de_corte,cala_(zantedeschia_spp.),45.0,3.739,1.1685,2.5705,0.0
total_nacional,total_nacional,flores_de_corte,cebolla_ornamental_(allium_spp.),1.0,0.1,0.0,0.1,0.0
total_nacional,total_nacional,flores_de_corte,celosía_(celosia_argentea),2.0,0.0804,0.0804,0.0,0.0
total_nacional,total_nacional,flores_de_corte,chinas_(tagetes_erecta),4.0,0.83,0.83,0.0,0.0
total_nacional,total_nacional,flores_de_corte,cineraria_(senecio_cruentus),1.0,0.025,0.025,0.0,0.0
total_nacional,total_nacional,flores_de_corte,clavel_(dianthus_caryophyllus),251.0,85.2594,3.2626,81.9968,0.0
total_nacional,total_nacional,flores_de_corte,clavelina_(dianthus_barbatus),64.0,37.3455,35.5885,1.757,0.0
total_nacional,total_nacional,flores_de_corte,craspedia_(craspedia_uniflora),1.0,0.05,0.05,0.0,0.0
total_nacional,total_nacional,flores_de_corte,crisantemo_(chrysanthemum_spp.),197.0,114.668,96.881,17.787,0.0
total_nacional,total_nacional,flores_de_corte,dalia_(dahlia_spp.),60.0,6.644500000000001,5.9785,0.666,0.0
total_nacional,total_nacional,flores_de_corte,escabiosa_(scabiosa_spp.),3.0,0.109,0.025,0.08399999999999999,0.0
total_nacional,total_nacional,flores_de_corte,estatice_(limonium_spp.),102.0,48.0591,45.8233,2.2358,0.0
total_nacional,total_nacional,flores_de_corte,flor_de_cera_(chamelaucium_uncin,1.0,0.5,0.5,0.0,0.0
total_nacional,total_nacional,flores_de_corte,fresia_(freesia_spp.),10.0,1.093,0.9500000000000001,0.143,0.0
total_nacional,total_nacional,flores_de_corte,genciana_(gentiana_spp.),1.0,1.0,1.0,0.0,0.0
total_nacional,total_nacional,flores_de_corte,gerbera_(gerbera_spp.),32.0,3.6823,0.25,3.4323,0.0
total_nacional,total_nacional,flores_de_corte,girasol_(helianthus_annus),91.0,33.6011,32.0505,1.5506,0.0
total_nacional,total_nacional,flores_de_corte,gladiolo_(gladiolus_spp.),228.0,28.97355,23.24535,5.7282,0.0
total_nacional,total_nacional,flores_de_corte,hipérico_rojo_(hypericum_spp.),1.0,0.03,0.0,0.03,0.0
total_nacional,total_nacional,flores_de_corte,hortensia_(hydrangea_spp.),36.0,18.1946,7.0296,11.165,0.0
total_nacional,total_nacional,flores_de_corte,ilusión_(gypsophila_spp.),65.0,7.4946,7.0782,0.4164,0.0
total_nacional,total_nacional,flores_de_corte,jacinto_(hyacinthus_orientalis),4.0,0.03533,0.01,0.02533,0.0
total_nacional,total_nacional,flores_de_corte,junco_(cyperus_papyrus),3.0,0.1,0.1,0.0,0.0
total_nacional,total_nacional,flores_de_corte,leucadendro_(leucadendron_spp.),4.0,5.2,5.2,0.0,0.0
total_nacional,total_nacional,flores_de_corte,liatris_(liatris_spp.),1.0,0.1,0.1,0.0,0.0
total_nacional,total_nacional,flores_de_corte,lilium_(lilium_spp.),461.0,144.66083,83.22865,61.43218,0.0
total_nacional,total_nacional,flores_de_corte,lirios_(iris_spp.),19.0,2.0614,0.7064,1.355,0.0
total_nacional,total_nacional,flores_de_corte,lisianto_(lisianthus_spp.),79.0,9.81405,0.1,9.71405,0.0
total_nacional,total_nacional,flores_de_corte,milindro_(godetia_multicolor),3.0,1.2518,1.2518,0.0,0.0
total_nacional,total_nacional,flores_de_corte,narciso_(narcissus_spp.),3.0,0.04,0.02,0.02,0.0
total_nacional,total_nacional,flores_de_corte,ornitogalum_(ornithogalum_spp.),2.0,0.32,0.0,0.32,0.0
total_nacional,total_nacional,flores_de_corte,peonía_(paeonia_spp.),61.0,158.452,141.875,16.577,0.0
total_nacional,total_nacional,flores_de_corte,perritos_(antirrhinum_majus),12.0,0.7377,0.4217,0.316,0.0
total_nacional,total_nacional,flores_de_corte,protea_(protea_spp.),9.0,10.8,8.3,2.5,0.0
total_nacional,total_nacional,flores_de_corte,ranúnculo_(ranunculus_spp.),15.0,12.2559,0.0,12.2559,0.0
total_nacional,total_nacional,flores_de_corte,reina_luisa_(aster_spp.),94.0,39.29450000000001,38.9436,0.3509,0.0
total_nacional,total_nacional,flores_de_corte,rosa_(rosa_spp.),113.0,17.47713,4.6773,12.79983,0.0
total_nacional,total_nacional,flores_de_corte,ruscus_(ruscus_spp.),2.0,0.75,0.0,0.75,0.0
total_nacional,total_nacional,flores_de_corte,siempreviva_(helichrysum_spp.),26.0,5.4802,5.2232,0.257,0.0
total_nacional,total_nacional,flores_de_corte,tulipán_(tulipa_spp.),28.0,2.36653,1.7407,0.62583,0.0
total_nacional,total_nacional,flores_de_corte,vara_de_oro_(solidago_spp.),1.0,0.06,0.0,0.06,0.0
total_nacional,total_nacional,flores_de_corte,vibornio_(viburnum_spp.),2.0,1.5,1.0,0.5,0.0
total_nacional,total_nacional,flores_de_corte,viola_(viola_spp.),1.0,0.015,0.0,0.015,0.0
total_nacional,total_nacional,flores_de_corte,zinnia_(zinnia_spp.),9.0,0.6920000000000001,0.677,0.015,0.0
total_nacional,total_nacional,flores_de_corte,otras_flores_de_corte_o_follaje,236.0,90.41135,66.6936,23.71775,0.0
total_nacional,total_nacional,hortalizas,total,46101.0,64090.60958255061,59677.82382932421,4027.3648532264,385.4209
total_nacional,total_nacional,hortalizas,sin_clasificar,951.0,386.7309,1.276,0.034,385.4209
total_nacional,total_nacional,hortalizas,acelga,3217.0,982.5439320999999,898.2339,84.3100321,0.0
total_nacional,total_nacional,hortalizas,achicoria,51.0,81.324432,80.6212,0.703232,0.0
total_nacional,total_nacional,hortalizas,ají,2025.0,617.3546089998999,487.2456829999,130.108926,0.0
total_nacional,total_nacional,hortalizas,ajo,1809.0,2062.78277814,2050.59107814,12.1917,0.0
total_nacional,total_nacional,hortalizas,ajo_chilote,820.0,378.6932501,376.5252501,2.168,0.0
total_nacional,total_nacional,hortalizas,albahaca,317.0,93.296979,83.03254,10.264439,0.0
total_nacional,total_nacional,hortalizas,alcachofa,286.0,953.335958,953.0345,0.301458,0.0
total_nacional,total_nacional,hortalizas,alcaparra,3.0,1.5,1.5,0.0,0.0
total_nacional,total_nacional,hortalizas,alcayota,48.0,26.0766,26.0726,0.004,0.0
total_nacional,total_nacional,hortalizas,apio,549.0,919.1850999999999,906.2773,12.9078,0.0
total_nacional,total_nacional,hortalizas,arveja_verde,2372.0,1383.72888,1378.92228,4.8066,0.0
total_nacional,total_nacional,hortalizas,berenjena,189.0,137.768528,130.4806,7.287928,0.0
total_nacional,total_nacional,hortalizas,berro,34.0,6.67,1.8005,4.8695,0.0
total_nacional,total_nacional,hortalizas,betarraga,1322.0,1021.787643,1011.779103,10.00854,0.0
