total_nacional_region,comuna_67,tipo_de_cultivo,especie,numero_total_de_upa8910,superficie_total_de_cultivo_ha,aire_libre_superficie_ha,bajo_cubierta_superficie_ha,sin_clasificar_superficie_ha_11
Región del Maule,Licantén,Hortalizas,Cedrón,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Comino,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Eneldo,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Hipérico (o hierba de S. Juan),0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Jengibre,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Lavanda,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Manzanilla,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Menta,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Romero,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Ruda,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Salvia,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Tomillo,0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Toronjil (o melisa),0,0,0,0,0
Región del Maule,Licantén,Hortalizas,Otras Plantas Aromáticas y Medicinales,0,0,0,0,0
Región del Maule,Licantén,Semilleros,Total,2,15.5,15.5,0,0
Región del Maule,Licantén,Semilleros,Sin Clasificar,0,0,0,0,0
Región del Maule,Licantén,Semilleros,"Semillas de Cereal, Leguminosas y Tubérculos",0,0,0,0,0
Región del Maule,Licantén,Semilleros,Semillas de Cultivos Industriales,0,0,0,0,0
Región del Maule,Licantén,Semilleros,Semillas de Hortalizas,2,15.5,15.5,0,0
Región del Maule,Licantén,Semilleros,Otras Semillas,0,0,0,0,0
Región del Maule,Molina,Flores de corte,Total,2,2.4,0.4,2,0
Región del Maule,Molina,Flores de corte,Sin Clasificar,0,0,0,0,0
Región del Maule,Molina,Flores de corte,Agapanto (Agapanthus spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Alelí (Matthiola incana),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Anémona (Anemone spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Astilbe (Astilbe spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Astromelia (Alstroemeria spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Ave del Paraíso (Strelitzia reginae),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Azucena (Nerine spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Cala (Zantedeschia spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Cebolla Ornamental (Allium spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Celosía (Celosia Argentea),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Chinas (Tagetes erecta),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Cineraria (Senecio cruentus),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Clavel (Dianthus caryophyllus),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Clavelina (Dianthus barbatus),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Craspedia (Craspedia uniflora),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Crisantemo (Chrysanthemum spp.),1,0.35,0.35,0,0
Región del Maule,Molina,Flores de corte,Dalia (Dahlia spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Escabiosa (Scabiosa spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Estatice (Limonium spp.),1,0.05,0.05,0,0
Región del Maule,Molina,Flores de corte,Flor de cera (Chamelaucium uncinatum),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Fresia (Freesia spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Genciana (Gentiana spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Gerbera (Gerbera spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Girasol (Helianthus annus),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Gladiolo (Gladiolus spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Hipérico rojo (Hypericum spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Hortensia (Hydrangea spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Ilusión (Gypsophila spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Jacinto (Hyacinthus orientalis),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Junco (Cyperus papyrus),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Leucadendro (Leucadendron spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Liatris (Liatris spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Lilium (Lilium spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Lirios (Iris spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Lisianto (Lisianthus spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Milindro (Godetia multicolor),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Narciso (Narcissus spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Ornitogalum (Ornithogalum spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Peonía (Paeonia spp.),1,2,0,2,0
Región del Maule,Molina,Flores de corte,Perritos (Antirrhinum majus),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Protea (Protea spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Ranúnculo (Ranunculus spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Reina Luisa (Aster spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Rosa (Rosa spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Ruscus (Ruscus spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Siempreviva (Helichrysum spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Tulipán (Tulipa spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Vara de oro (Solidago spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Vibornio (Viburnum spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Viola (Viola spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Zinnia (Zinnia spp.),0,0,0,0,0
Región del Maule,Molina,Flores de corte,Otras flores de corte o follaje de corte,0,0,0,0,0
