total_nacional__region__,comuna_4_5_6__,condicion_juridica_de_la_upa__total__numero_de_upa,condicion_juridica_de_la_upa__total__superficie_ha,condicion_juridica_de_la_upa__persona_juridica_7__numero_de_upa,condicion_juridica_de_la_upa__persona_juridica_7__superficie_ha,condicion_juridica_de_la_upa__persona_natural_8__numero_de_upa,condicion_juridica_de_la_upa__persona_natural_8__superficie_ha
Total Nacional,Total Nacional,138628,45742565.15956164,9021,39977533.74072129,129607,5765031.418840352
Región de Arica y Parinacota,Total Región,1267,421712.261,51,384297.21035,1216,37415.05065
Región de Arica y Parinacota,Arica,962,20038.905,41,16016.22035,921,4022.68465
Región de Arica y Parinacota,Camarones,122,8366.171,4,5873.96,118,2492.211
Región de Arica y Parinacota,Putre,151,363580.085,7,355551.83,144,8028.255
Región de Arica y Parinacota,General Lagos,42,29727.1,4,6855.2,38,22871.9
Región de Tarapacá,Total Región,835,2363446.3311,28,2334118.9986,807,29327.3325
Región de Tarapacá,Iquique/Alto Hospicio,13,76947.50660000001,5,76938.15460000001,8,9.352
Región de Tarapacá,Pozo Almonte,180,845300.8559999999,11,841026.1739999999,169,4274.682
Región de Tarapacá,Camiña,183,205928.148,1,205770.44,182,157.70799999996
Región de Tarapacá,Colchane,73,5012.591,2,1103.55,71,3909.041
Región de Tarapacá,Huara,215,1065361.6175,3,1064816.62,212,544.99750000004
Región de Tarapacá,Pica,192,164895.612,13,144464.06,179,20431.552
Región de Antofagasta,Total Región,722,5688403.896,22,5685932.148,700,2471.748
Región de Antofagasta,Antofagasta,103,2551720.838,11,2551670.43,92,50.408
Región de Antofagasta,Taltal,62,40027.85000000001,1,39963.8,61,64.05
Región de Antofagasta,San Pedro de Atacama,326,196897.452,10,195942.638,316,954.814
Región de Antofagasta,Calama/Ollagüe,232,296272.956,3,294879.36,229,1393.596
Región de Antofagasta,Mejillones/Sierra Gorda,12,1412336.64,1,1412331.87,11,4.77
Región de Antofagasta,Tocopilla/María Elena,5,1191148.16,2,1191144.05,3,4.11
Región de Atacama,Total Región,1352,4463454.24,116,4361024.325,1236,102429.915
Región de Atacama,Tierra Amarilla,113,850927.21,45,766053.2899999999,68,84873.92
Región de Atacama,Copiapó/Caldera,208,1072608.812,37,1071428.57,171,1180.242
Región de Atacama,Chañaral/Diego de Almagro,15,2110528.72,3,2110522.57,12,6.15
Región de Atacama,Vallenar,257,189251.9650000016,17,186114.39,240,3137.575000001615
Región de Atacama,Alto Del Carmen,469,184018.4329999983,13,175745.646,456,8272.786999998272
Región de Atacama,Freirina,131,2796.446,6,895.44,125,1901.006
Región de Atacama,Huasco,180,53322.65400000011,6,50264.419,174,3058.235000000113
Región de Coquimbo,Total Región,6929,1895692.284,591,1607918.97775,6338,287773.30625
Región de Coquimbo,La Serena,485,154447.4500000023,56,147952.4325000023,429,6495.0175
