0,1,2,3,4,5,6,7,8,9,10
total_nacional_región,total_superficie_censada_(ha),con_actividad_silvoagropecuaria,con_actividad_silvoagropecuaria,con_actividad_silvoagropecuaria,con_actividad_silvoagropecuaria,con_actividad_silvoagropecuaria,con_actividad_silvoagropecuaria,sin_actividad_silvoagropecuaria,sin_actividad_silvoagropecuaria,sin_actividad_silvoagropecuaria
total_nacional_región,total_superficie_censada_(ha),unidades_productivas_agropecuari,unidades_productivas_agropecuari,unidades_de_autoconsumo,unidades_de_autoconsumo,total_con_actividad,total_con_actividad,temporal4,permanente5,total_sin_actividad
total_nacional_región,total_superficie_censada_(ha),número6,superficie_(ha),número,superficie_(ha),número,superficie_(ha),superficie_(ha),superficie_(ha),superficie_(ha)
total_nacional,48679289.37918131,138628.0,45742565.15956164,36928.0,31853.6669000003,175556.0,45774418.82646164,2129422.8771,775447.6756196712,2904870.552719671
región_de_arica_y_parinacota,427222.7274925,1267.0,421712.261,181.0,151.5325,1448.0,421863.7935,3468.407,1890.5269925,5358.9339925
región_de_tarapacá,2372318.40547965,835.0,2363446.3311,281.0,150.455,1116.0,2363596.7861,7139.324000000001,1582.29537965,8721.619379650001
región_de_antofagasta,5694199.28947828,722.0,5688403.896,1206.0,843.7432,1928.0,5689247.6392,2457.163,2494.48727828,4951.65027828
región_de_atacama,5368090.56647801,1352.0,4463454.24,586.0,460.567,1938.0,4463914.807,483860.035,420315.72447801,904175.75947801
región_de_coquimbo,2843833.113099492,6929.0,1895692.284,2203.0,1750.4773,9132.0,1897442.7613,868864.147,77526.204799492,946390.3517994919
región_de_valparaíso,838955.1164266643,5484.0,645112.9467000003,1874.0,1393.0769,7358.0,646506.0236000003,160843.306,31605.786826664,192449.092826664
región_metropolitana_de_santiago,1027015.715840104,5530.0,925334.851400044,1360.0,1078.322,6890.0,926413.1734000441,54406.837,46195.70544006,100602.54244006
región_del_libertador_general_be,1224791.117538713,9130.0,1137600.488600293,3073.0,2327.4708,12203.0,1139927.959400293,56339.581,28523.57713842,84863.15813842
región_del_maule,1431617.742560882,17400.0,1331819.793353982,4320.0,3498.4515,21720.0,1335318.244853982,69825.868,26473.6297069,96299.4977069
región_de_ñuble,876982.2088350876,12171.0,807993.0097955875,4032.0,3467.6467,16203.0,811460.6564955876,54238.907,11282.6453395,65521.5523395
región_del_biobío,1446509.13879825,12448.0,1358582.10401384,5065.0,4176.432,17513.0,1362758.53601384,68350.014,15400.58878441,83750.60278441
región_de_la_araucanía,2029887.11092568,36552.0,1910167.97394177,8026.0,8098.4326,44578.0,1918266.40654177,89180.046,22440.65838391,111620.70438391
región_de_los_ríos,1269393.485718659,8749.0,1224008.426857959,1416.0,1429.7126,10165.0,1225438.139457959,29825.855,14129.4912607,43955.3462607
región_de_los_lagos,2773257.185775077,18343.0,2629360.929498167,2941.0,2774.8058,21284.0,2632135.735298167,105497.4361,35624.01437691,141121.45047691
región_de_aysén_del_general_carl,7517177.5617641,1968.0,7436342.9595,170.0,139.3878,2138.0,7436482.3473,65564.588,15130.6264641,80695.2144641
región_de_magallanes_y_de_la_ant,11538038.89297017,583.0,11503532.6638,194.0,113.1532,777.0,11503645.817,9561.363,24831.7129701652,34393.0759701652
fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario,fuente:_viii_censo_agropecuario
notas:,notas:,notas:,notas:,notas:,notas:,notas:,notas:,notas:,notas:,notas:
1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec,1._upa_se_refiere_a_la_unidad_ec
2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente,2._una_upa_puede_estar_presente
